_queue_iter_idx,hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,NSE_1D,NSE_1H,_rank_score
2,128,0.1,90,336,1,300,64,0.7837140709161758,0.6839698420105678,0.7138931106822501
10,256,0.1,90,336,1,300,64,0.7483585774898529,0.6977604221650779,0.7129398687625104
12,256,0.4,90,168,1,300,64,0.7600690722465515,0.6825534969514404,0.7058081695399737
0,128,0.1,90,168,1,300,64,0.75152787566185,0.6666794877774855,0.6921340041427948
4,128,0.4,90,168,1,300,64,0.7462105751037598,0.665774757401401,0.6899055027121086
14,256,0.4,90,336,1,300,64,0.7425922006368637,0.6668072406057586,0.6895427286150901
1,128,0.1,90,168,1,300,256,0.7331469357013702,0.6693237481406243,0.688470704408848
13,256,0.4,90,168,1,300,256,0.7386251986026764,0.6575892300246805,0.6819000205980792
8,256,0.1,90,168,1,300,64,0.7370463013648987,0.653571897521289,0.6786142186743718
6,128,0.4,90,336,1,300,64,0.7153278440237045,0.6336597629411376,0.6581601872659076
5,128,0.4,90,168,1,300,256,0.6983540654182434,0.6123649957359925,0.6381617166406677
15,256,0.4,90,336,1,300,256,0.7416394203901291,0.5843694718896315,0.6315504564397807
11,256,0.1,90,336,1,300,256,0.6837003082036972,0.589754714032431,0.6179383922838108
7,128,0.4,90,336,1,300,256,0.7364573925733566,0.5614184039205201,0.6139301005163711
3,128,0.1,90,336,1,300,256,0.6683808416128159,0.5303914853316116,0.5717882922159729
9,256,0.1,90,168,1,300,256,0.6852602958679199,0.5225597123730459,0.5713698874215081
