_queue_iter_idx,hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,NSE_1D,NSE_1H,_rank_score
10,256,0.1,90,336,1,300,64,0.8285476416349411,0.7573606156419969,0.7787167234398801
2,128,0.1,90,336,1,300,64,0.8271641731262207,0.7531666083857316,0.7753658778078782
4,128,0.4,90,168,1,300,64,0.811381459236145,0.7459293225124846,0.7655649635295827
14,256,0.4,90,336,1,300,64,0.8070466071367264,0.7353928360312063,0.7568889673628623
0,128,0.1,90,168,1,300,64,0.8217712193727493,0.72368590181491,0.7531114970822618
6,128,0.4,90,336,1,300,64,0.7949650287628174,0.73301450496009,0.7515996621009082
8,256,0.1,90,168,1,300,64,0.8041374236345291,0.7272907189799194,0.7503447303763022
12,256,0.4,90,168,1,300,64,0.7823641300201416,0.7354409514233203,0.7495179050023667
13,256,0.4,90,168,1,300,256,0.7913254052400589,0.7109479409655469,0.7350611802479005
11,256,0.1,90,336,1,300,256,0.7867291122674942,0.7052798757354836,0.7297146466950867
9,256,0.1,90,168,1,300,256,0.8085932433605194,0.6925888505968756,0.7273901684259687
1,128,0.1,90,168,1,300,256,0.7898283898830414,0.6993155590533875,0.7264694083022836
7,128,0.4,90,336,1,300,256,0.7758151590824127,0.7021043259855824,0.7242175759146314
15,256,0.4,90,336,1,300,256,0.7632680535316467,0.7073916056997321,0.7241545400493065
5,128,0.4,90,168,1,300,256,0.7663406878709793,0.7049947075149532,0.723398501621761
3,128,0.1,90,336,1,300,256,0.7509759813547134,0.6912604262287358,0.709175092766529
