hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,learning_rate,NSE_1D,MSE_1D,RMSE_1D,KGE_1D,Alpha-NSE_1D,Beta-KGE_1D,Beta-NSE_1D,Pearson-r_1D,FHV_1D,FMS_1D,FLV_1D,Peak-Timing_1D,Peak-MAPE_1D,NSE_1H,MSE_1H,RMSE_1H,KGE_1H,Alpha-NSE_1H,Beta-KGE_1H,Beta-NSE_1H,Pearson-r_1H,FHV_1H,FMS_1H,FLV_1H,Peak-Timing_1H,Peak-MAPE_1H,_rank_score
128,0.4,90,336,1,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.8119981096852159,56104.8664671314,236.8646585439276,0.7260874983827255,0.7784414447613469,0.8613035960581532,-0.10699145303987963,0.9181270943694179,-27.384758911423134,36.55614006993349,-51.20219783524664,0.0,29.74485634170379,0.7705426329537264,87174.48364274617,295.2532533990882,0.7603727424207705,0.843846283587198,0.8599841446336243,-0.09731336270832915,0.8841000445580983,-21.197409358129406,24.77418236716989,14.703012341025639,,41.54374591911558,0.7829792759731732
256,0.1,90,336,1,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.8258998195884311,51956.21893769033,227.9390684759643,0.7813634509314406,0.8196839443606992,0.9086609135945732,-0.0704596607850711,0.9166619416957944,-23.4195351928387,22.75812059092069,-15.598090760909876,0.0,28.945658320792468,0.762480089263441,90237.57153613234,300.39569160714063,0.7618587217915059,0.8082007484820214,0.9302785887383082,-0.04845754764624287,0.8772676069018591,-21.229871617636224,12.442411088446871,-1260.9743352614184,,34.61055461184443,0.781506008360938
256,0.1,90,336,2,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.8026547040706857,58893.19228382263,242.67919623202692,0.7546356966465431,0.7866568567174477,0.9238843953386287,-0.058716152043449446,0.9056879684161061,-26.640722227083575,11.743444309241175,-1869.9439170452958,0.0,36.09525755191774,0.7626956277858676,90155.68504174985,300.2593629543463,0.6980852814557685,0.7392683793377578,0.8958065868848024,-0.07241616583897921,0.8890258952552942,-29.65161347143966,7.988269565582494,-40.49045585730106,,41.03827682551473,0.7746833506713131
256,0.4,90,336,1,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.8131646585595361,55756.73662273712,236.12864422330705,0.7777258809585628,0.7995852698199165,0.9701929892803991,-0.022993353086519123,0.9086147603031378,-23.325704629916324,9.573120941625847,56.743321508523145,0.25,32.68263437364412,0.7571821258078905,92250.35166405312,303.727429884186,0.7087172932975099,0.7504637679985908,0.9063043702329349,-0.06512003072687254,0.8825333532230496,-25.395056739876985,0.9635236781766174,17.324862184317585,,40.857838441369765,0.7739768856333841
128,0.4,90,168,2,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.8405299505945589,47590.190781690995,218.1517608952332,0.8072057318840102,0.8322970445870838,0.9453501327205125,-0.04215732017911963,0.9221620878331902,-19.80131341636526,-1.3197458010228513,-10.018394936501576,0.0,33.32536826403128,0.7448435961569959,96133.50599845972,310.0540372232874,0.780117164430847,0.8436505522150719,0.9248808844045567,-0.05200289274450208,0.8648688413894203,-14.799553914763653,-4.504695855431612,29.221549850079093,,40.85967292920502,0.7735495024882648
256,0.1,90,168,2,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.8137302164860071,55587.95878815816,235.77098801200745,0.7274088660760001,0.7676208190747495,0.8826350485894788,-0.0905362095230061,0.919183474790809,-24.89930744867906,3.908137209297266,8.052331973727865,0.0,28.035161061459895,0.7555057938309648,92116.38383883744,303.506810201744,0.773772422138356,0.8345627441899737,0.9137504289060843,-0.05970820022711079,0.8720529685326397,-16.404404715768344,-4.677394842085482,-52.89298478858442,,32.41233868453309,0.7729731206274775
128,0.1,90,336,2,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.7999188911656214,59709.63310503289,244.3555464994255,0.7472677021825525,0.7932142793484098,0.8897125005028969,-0.0850766096882911,0.9053958375684982,-24.62423894098017,10.89001736670625,48.03433858331758,0.0,32.55613815682658,0.7522553634184296,94122.10663474942,306.79326367237826,0.7014602427993833,0.7525963104745886,0.8832793456038542,-0.08112280817828976,0.8804437794343076,-25.25845207440395,8.097670539622873,27.79854328772361,,47.8576975495821,0.7665544217425871
128,0.4,90,336,2,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.8197690500518564,53785.80695733391,231.91767280078918,0.7474414392407651,0.7840318213607577,0.8972774945408061,-0.07924091617821785,0.9188109656406094,-27.348425547612855,3.573627133321771,-8.23406486781835,0.5,36.9016588337036,0.7429441372792804,97659.58874399669,312.50534194473653,0.7315715492720423,0.8337080255901835,0.8338390282308495,-0.11548465615861146,0.8704185820889887,-17.178149970362348,34.63287260026276,-102.0893228944887,,36.856104795746965,0.7659916111110532
256,0.4,90,168,2,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.8033391588782387,58688.93239305106,242.25798726368353,0.7262693858384885,0.7478729365528479,0.9391494861933023,-0.04694054571978371,0.912492240479973,-28.191920747212574,-6.609246486965876,52.63174258470592,0.0,25.069857102450737,0.7499716603343455,94201.44087711142,306.92253237113664,0.7946924276798424,0.8454143869307404,0.9800437939208907,-0.01381513128972529,0.866372767285534,-15.510588612658438,3.7313214972175204,58.0843345239499,,36.93187390372034,0.7659819098975134
128,0.1,90,336,1,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.814600149531989,55328.34715713446,235.21978479102148,0.8036731079235476,0.8407338760253992,0.9335529842952831,-0.051257729532714916,0.9063872636312602,-19.155302550116822,-2.6911710721023674,-1848.1285967317679,0.25,21.31165434744393,0.7377240752245663,99642.7728973781,315.66243504316145,0.7750941520830262,0.8427830088899216,1.080782768746415,0.05614537621494831,0.8609331009650043,-22.814979166944727,37.86660001424178,-1250.7330925984331,,33.07641968616837,0.7607868975167931
