hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,learning_rate,NSE_1D,MSE_1D,RMSE_1D,KGE_1D,Alpha-NSE_1D,Beta-KGE_1D,Beta-NSE_1D,Pearson-r_1D,FHV_1D,FMS_1D,FLV_1D,Peak-Timing_1D,Peak-MAPE_1D,NSE_1H,MSE_1H,RMSE_1H,KGE_1H,Alpha-NSE_1H,Beta-KGE_1H,Beta-NSE_1H,Pearson-r_1H,FHV_1H,FMS_1H,FLV_1H,Peak-Timing_1H,Peak-MAPE_1H,_rank_score
256,0.1,90,336,2,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.8811388494117567,35471.393243531544,188.33850706515528,0.816763857334058,0.8354263283157218,0.9398865412004745,-0.046371975923116586,0.9463589463320616,-23.468803147689435,36.961536434906975,-3.529236004030122,0.5,46.76460416882456,0.8128627774193747,71096.39127652755,266.63906554840673,0.8065709831610056,0.8332678606485665,0.9776018973653443,-0.01556705617346864,0.9045353297760812,-20.802489629839112,-9.296304635550445,34.982312023788324,,32.708675409985766,0.8333455990170893
256,0.4,90,336,1,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.8761128701626933,36971.281857221176,192.2791768684825,0.7604811458705942,0.777019993820895,0.9253639178125745,-0.057574837237919264,0.9544077466718112,-21.847487189396865,-11.334431923116558,52.52247712412426,0.0,35.50026059660488,0.8110404580513088,71788.7192326454,267.9341695876907,0.8032613309823159,0.8307215816853734,0.9719716849539968,-0.019480148023507622,0.903743392250557,-16.109874255938735,-8.867372405686687,48.67166763787347,,33.13713668891568,0.8305621816847241
128,0.4,90,168,2,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.8616679031492855,41282.05205241657,203.17985149225936,0.7839905434936124,0.7961221430822321,1.0382994036792847,0.02954444912591738,0.9397749185420701,-27.719239360739405,19.950251589033297,40.34475818150568,0.25,47.23447866286137,0.816077075800951,69295.36264989301,263.2401235562182,0.7937699683958005,0.8196440058060137,0.9605389171269365,-0.027317819758174922,0.9081013371574258,-19.667751961353105,-0.5529533918188829,22.995413578331892,,33.08159237555073,0.8297543240054512
256,0.1,90,168,2,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.8955522529951735,31170.042432481296,176.55039629658523,0.879810319810671,0.8973326852704929,0.9652324256997428,-0.026819969280646675,0.94807507835806,-14.166546418266426,12.378567360240863,20.09191065594896,0.0,32.55046543900731,0.7979169495092568,76137.4272953469,275.9301130637012,0.8410545515086012,0.9140426408356155,0.916842248126031,-0.057567819020465795,0.8953110497479113,-11.509156864997209,10.55965905419609,-36.141916707180776,,30.61107278104624,0.8272075405550318
256,0.1,90,336,1,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.8788894248353241,36142.6825868319,190.11228941557644,0.8036176125159868,0.8157518047909311,0.9571573502577837,-0.033049143436482,0.9472444122467797,-23.458433622135168,8.788648395784215,-15.378626383536012,0.25,37.92240587293121,0.8021488387638346,75166.78606096878,274.1656179409971,0.8264489841004392,0.8935551578012509,0.9085499667136558,-0.06355930359169823,0.8978905386314296,-15.854068310033103,26.960658498077194,-35.79809258859416,,31.06372685320299,0.8251710145852814
256,0.1,90,168,1,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.8805288355045278,35653.43794931014,188.82117982183604,0.7898458602121848,0.7991204635537027,0.962404792471559,-0.029001226899078397,0.9510227126315602,-22.35938836872399,8.268316318462427,43.38300504858894,0.25,42.08000788506193,0.801217405030143,74893.93759320331,273.667567667788,0.7968548369858229,0.827744571638333,0.9648723453822949,-0.024317906846619452,0.8982057342624133,-20.353974816173938,-7.18499306854324,12.832720290644609,,31.07206978040038,0.8250108341724585
128,0.1,90,336,1,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.880791016167934,35575.196123730406,188.61388104731424,0.7974695038477413,0.8133656390178725,0.9397347291371695,-0.04648908489480121,0.9494597754229102,-19.560284905270905,-1.342879557880332,-55.854659270145305,0.25,47.23874756019338,0.7957244168143619,77607.52559074586,278.58127286439384,0.7346997247160478,0.7596389814365898,0.9406086366878108,-0.04127799144331165,0.9046926929096182,-25.233027303398508,-10.244549457417989,27.405120009551155,,37.77523331387424,0.8212443966204335
128,0.4,90,168,1,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.8872106647786179,33659.39874815474,183.46497962323693,0.8079020920669241,0.868504310301228,0.8688471179648428,-0.10117232329392542,0.9509142448689958,-17.14925130938705,7.602795110087353,30.496909115287433,0.0,36.31338725915971,0.7928983566070011,78028.24768474881,279.3353677656104,0.724737620781509,0.7643564186590077,0.8947017693118885,-0.07289506210576131,0.9043247022488627,-20.894444615199575,-33.093986574764955,-1303.6769122179762,,40.0670834363838,0.8211920490584861
128,0.1,90,336,2,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.8549239290629354,43294.6369521691,208.07363348624713,0.7674183203884403,0.7776412321248145,0.9697881879269886,-0.023305619906443753,0.9388603038016329,-22.476122220240285,-13.483317984916395,55.36696321801914,0.0,35.56780156754631,0.8037708896427729,74550.54327201884,273.0394536912547,0.8049995758293109,0.8712188688329172,0.8929680322034652,-0.0743890088470057,0.9000763113587333,-15.996254023327378,19.723066694005144,-22.09864860934402,,30.27757362993735,0.8191168014688215
128,0.1,90,168,1,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.8778322396888569,36458.1753266882,190.9402401975241,0.7968612275924458,0.8150680652877847,0.9342638989205864,-0.05070932462395906,0.9476138816696429,-21.682288207626193,6.197343077935163,-26.92315793578833,0.0,38.67228022737116,0.7912811281275585,78637.55962592605,280.42389275153795,0.7676640581807442,0.8012754009612864,0.9403241437838255,-0.0413119500362475,0.89546619789365,-21.91377778179125,-2.655187303288732,-1285.756842294577,,32.81672146787496,0.817246461595948
