_queue_iter_idx,hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,NSE_1D,NSE_1H,_rank_score
8,256,0.1,90,168,1,300,64,0.8784671574831009,0.8395619104179513,0.851233484537496
4,128,0.4,90,168,1,300,64,0.8393206149339676,0.8510093579287485,0.8475027350303141
2,128,0.1,90,336,1,300,64,0.850061908364296,0.8293056837254394,0.8355325511170963
12,256,0.4,90,168,1,300,64,0.8416993618011475,0.8269672660486742,0.8313868947744161
6,128,0.4,90,336,1,300,64,0.8431977331638336,0.8233063472575247,0.8292737630294174
14,256,0.4,90,336,1,300,64,0.8542929738759995,0.8119269648732091,0.8246367675740462
0,128,0.1,90,168,1,300,64,0.8085116595029831,0.8250622992919645,0.8200971073552701
5,128,0.4,90,168,1,300,256,0.7482791841030121,0.8281210060415873,0.8041684594600147
15,256,0.4,90,336,1,300,256,0.7422464340925217,0.8258381813986635,0.8007606572068209
10,256,0.1,90,336,1,300,64,0.840335801243782,0.7800867025425241,0.7981614321529014
9,256,0.1,90,168,1,300,256,0.710537314414978,0.8337558809631987,0.7967903109987325
3,128,0.1,90,336,1,300,256,0.7550185024738312,0.8080289833752573,0.7921258391048294
7,128,0.4,90,336,1,300,256,0.7129240781068802,0.8107849731529666,0.7814267046391407
11,256,0.1,90,336,1,300,256,0.745119571685791,0.7924118927384074,0.7782241964226224
13,256,0.4,90,168,1,300,256,0.6979069709777832,0.7965465736811674,0.766954692870152
1,128,0.1,90,168,1,300,256,0.6867488771677017,0.7873330534692794,0.7571578005788061
