_queue_iter_idx,hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,NSE_1D,NSE_1H,_rank_score
12,256,0.4,90,168,1,300,64,0.9102297723293304,0.8813928121013573,0.8900439001697493
6,128,0.4,90,336,1,300,64,0.9034558683633804,0.8714105969362426,0.881024178364384
14,256,0.4,90,336,1,300,64,0.9019056707620621,0.8484547140190254,0.8644900010419364
5,128,0.4,90,168,1,300,256,0.8499877750873566,0.8680841821324822,0.8626552600189445
15,256,0.4,90,336,1,300,256,0.8576884567737579,0.8543012722977821,0.8553174276405747
4,128,0.4,90,168,1,300,64,0.9221855700016022,0.8188531254484435,0.849852858814391
2,128,0.1,90,336,1,300,64,0.9117869585752487,0.8220115051073409,0.8489441411477132
13,256,0.4,90,168,1,300,256,0.8276030421257019,0.8579686612309084,0.8488589754993464
7,128,0.4,90,336,1,300,256,0.8534344881772995,0.8457546425482965,0.8480585962369973
11,256,0.1,90,336,1,300,256,0.8511591255664825,0.8420875905361968,0.8448090510452824
0,128,0.1,90,168,1,300,64,0.8822189420461655,0.8257510498475797,0.8426914175071554
8,256,0.1,90,168,1,300,64,0.9004514813423157,0.8134474356898165,0.8395486493855662
10,256,0.1,90,336,1,300,64,0.8881187438964844,0.8077073324882978,0.8318307559107537
3,128,0.1,90,336,1,300,256,0.8413572609424591,0.8269416094358097,0.8312663048878045
1,128,0.1,90,168,1,300,256,0.84712253510952,0.8242422248974159,0.8311063179610472
9,256,0.1,90,168,1,300,256,0.843984991312027,0.8025167727954943,0.814957238350454
