_queue_iter_idx,hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,NSE_1D,NSE_1H,_rank_score
6,128,0.4,90,336,1,300,64,0.8646969348192215,0.8421746880209243,0.8489313620604135
0,128,0.1,90,168,1,300,64,0.8377857059240341,0.8496491691296815,0.8460901301679873
10,256,0.1,90,336,1,300,64,0.8737122416496277,0.8142689683718526,0.8321019503551852
2,128,0.1,90,336,1,300,64,0.8115905225276947,0.8315523551689226,0.8255638053765542
4,128,0.4,90,168,1,300,64,0.8463990688323975,0.8144983250052157,0.8240685481533702
11,256,0.1,90,336,1,300,256,0.7938953191041946,0.8324916114980382,0.8209127237798851
12,256,0.4,90,168,1,300,64,0.8795437812805176,0.7941561922298597,0.819772468945057
14,256,0.4,90,336,1,300,64,0.8473200350999832,0.8069503641271302,0.819061265418986
15,256,0.4,90,336,1,300,256,0.7552293241024017,0.8438259370403951,0.8172469531589971
13,256,0.4,90,168,1,300,256,0.784455418586731,0.8217801108827721,0.8105827031939598
8,256,0.1,90,168,1,300,64,0.8636567890644073,0.7810710018054249,0.8058467379831196
5,128,0.4,90,168,1,300,256,0.7610763609409332,0.816070201853634,0.7995720495798238
1,128,0.1,90,168,1,300,256,0.7347732037305832,0.8077373927635733,0.7858481360536762
3,128,0.1,90,336,1,300,256,0.7362241297960281,0.794427237031007,0.7769663048605133
7,128,0.4,90,336,1,300,256,0.7495097219944,0.7736779426590515,0.766427476459656
9,256,0.1,90,168,1,300,256,0.6747993379831314,0.7817250254054302,0.7496473191787405
