_queue_iter_idx,hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,NSE_1D,NSE_1H,_rank_score
4,128,0.4,90,168,1,300,64,0.8976324051618576,0.8862495193544373,0.8896643850966635
14,256,0.4,90,336,1,300,64,0.8956049531698227,0.88655181344483,0.8892677553623278
6,128,0.4,90,336,1,300,64,0.9013660252094269,0.8684943445686439,0.8783558487608788
12,256,0.4,90,168,1,300,64,0.9048369377851486,0.8638944746503711,0.8761772135908044
0,128,0.1,90,168,1,300,64,0.9128200113773346,0.854584991109584,0.872055497189909
3,128,0.1,90,336,1,300,256,0.8450095057487488,0.8801544858771596,0.8696109918386363
13,256,0.4,90,168,1,300,256,0.8504807651042938,0.8661690724686848,0.8614625802593674
10,256,0.1,90,336,1,300,64,0.8886361867189407,0.8454252524523039,0.858388532732295
2,128,0.1,90,336,1,300,64,0.9051591604948044,0.8327179327058652,0.8544503010425469
7,128,0.4,90,336,1,300,256,0.840217724442482,0.86024442766843,0.8542364167006455
15,256,0.4,90,336,1,300,256,0.8611123263835907,0.8497104184429368,0.853130990825133
8,256,0.1,90,168,1,300,64,0.9081466794013977,0.8186520452728034,0.8455004355113815
11,256,0.1,90,336,1,300,256,0.8450231701135635,0.8399715733334912,0.8414870523675129
5,128,0.4,90,168,1,300,256,0.811595544219017,0.8538821580474878,0.8411961738989465
9,256,0.1,90,168,1,300,256,0.8372904360294342,0.8393849111198095,0.8387565685926969
1,128,0.1,90,168,1,300,256,0.8637268543243408,0.8168448374107165,0.8309094424848037
