hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,learning_rate,NSE_1D,MSE_1D,RMSE_1D,KGE_1D,Alpha-NSE_1D,Beta-KGE_1D,Beta-NSE_1D,Pearson-r_1D,FHV_1D,FMS_1D,FLV_1D,Peak-Timing_1D,Peak-MAPE_1D,NSE_1H,MSE_1H,RMSE_1H,KGE_1H,Alpha-NSE_1H,Beta-KGE_1H,Beta-NSE_1H,Pearson-r_1H,FHV_1H,FMS_1H,FLV_1H,Peak-Timing_1H,Peak-MAPE_1H,_rank_score
256,0.1,90,168,1,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.9479143214309894,2353765.1791254114,1534.1985461880126,0.8745069937824121,0.8877404444343042,0.9483387915918897,-0.02626537489150173,0.9781503698078483,-15.374548270816712,-14.824223088819805,-3085.2197335870233,0.0,17.232394756663833,0.932038107430639,3189053.330265962,1785.7920736373433,0.9165679840636115,0.9241270743852011,0.9915069824888457,-0.004289433495926301,0.9663537655091062,-10.905562489048485,7.853456917959592,-2249.105304438465,,27.38974378739249,0.936800971630744
256,0.1,90,336,1,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.9482153910403569,2340159.766227064,1529.758074411462,0.8695516859041769,0.8717798809032158,0.9870989077966117,-0.0065591191858111264,0.9797533822773119,-17.739379258939312,-18.545857817164066,-2809.862332499803,0.0,16.07813359341045,0.9284518691537876,3386253.0042558946,1840.1774382531416,0.9224644257918903,0.9391527799744162,0.9681449838057616,-0.016194453934167866,0.964018907378954,-11.074231238981813,-2.0348339230329286,-2270.550655523642,,26.96581701266478,0.9343809257197584
256,0.1,90,168,2,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.9365479256441688,2867415.521219526,1693.3444780137106,0.8702072041724093,0.873188072157044,0.9945811555130064,-0.00275502618532034,0.9728791421610349,-20.073077350656273,-0.8225777779100746,-1020.3390977091642,0.0,15.399455178600203,0.9273905828815872,3407134.420717055,1845.8424690956308,0.9399374592726238,0.9551076002030274,1.0151223217360288,0.007637590915773362,0.9630744448327648,-10.841170631756341,87.82949019219922,6.1952317478724845,,25.66421070063854,0.9301377857103617
256,0.4,90,336,1,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.9462577557165451,2428625.808817043,1558.404892451587,0.8533688527893375,0.8652441159105805,0.9458098072725675,-0.027551150491580377,0.9798761820780049,-17.882690737568137,-5.070986842669226,-2952.567843002026,0.0,15.98658096883211,0.917686894779677,3895741.1821290925,1973.763203155103,0.8529014254253717,0.8687554034155233,0.9448341561535947,-0.028045213082380883,0.9629922145761267,-19.26728782104411,-2.7304369822774737,-2295.717778347101,,24.12152850424109,0.9262581530607374
128,0.4,90,336,2,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.9456539846229877,2455910.379455689,1567.1344484299007,0.8451828037456621,0.8544736610745712,0.9507264877732075,-0.025051432413929473,0.9809587309285451,-19.10917790314399,-12.986798736462035,-3080.499405175214,0.0,16.028886037728984,0.9167283867964459,3941105.756988442,1985.2218407494015,0.8688916262617372,0.87623018052681,0.9807351476806164,-0.009793866106752503,0.9612791668868255,-18.955496504215937,-10.02800102916777,-2462.1057712214993,,25.805755851215984,0.9254060661444083
256,0.4,90,168,1,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.9477801491785781,2359828.457638952,1536.1733162761784,0.8980394139309373,0.9063485645712691,0.9674723545966096,-0.0165375690423021,0.9761814769938126,-14.464420226360748,10.426030936785248,-2377.618912200989,0.0,17.19877229633665,0.9143006037376391,4021370.4286315753,2005.3354902937251,0.8631098946722369,0.8742082573289923,0.9634810420590483,-0.018444050212131583,0.9602293560104431,-17.033778438788172,-4.840763044607749,-2482.7136671333574,,28.854397243633912,0.9243444673699208
128,0.1,90,168,1,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.9379580013205575,2803693.839594159,1674.4234349752032,0.833124139929859,0.8511638684669155,0.9280101630990004,-0.03660077092362354,0.9773544263180836,-21.267214878590224,-15.395962461544729,-2650.3177545318626,0.0,16.821075258753474,0.9137949255227131,4045098.943750639,2011.2431339225595,0.8924229745149729,0.901814028550306,1.011484115413179,0.005800099818430563,0.9575683312152016,-16.79952036392506,-7.708626561582831,-2365.83262375684,,25.633850146867104,0.9210438482620664
128,0.1,90,336,1,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.9274385750255706,3279069.413029582,1810.820094053957,0.8223797234540364,0.833839725168492,0.9430791948372397,-0.02893943701269132,0.9735472563274549,-20.657264336761592,-19.773740973376334,-2858.7838551891546,0.0,19.37637373492378,0.9180646534144372,3877862.4996714042,1969.2289099216994,0.8851912709314836,0.8961615773612835,0.9711529713615593,-0.014665253144882876,0.960421278532976,-14.555036462210373,-10.550767488968136,-2187.689952042495,,27.891324824430498,0.9208768298977772
128,0.4,90,168,1,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.9516564142763698,2184659.0432642726,1478.0592150736968,0.8670440468968373,0.8843217988223554,0.9373307236628311,-0.03186205061584368,0.9808062238928776,-15.709958871826327,1.1036282167837574,-2662.328508087376,0.0,18.95296078620824,0.9066821001032284,4378862.1562517965,2092.5730946019057,0.832061106135672,0.8454069523298179,0.9485071628972563,-0.026006669594016513,0.9593435194399573,-20.399217959679383,-5.3323001158433545,-2585.762630088574,,27.555201642224414,0.9201743943551708
128,0.4,90,336,1,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.9400658413614391,2708440.0072989743,1645.7338810691642,0.886217662491353,0.8897684349237495,0.9913393686117332,-0.00440320188434118,0.9731594364118681,-15.810187231197482,-8.344511715496445,-2975.1555218615094,0.0,18.336667404689287,0.9116332802285032,4182248.6033303645,2045.05467001016,0.8517384705864566,0.8638894907526135,0.9570619648131296,-0.02182883940844525,0.9598535741223311,-20.168812078636066,-6.350367831413971,-1932.4152427193694,,25.859751627749546,0.920163048568384
