_queue_iter_idx,hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,NSE_1D,NSE_1H,_rank_score
6,128,0.4,90,336,1,300,64,0.884755939245224,0.8794068764410561,0.8810115952823063
8,256,0.1,90,168,1,300,64,0.8775568753480911,0.8695185109545767,0.871930020272631
15,256,0.4,90,336,1,300,256,0.849328026175499,0.8713396118063773,0.8647361361171138
14,256,0.4,90,336,1,300,64,0.8856132179498672,0.8431288224942617,0.8558741411309432
10,256,0.1,90,336,1,300,64,0.8833635747432709,0.8349738412022274,0.8494907612645404
11,256,0.1,90,336,1,300,256,0.8491683006286621,0.8494037083503467,0.8493330860338413
12,256,0.4,90,168,1,300,64,0.8721783608198166,0.8386396538849042,0.8487012659653779
7,128,0.4,90,336,1,300,256,0.8329402208328247,0.8553947437722802,0.8486583868904435
1,128,0.1,90,168,1,300,256,0.8451525419950485,0.8400927108281935,0.8416106601782498
4,128,0.4,90,168,1,300,64,0.8554142713546753,0.8351898908803556,0.8412572050226514
13,256,0.4,90,168,1,300,256,0.8472250401973724,0.8386704029749047,0.841236794141645
0,128,0.1,90,168,1,300,64,0.8584847152233124,0.8317045701366734,0.839738613662665
2,128,0.1,90,336,1,300,64,0.8805772513151169,0.8213070256508941,0.8390880933501608
9,256,0.1,90,168,1,300,256,0.8535660803318024,0.8274184975234072,0.8352627723659257
5,128,0.4,90,168,1,300,256,0.7963845878839493,0.8436403473036543,0.8294636194777428
3,128,0.1,90,336,1,300,256,0.8198394626379013,0.7961589333389522,0.8032630921286369
