_queue_iter_idx,hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,NSE_1D,NSE_1H,_rank_score
4,128,0.4,90,168,1,300,64,0.9077069014310837,0.8830678514642178,0.8904595664542776
0,128,0.1,90,168,1,300,64,0.8998052030801773,0.8850590448095275,0.8894828922907224
2,128,0.1,90,336,1,300,64,0.9083000868558884,0.8812515521544401,0.8893661125648744
6,128,0.4,90,336,1,300,64,0.9049315899610519,0.8794992628512903,0.8871289609842188
10,256,0.1,90,336,1,300,64,0.8964059054851532,0.8787447525955886,0.8840430984624579
12,256,0.4,90,168,1,300,64,0.9019002169370651,0.8737126009621382,0.8821688857546162
15,256,0.4,90,336,1,300,256,0.8878145813941956,0.8786953181937983,0.8814310971539174
14,256,0.4,90,336,1,300,64,0.9078768789768219,0.8698825092912035,0.8812808201968889
8,256,0.1,90,168,1,300,64,0.8865941166877747,0.874525573308512,0.8781461363222907
1,128,0.1,90,168,1,300,256,0.8854728639125824,0.8734854987219236,0.8770817082791211
7,128,0.4,90,336,1,300,256,0.8673771470785141,0.8738031599818781,0.8718753561108689
11,256,0.1,90,336,1,300,256,0.874512642621994,0.8706764250141097,0.871827290296475
3,128,0.1,90,336,1,300,256,0.8728574961423874,0.8664763672454727,0.868390705914547
9,256,0.1,90,168,1,300,256,0.8803316950798035,0.8504501859764372,0.859414638707447
13,256,0.4,90,168,1,300,256,0.8473805785179138,0.8632312427155286,0.8584760434562442
5,128,0.4,90,168,1,300,256,0.8706614524126053,0.8437228391229218,0.8518044231098267
