_queue_iter_idx,hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,NSE_1D,NSE_1H,_rank_score
14,256,0.4,90,336,1,300,64,0.9167110323905945,0.8915232997622431,0.8990796195507484
0,128,0.1,90,168,1,300,64,0.9141933172941208,0.8788158778749736,0.8894291097007178
8,256,0.1,90,168,1,300,64,0.8839980363845825,0.8906691480718665,0.8886678145656812
12,256,0.4,90,168,1,300,64,0.9117473214864731,0.8780491633219991,0.8881586107713413
2,128,0.1,90,336,1,300,64,0.8899072855710983,0.8870210235579143,0.8878869021618694
4,128,0.4,90,168,1,300,64,0.8801781982183456,0.8847901704777505,0.883406578799929
10,256,0.1,90,336,1,300,64,0.8915652930736542,0.8795902189951443,0.8831827412186972
6,128,0.4,90,336,1,300,64,0.9004403203725815,0.8708069323469333,0.8796969487546278
1,128,0.1,90,168,1,300,256,0.9020979106426239,0.8671521841995684,0.8776359021324851
3,128,0.1,90,336,1,300,256,0.8940988928079605,0.8639307349087013,0.872981182278479
15,256,0.4,90,336,1,300,256,0.8770044595003128,0.8672615453764771,0.8701844196136278
13,256,0.4,90,168,1,300,256,0.8751902133226395,0.8678693386687889,0.8700656010649441
11,256,0.1,90,336,1,300,256,0.8704025894403458,0.8693173503456176,0.869642922074036
9,256,0.1,90,168,1,300,256,0.888529971241951,0.8592722184750412,0.8680495443051142
7,128,0.4,90,336,1,300,256,0.8809037953615189,0.8620698694630076,0.8677200472325609
5,128,0.4,90,168,1,300,256,0.8533443063497543,0.8644295426347949,0.8611039717492825
