_queue_iter_idx,hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,NSE_1D,NSE_1H,_rank_score
14,256,0.4,90,336,1,300,64,0.8944816291332245,0.849554539106667,0.8630326661146341
2,128,0.1,90,336,1,300,64,0.8851459920406342,0.8507690999037325,0.8610821675448028
12,256,0.4,90,168,1,300,64,0.890084981918335,0.84444626754183,0.8581378818547813
0,128,0.1,90,168,1,300,64,0.8833927363157272,0.8465452736189499,0.857599512427983
6,128,0.4,90,336,1,300,64,0.8705590516328812,0.8481354965910771,0.8548625631036182
4,128,0.4,90,168,1,300,64,0.880124643445015,0.8356683751097027,0.8490052556102964
1,128,0.1,90,168,1,300,256,0.8624922335147858,0.8341883289109593,0.8426795002921073
15,256,0.4,90,336,1,300,256,0.860442578792572,0.8338000259181044,0.8417927917804446
10,256,0.1,90,336,1,300,64,0.8842733353376389,0.8194345122693232,0.8388861591898178
3,128,0.1,90,336,1,300,256,0.855032816529274,0.8171181727569319,0.8284925658886344
11,256,0.1,90,336,1,300,256,0.8525674939155579,0.8163839354839093,0.8272390030134038
7,128,0.4,90,336,1,300,256,0.8505172878503799,0.8127039099257456,0.8240479233031359
13,256,0.4,90,168,1,300,256,0.84855817258358,0.811778528693623,0.8228124218606101
9,256,0.1,90,168,1,300,256,0.8497631549835205,0.8059898935366927,0.819121871970741
5,128,0.4,90,168,1,300,256,0.862041249871254,0.8002222617657253,0.8187679581973839
8,256,0.1,90,168,1,300,64,0.8278852701187134,0.8006068953411614,0.8087904077744269
