_queue_iter_idx,hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,NSE_1D,NSE_1H,_rank_score
2,128,0.1,90,336,1,300,64,0.8823025822639465,0.8498220524748089,0.8595662114115501
4,128,0.4,90,168,1,300,64,0.8801573365926743,0.8448886428710906,0.8554692509875657
14,256,0.4,90,336,1,300,64,0.8788840472698212,0.8418235286966794,0.8529416842686219
6,128,0.4,90,336,1,300,64,0.8739098161458969,0.8426381654847392,0.8520196606830865
0,128,0.1,90,168,1,300,64,0.8769253343343735,0.8406379168261628,0.8515241420786259
12,256,0.4,90,168,1,300,64,0.896387055516243,0.8304739706182467,0.8502478960876454
13,256,0.4,90,168,1,300,256,0.8768277168273926,0.8334657013610158,0.8464743060009288
5,128,0.4,90,168,1,300,256,0.8613503873348236,0.8339328030107153,0.8421580783079476
8,256,0.1,90,168,1,300,64,0.8583088666200638,0.8320827674905353,0.8399505972293938
15,256,0.4,90,336,1,300,256,0.8634894639253616,0.8263119380192385,0.8374651957910755
3,128,0.1,90,336,1,300,256,0.8563418090343475,0.8278469468117067,0.836395405478499
10,256,0.1,90,336,1,300,64,0.852853462100029,0.8276388845099204,0.8352032577869528
1,128,0.1,90,168,1,300,256,0.8502863347530365,0.8235619875326117,0.8315792916987391
7,128,0.4,90,336,1,300,256,0.8536132276058197,0.8142041003924645,0.8260268385564711
11,256,0.1,90,336,1,300,256,0.8607380092144012,0.810250272052926,0.8253965932013685
9,256,0.1,90,168,1,300,256,0.8443321883678436,0.8092066646206026,0.8197443217447749
