_queue_iter_idx,hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,NSE_1D,NSE_1H,_rank_score
4,128,0.4,90,168,1,300,64,0.9187987297773361,0.8490782364902006,0.8699943844763411
2,128,0.1,90,336,1,300,64,0.9232801795005798,0.8372009530704626,0.8630247209994977
5,128,0.4,90,168,1,300,256,0.9151629358530045,0.8403269324681597,0.8627777334836131
6,128,0.4,90,336,1,300,64,0.9069734662771225,0.8397598954167512,0.8599239666748626
14,256,0.4,90,336,1,300,64,0.9123707115650177,0.8368521042788193,0.8595076864646787
0,128,0.1,90,168,1,300,64,0.9118257910013199,0.8341963063768375,0.8574851517641822
12,256,0.4,90,168,1,300,64,0.9060655683279037,0.8347126186810501,0.8561185035751062
11,256,0.1,90,336,1,300,256,0.8988607078790665,0.836575465028026,0.8552610378833381
8,256,0.1,90,168,1,300,64,0.9077187776565552,0.8316502419485508,0.854470802660952
10,256,0.1,90,336,1,300,64,0.8969305604696274,0.8350186657515588,0.8535922341669793
1,128,0.1,90,168,1,300,256,0.8678519129753113,0.8468460066065975,0.8531477785172117
7,128,0.4,90,336,1,300,256,0.9049528241157532,0.8302640412050903,0.8526706760782892
3,128,0.1,90,336,1,300,256,0.9051732867956161,0.828474581652503,0.8514841931954369
13,256,0.4,90,168,1,300,256,0.8757172077894211,0.8306202420602512,0.8441493317790021
15,256,0.4,90,336,1,300,256,0.8511249423027039,0.8363340450705371,0.840771314240187
9,256,0.1,90,168,1,300,256,0.8654796630144119,0.8300869906606992,0.840704792366813
