hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,learning_rate,NSE_1D,MSE_1D,RMSE_1D,KGE_1D,Alpha-NSE_1D,Beta-KGE_1D,Beta-NSE_1D,Pearson-r_1D,FHV_1D,FMS_1D,FLV_1D,Peak-Timing_1D,Peak-MAPE_1D,NSE_1H,MSE_1H,RMSE_1H,KGE_1H,Alpha-NSE_1H,Beta-KGE_1H,Beta-NSE_1H,Pearson-r_1H,FHV_1H,FMS_1H,FLV_1H,Peak-Timing_1H,Peak-MAPE_1H,_rank_score
128,0.4,90,168,2,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.9048473843346928,78837.92939944635,280.78092777011466,0.8651510811607829,0.8871333515697767,0.9422962996431079,-0.028364317120480414,0.954003983331639,-12.712386445810594,-12.799980497707143,-87.71997131328266,0.0,36.46639632888019,0.8548815172158077,144372.51925688484,379.9638394069689,0.852670183199238,0.8924565672276206,0.932019760534989,-0.030816858383243623,0.9257088697867737,-7.809692727887242,-7.000119126742313,-1202.930631811619,,45.51353490799704,0.8698712773514732
128,0.1,90,168,2,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.8977084877250323,84752.80439228973,291.1233491018708,0.8207477974244592,0.8621857127107357,0.8953533071825653,-0.05143919648696663,0.9532277429504596,-14.590480942333425,-12.276749146047164,-39.115325084746665,0.0,32.20306952453576,0.8465581425129493,152653.10868640445,390.7084702004865,0.8372534360527627,0.877963356190358,0.9260519939679772,-0.033522171259561355,0.92173638106886,-10.478908012578279,-7.7005707414729505,-6474.168300961982,,42.74572341055869,0.8619032460765741
256,0.1,90,168,2,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.8903003375764351,90890.76722507123,301.4809566540998,0.8765138790329501,0.8947445719733315,0.9660889554980746,-0.01666901107191215,0.945044035781363,-11.091330974897467,-8.166567396686112,-280.5206574223191,0.0,38.33850884767934,0.8496068847939005,149620.03808629024,386.8074948683004,0.8076287891745109,0.836136871271109,0.9308312186295089,-0.03135564918292274,0.9267112731631604,-16.676428778789937,-8.861043439319074,-56.05530516451229,,41.46496099636799,0.8618149206286608
128,0.4,90,336,2,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.9037483879583844,79748.49395008788,282.39775840131574,0.8184237054008099,0.83952033952314,0.9257074183739404,-0.036518599880207524,0.9588072621820438,-18.365052548500696,-9.794172371675952,-162.10543459016316,0.0,24.069205365708598,0.8293398968515027,171387.22932842365,413.98940726596334,0.8280380371184344,0.8595371408259276,0.9533220449050606,-0.021264064541827696,0.9124656045952193,-14.228235156187816,-3.542603109865233,-58.16435297795525,,40.00962003327144,0.8516624441835672
128,0.4,90,336,1,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.9027911953404149,80541.56814473316,283.79846395767044,0.8177069302322527,0.8400167271411284,0.923249794312156,-0.03772664767991939,0.9582205598698801,-18.294575893236928,-0.21455758664203597,-149.79534431965774,0.0,26.29475562165927,0.827866537514812,172866.86616129757,415.7726135296763,0.8311424320217655,0.8662930346689706,0.9473928438848119,-0.023965102171252615,0.9112993077199326,-12.58214263801804,-15.371481540382218,-137.93931647544267,,45.53723786970427,0.8503439348624928
256,0.4,90,336,1,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.9254116790097134,61799.54952514724,248.59515185366595,0.8824750762566349,0.890072856191424,0.9776383127638072,-0.010991911856491787,0.9649559463114907,-13.71813576250665,-3.3098102413151573,-6639.80045789922,0.0,28.29375292852386,0.8141553358001123,186636.48676559748,432.0144520332595,0.8255374253085108,0.8643294163488137,0.9479255130735043,-0.023722445611324933,0.9034653921587076,-13.814560823716956,-4.655974401976738,-57.810786583179606,,41.044103056228145,0.8475322387629926
128,0.1,90,168,1,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.8543270213326313,120696.16717612065,347.4135391376114,0.7585771902683713,0.8187950075196276,0.8546672000073887,-0.0714384970374854,0.9342116955286884,-19.918744991158327,-5.914742542153848,-431.5159746281065,0.0,37.85819690017343,0.8398811701114586,159295.75894099282,399.1187278755443,0.7655111841792492,0.8401354321735446,0.8468125986832052,-0.06944303947188234,0.9227863692312953,-13.795115825211518,-16.017266527875694,-852.2447722648265,,43.417582643335315,0.8442149254778104
128,0.1,90,336,2,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.8935019587602119,88238.0899120461,297.0489688789478,0.7757058328231679,0.8147492981188053,0.8807936706877983,-0.058596001754952595,0.9578111159902944,-20.812520562948578,-7.743707553554609,-616.1652579161985,0.0,29.594920951609243,0.8000235659005615,200828.46745649964,448.13889304154316,0.7985725123463836,0.8324299727995735,0.9566279990908915,-0.01975804262983836,0.8969845239605406,-16.533385815314812,-11.233213643367185,-399.3709045570758,,37.67400572408674,0.8280670837584565
256,0.4,90,168,1,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.8265155376292926,143739.1468500582,379.1294592221214,0.7260940691658746,0.7434657774566472,0.9362338564306315,-0.031344317722522344,0.9282467384401456,-29.20848889638126,-28.150902489650733,-172.00282065250673,0.0,22.08991665387857,0.820868465877742,178210.73073124854,422.15012819049167,0.7588045190564114,0.8110620858969227,0.8775612188188194,-0.055504049558687235,0.9134756132361853,-16.806138112329165,-12.616804014015168,-71.80152125908421,,48.01319349205472,0.8225625874032072
256,0.4,90,336,2,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.8771834748431834,101758.63765486304,318.99629724318595,0.8574566932160177,0.8764429977420907,0.9638086012828582,-0.01778992168435782,0.9388244807063449,-13.888712605401585,-3.8508006066439995,-15.756709397872646,0.0,34.234029688109665,0.7929168705390213,207965.44209336423,456.0322818544365,0.7903264165399642,0.8265254842106889,0.9502777523684353,-0.022650886926213257,0.89324185247438,-17.90048241532291,-10.798525348807503,-10.398857440468106,,45.84653589704014,0.8181968518302698
128,0.4,90,168,1,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.8877300524961715,93020.35612052558,304.9923869878158,0.7965664346862618,0.8127762743210047,0.9357035005033292,-0.03160501475955273,0.9531123449977508,-20.809505708189914,-9.193825634847446,-50.55704592265406,0.0,29.832798117603048,0.786607650239561,212295.4329041317,460.7552852698835,0.7403068622800841,0.7859431914470558,0.8972987983760536,-0.04655659366812137,0.8947732368836667,-20.39202240986722,-19.50304600478203,-55.77708333580914,,42.178501374490196,0.8169443709165443
128,0.1,90,336,1,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.8935606233656131,88189.4838281615,296.96714267433947,0.8287527145407472,0.8399899176777148,0.9622265287451915,-0.018567591173288905,0.9520878804294729,-18.789906334240296,18.76336518285954,-1485.7151992280953,0.0,26.43615249730702,0.7796692104576533,221269.54606694978,470.3929698315545,0.6992186126318588,0.7556931078763426,0.8583521231021711,-0.06452745392213728,0.8964651536036251,-26.200281213832042,-17.44250889503491,-6271.03965634273,,48.074115338314954,0.8138366343300412
256,0.1,90,336,1,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.8740801246639753,104329.89332260778,323.00138284937384,0.7444978567333561,0.7866533602110004,0.8680183565036365,-0.0648757214365702,0.951570646457027,-23.034382492640706,-5.847042306331067,-463.40403069106566,0.0,30.16478790872642,0.7784262503727926,222517.80199308577,471.71792630033235,0.7293724388975613,0.8004120766750352,0.8546391802719578,-0.06621887883184442,0.8892111477671433,-17.887927695820807,-25.585777442276818,-758.9834652030802,,53.04481533560128,0.8071224126601473
256,0.1,90,168,1,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.905105666041458,78623.93218223113,280.39959376260003,0.8549693015015494,0.8656482608180188,0.9679662655887176,-0.01574621724040506,0.9557580115117683,-16.32656041515102,-10.018000965410266,-131.74015961181846,0.0,30.849073169671865,0.7559590881016066,242786.44991702214,492.7336500758012,0.7374922804201196,0.7811904668716371,0.9261874114071132,-0.03346078371404348,0.8751625344041531,-23.668940992498793,-15.835373376972084,-6497.607280842946,,47.48121690961173,0.800703061483562
256,0.4,90,168,2,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.8690714400701116,108479.79839493992,329.36271555071306,0.7390821159528378,0.7695581342087173,0.8876868966416909,-0.0552076289863078,0.9514154806516864,-25.111114001507328,-22.65761312563023,-33.78770041639296,0.0,33.49649540089965,0.7627600047113576,236020.49257397372,485.81940324978143,0.7900364275210559,0.8436174498856136,0.9380145824364898,-0.02809928076031685,0.8743536399360509,-16.157773351508826,-1.708487921877898,-181.827669925757,,56.41236251826349,0.7946534353189838
256,0.1,90,336,2,300,64,"{0: 0.01, 30: 0.005, 40: 0.001}",0.8952382490018439,86799.5006885168,294.61754986510357,0.822960084512943,0.8646968266266678,0.896636263987679,-0.05080855766403057,0.951501329622911,-14.850811668218618,-12.24676371566712,-260.7402954582748,0.0,41.367345053577,0.744952791282459,256133.88040678922,506.0967105275327,0.7277420752995822,0.7624654235096809,0.9723721561545182,-0.012585818155207757,0.8698523731365309,-23.41182431198959,-28.596043091961675,-6476.971636879828,,56.417752139908806,0.7900384285982744
