hidden_size,output_dropout,seq_length,num_layers,epochs,batch_size,schedule_pairs,learning_rate,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Peak-MAPE
256,0.4,90,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7981840670108795,4996097.0,2235.195069786975,0.8723699557675691,0.9771436192460612,0.9272866249084473,-0.03509547641838748,0.8976292076205405,-1.3045592233538628,13.543666834008716,-1539.7156913491658,0.4,32.5453782081604
128,0.4,90,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7918483167886734,5152943.0,2270.00947134588,0.8750293503063686,0.943385797979675,0.9748905897140503,-0.012119172360406624,0.8914550188652557,-3.3630281686782837,9.22371292730729,-1256.3081892070584,0.6,37.56896495819092
256,0.4,90,1,48,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7900542914867401,5197355.5,2279.7709314753533,0.8393428293396265,0.9076020383428759,0.9285362958908081,-0.03449232696941642,0.8896991289191292,-14.597839117050171,770.4670790610744,99.99999947157285,0.8,41.49003028869629
256,0.4,120,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7828118205070496,5376648.0,2318.7600134554677,0.8345679061450103,0.8840625265583013,0.97415691614151,-0.012473299400206833,0.8848548092802632,-12.642671167850494,-0.039465429636131484,-1782.3597351664712,0.8,45.04934310913086
128,0.4,90,1,48,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7669734954833984,5768737.0,2401.819518615002,0.8539825465663697,0.925447842882022,0.9739120006561279,-0.0125915053083236,0.8771892151863981,-8.898677676916122,16.96673580701285,-1150.9197422702794,1.0,42.48736381530762
256,0.4,90,1,32,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7648414075374603,5821518.5,2412.782315087708,0.879931233311548,0.9904458811251907,0.9841804504394531,-0.0076353950785909815,0.8813620237937559,-3.709831088781357,69.99796313051839,-374.7805027216695,0.8,36.563241481781006
128,0.4,120,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7616281658411026,5901064.5,2429.2106742726123,0.8112953790522079,0.8788820753522674,0.9299386143684387,-0.03381547670102178,0.8733852909829916,-12.045081704854965,1.9365063184087044,-1864.1302237036505,0.4,50.534849166870124
256,0.4,120,1,32,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7611327767372131,5913328.0,2431.7335380341324,0.8378909891290849,0.9151172647751497,0.9438353180885315,-0.027108162380471697,0.8738263848022179,-8.931983262300491,14.187330996691403,-1349.0662468761386,0.8,43.00320625305176
64,0.4,90,1,48,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7490957379341125,6211314.0,2492.2507899487164,0.7794418955005161,0.8504326758225786,0.9076162576675415,-0.044589486435810705,0.8668056414428099,-17.39334613084793,8.193665213804259,-1138.948596829652,0.6,49.01256084442139
256,0.4,120,1,48,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.748279869556427,6231511.0,2496.299461202522,0.8485585976693053,0.929661743661288,1.0196155309677124,0.009467513051718349,0.8673264948078491,-9.84649583697319,61.49771384227765,-486.4788548604172,1.2,44.358086585998535
256,0.4,90,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7471515834331512,6259443.0,2501.887887176402,0.8648993509686413,0.970653236565106,1.0236554145812988,0.011417395316867399,0.8702642138591761,-5.233272537589073,43.75213061384285,-781.6530207472797,1.0,40.80592155456543
64,0.4,120,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7445472776889801,6323914.0,2514.739350310485,0.6656826470262167,0.7510692997715569,0.8140903115272522,-0.08973023242942042,0.8765528991221743,-26.696643233299255,7.946826890261908,-1627.245726151663,0.8,54.99135494232178
128,0.4,90,1,48,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7419120669364929,6389151.0,2527.6769967699593,0.8380611770518369,0.9157298353674825,0.9811681509017944,-0.009089293400508703,0.8630033460620758,-12.883374094963074,23.457401641585633,-997.2376856739794,1.2,44.45655822753906
128,0.4,120,1,32,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7360979914665222,6533082.0,2555.9894365978903,0.8238380003412674,0.8948544462791685,1.0043232440948486,0.002086636049259233,0.8587244811830465,-15.294046700000763,39.73753338783323,-960.3738932557919,1.2,47.26476192474365
64,0.4,120,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7359207272529602,6537470.5,2556.8477662934883,0.7986117308169594,0.8620024286922491,1.036943793296814,0.017831133071098425,0.8580526103989744,-21.526136994361877,41.62690778644683,-675.8549008608206,1.0,50.27012825012207
128,0.4,90,1,32,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7355747818946838,6546034.5,2558.5219365876073,0.8686484202254442,1.0097447988909745,1.0051982402801514,0.0025089682415220015,0.8691135809114033,0.6352015305310488,11.60855785617086,-1764.728639592522,0.8,34.97256517410278
256,0.4,90,1,16,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.7352138459682465,6554969.5,2560.2674664964206,0.8668772091468029,1.0031155524823436,0.9825841188430786,-0.008405867959142856,0.8680581269619011,-2.8173888102173805,130.41870505228545,8.95379870012242,1.0,37.708377838134766
256,0.4,120,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7317986488342285,6639515.0,2576.7256353752528,0.8055460120062443,0.8817898719961028,0.9436162114143372,-0.02721390490101617,0.8562655661690449,-16.740423440933228,34.59447035297919,-887.4618485080335,1.2,48.70411396026611
64,0.4,120,1,32,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7302356064319611,6678210.0,2584.223287566305,0.7330462414098187,0.7972242661959759,0.9000041484832764,-0.04826348700461224,0.8580593761986736,-24.67559278011322,44.96723153807989,-427.81157269348034,1.2,55.32338142395019
128,0.4,90,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7280544936656952,6732204.5,2594.6492055767385,0.8165770477327241,0.9123485281328099,0.9280430674552917,-0.03473035804466525,0.8558355149257805,-16.151179373264313,90.64884400151583,-72.92971919087157,1.2,42.284698486328125
128,0.4,90,1,16,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.727532684803009,6745122.5,2597.137366409409,0.8565212633826467,0.971119485024602,0.9858887791633606,-0.00681084876061915,0.8601681825814766,-3.3706065267324448,23.278919708130744,-1060.8173019316005,1.0,43.10256004333496
128,0.4,120,1,48,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7236195802688599,6841994.0,2615.7205508234247,0.77515070703601,0.8475085884516802,0.9277782440185547,-0.034858181369963784,0.8513810512977441,-18.028713762760162,15.949283041628146,-1390.265244762622,1.2,50.95714569091797
128,0.4,90,1,32,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7208216190338135,6911259.5,2628.9274428937747,0.8228011402138737,0.920082305463694,0.9438316822052002,-0.027109928844852024,0.8521564405000769,-12.170825153589249,35.998023424473935,-710.4081791261833,0.8,49.75341796875
64,0.4,120,1,48,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7205677032470703,6917545.0,2630.1226207156196,0.677152282017083,0.7511679764345801,0.8505278825759888,-0.072143460264267,0.8586799406740219,-28.326061367988586,11.868217723599782,-1244.2617016147656,1.0,58.9369249343872
128,0.4,120,1,16,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.7182657420635223,6974532.0,2640.933925716431,0.7533647993237367,0.837362900283282,0.8921436667442322,-0.05205741087745585,0.8491851884429923,-23.0351522564888,58.49025927419756,-530.3992654494755,1.4,54.59033489227295
256,0.4,120,1,16,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.7157004475593567,7038038.0,2652.930078234253,0.7815477857223193,0.8554003662076934,0.9430325031280518,-0.02749565596967805,0.8464844629032712,-16.89555048942566,15.944241285784678,-1469.0192090014486,1.2,51.78029060363769
256,0.4,90,1,32,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7140714526176453,7078364.5,2660.519592109782,0.8350494595158355,0.9460189094123699,1.044646978378296,0.02154909897558805,0.850663567785098,-11.341449618339539,7.93815960212651,-1234.0149109672177,1.2,47.37729072570801
128,0.4,120,1,48,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7122560441493988,7123306.5,2668.9523225415624,0.7458986804215908,0.8162930529077672,0.9168086647987366,-0.04015271673389372,0.8454087973105472,-26.228049397468567,14.708765625386203,-876.7906777099668,1.0,52.034664154052734
