hidden_size,output_dropout,seq_length,num_layers,epochs,batch_size,schedule_pairs,learning_rate,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Peak-MAPE
64,0.4,90,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.8659284114837646,3319037.75,1821.8226450453403,0.8480923171911814,0.9182194706377309,0.8914570808410645,-0.05238877015413187,0.9321300964047503,-6.97837695479393,9.090002541061622,-985.8909512163315,0.0,21.279993057250977
128,0.4,90,1,32,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8561816662549973,3560325.25,1886.8824155203736,0.9242613187295037,0.9804353274818873,1.001691222190857,0.000816253749075305,0.9268514443248946,0.15516368439421058,7.484174980446189,-1278.5261252952334,0.0,24.757213592529297
128,0.4,90,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.8546342849731445,3598631.75,1897.0059963004862,0.9107596736019202,1.0257106927818143,1.0486302375793457,0.02347165011129707,0.9297298347426778,6.278045475482941,-5.929463648550853,-1668.3038445353748,0.0,19.621435403823853
64,0.4,90,1,48,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.8533448576927185,3630552.25,1905.4008108531916,0.9158877147426966,0.9654179268263721,1.0144009590148926,0.006950693857394901,0.9246901790888385,-2.380053326487541,10.97458066258068,-1308.8614041621427,0.2,27.523300647735592
128,0.4,120,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.8383491188287735,4001782.75,2000.4456378517264,0.8881509953535911,0.9267356935521891,0.9942098259925842,-0.002794644786584606,0.9156850243071997,-6.0177188366651535,-17.24208743139279,-2154.2119567948207,0.0,25.78852653503418
64,0.4,120,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.8320072591304779,4158779.75,2039.3086451050021,0.8945511663612363,0.9419348437650579,1.0106910467147827,0.0051600877972051784,0.9126295492324221,-7.68040269613266,3.590863139390099,-1533.517251248291,0.2,23.933193683624268
256,0.4,120,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.8303685486316681,4199347.5,2049.23095330907,0.914379999735081,0.9964009269619972,1.0086400508880615,0.004170180785852897,0.9148931222562855,0.8989674970507622,13.818772979639721,-1553.9821922049111,0.2,23.995280265808105
256,0.4,90,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.8279963135719299,4258073.5,2063.509995129658,0.8943434081180955,1.0643614241078816,1.0285805463790894,0.013794565688235132,0.9212340501004562,10.935944318771362,4.27370948699861,-1636.1562256914212,0.0,21.678175926208496
64,0.4,90,1,32,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8221027702093124,4403972.5,2098.564390243959,0.883319045927019,0.9762993474091758,0.9299252033233643,-0.03382195373708297,0.9097655997921064,0.7129807490855455,10.453391512634811,-673.5040064109561,0.0,23.216729164123535
256,0.4,90,1,32,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8185760974884033,4491278.0,2119.2635513309806,0.8980789335990478,1.053513762622124,0.9813187122344971,-0.009016623018640322,0.9152935039459621,8.444376289844513,34.67751770204125,-1277.5660289036357,0.2,22.915396690368652
64,0.4,90,1,32,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8181993216276169,4500605.0,2121.462938634564,0.8172306763057029,0.8548139000334254,1.0598268508911133,0.02887570626680717,0.906477970656005,-17.168454825878143,-25.581944681676923,-2253.7951877373616,0.6,25.068345069885257
