hidden_size,output_dropout,seq_length,num_layers,epochs,batch_size,schedule_pairs,learning_rate,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Peak-MAPE
64,0.4,90,1,16,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.894179992377758,203416.09375,451.01673333702377,0.8554353591581135,0.8652973956404154,0.9861860871315002,-0.007517575625882809,0.949370763666135,-14.898598194122314,14.170117746218494,-0.8249287671957743,0.0,26.005623340606686
256,0.4,120,1,32,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8915308192372322,208508.5625,456.62737817612293,0.8693970662914697,0.8819763342169167,0.9838830232620239,-0.00877088642221985,0.9464483084373113,-10.034093260765076,-2.2106212803002094,92.27030916072651,0.0,24.22865390777588
128,0.4,120,1,32,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.890187032520771,211091.6875,459.44715419730267,0.8135182844590665,0.8253699159801925,0.955217719078064,-0.024370621831450258,0.9523102599949065,-17.685072124004364,-1.6507621402635297,93.12504529868214,0.0,28.968048095703125
256,0.4,90,1,16,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8901029974222183,211253.234375,459.622926293935,0.9000378027897032,0.9262841945402489,0.9625293016433716,-0.02039163519155845,0.9438362424583525,-5.754871666431427,3.651453233191403,95.7576916913282,0.0,27.35435009002686
64,0.4,90,1,48,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.8882748484611511,214767.453125,463.4300951869656,0.8395554272855057,0.8484979243993419,1.0073537826538086,0.004001922183442615,0.9476979552702794,-15.475106239318848,5.826021433400637,94.4643568208604,0.0,27.715373039245605
64,0.4,120,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.8880419582128525,215215.140625,463.9128588700684,0.8504590610187953,0.8605984706526734,0.9936191439628601,-0.003472467706886747,0.9462506676949368,-14.416053891181946,6.368176846078789,-1.6911071666833772,0.2,26.458137035369873
128,0.4,90,1,16,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8873386904597282,216567.015625,465.3676134251287,0.8613507014543809,0.874122429315164,1.0178208351135254,0.009698125105157926,0.9446747524042332,-12.902465462684631,0.4147633323189922,95.20953310502661,0.2,27.03691482543945
64,0.4,90,1,32,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8869661539793015,217283.125,466.136380257967,0.8704712674187848,0.8889556069127816,0.9644699096679688,-0.019335543656464473,0.943569086406607,-11.222902685403824,5.9866462303752295,-1.0053380184543053,0.0,24.625487327575684
256,0.4,120,1,48,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.886043556034565,219056.625,468.034854471331,0.8296207492168423,0.8406964058638569,0.970123291015625,-0.016258967203229256,0.9474753747942919,-13.8814777135849,-10.807462936866115,98.78416587412092,0.0,29.52310562133789
256,0.4,90,1,48,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.8859473317861557,219241.609375,468.2324309304087,0.8937580608459172,0.91321824239427,0.9809830188751221,-0.010349080733729608,0.9417365413747504,-6.703256070613861,8.07942388979372,98.10596634482576,0.0,24.39174175262451
