hidden_size,output_dropout,seq_length,num_layers,epochs,batch_size,schedule_pairs,learning_rate,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Peak-MAPE
64,0.4,120,1,16,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8262797445058823,19042.43359375,137.99432449832855,0.834946176782131,0.866210405061604,1.0361779928207397,0.02316462149640521,0.9103659569107921,-21.390996873378754,19.915874985413048,-1357.5835414754613,1.4,33.86039972305298
64,0.4,90,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7857480049133301,23485.341796875,153.24927992285967,0.8480574608527,0.9022247707669345,1.0263488292694092,0.01687103006730733,0.8867203506931548,-15.827424824237823,-1.191535813051535,-1380.7532650330966,0.6,32.2086763381958
64,0.4,120,1,32,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7584149986505508,26481.462890625,162.73125972174185,0.7731552672090621,0.8123119105331761,1.0102274417877197,0.00654859440497754,0.8730074281630444,-26.324158906936646,19.828960981288596,-1385.2902814913618,1.4,34.22936201095581
128,0.4,120,1,16,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.7579236328601837,26535.32421875,162.8966673039998,0.8195573981800237,0.944257815060025,1.1192128658294678,0.0763315206445487,0.8765470373364598,-9.892633557319641,21.41773518080988,-21.715632904049404,0.6,34.64829683303833
256,0.4,120,1,48,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7430076599121094,28170.345703125,167.84023862925423,0.7643062905298423,0.8089443780116552,0.977380096912384,-0.014483413192479639,0.863847093403201,-26.441314816474915,14.521881522460282,-1317.706613547775,0.8,29.06545877456665
64,0.4,120,1,48,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7265717685222626,29971.974609375,173.1241595196205,0.7795215235663585,0.838311798263657,1.0277470350265503,0.017766282698151784,0.8526983162451873,-20.666225254535675,17.970339492771398,-1360.59655517931,0.6,49.94210720062256
64,0.4,120,1,16,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.6926214694976807,33693.453125,183.55776509044776,0.7814711054629377,0.898264274520912,1.1043280363082886,0.06680077866009002,0.837149207097753,-18.54511946439743,13.23119476533852,-1383.0950462925575,0.2,44.86041069030762
64,0.4,90,1,16,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.6911562383174896,33854.06640625,183.99474559413375,0.7002352740619258,0.7496393410830027,0.9844245314598083,-0.009972906913175381,0.835878593220966,-28.67875099182129,6.518605492828475,-1375.6766882903444,0.8,31.97514295578003
64,0.4,90,1,16,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.6827757060527802,34772.69921875,186.47439293036993,0.7801054564316443,0.8852419320570311,1.0786170959472656,0.050338177360584165,0.829695718321732,-13.125677406787872,-5.810187379845849,-1399.0759085090083,0.6,38.4973931312561
128,0.4,120,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.6737968027591705,35756.9296875,189.0950281934985,0.7958846599980025,1.039040388729062,1.129420280456543,0.08286725659475119,0.847064356415633,11.738790571689606,6.418143940759546,-1403.5130028647566,0.4,29.078872203826904
