hidden_size,output_dropout,seq_length,num_layers,epochs,batch_size,schedule_pairs,learning_rate,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Peak-MAPE
256,0.4,120,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.9983951966278255,175.91134643554688,13.26315748362911,0.99241591123099,0.992474808259239,1.00053071975708,0.0003398042546829432,0.9992201100972252,-0.7581038400530815,4.295828122903498,-69.55670041346382,0.2,2.758333683013916
128,0.4,120,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.9983265834162012,183.43240356445312,13.54372192436234,0.9876971844737517,0.9883574296474303,1.0038999319076538,0.002497121134847583,0.9992251731974001,-0.882414449006319,-4.815284154220631,-1364.7760259463173,0.2,2.212045192718506
256,0.4,90,1,32,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.998034147778526,215.48789978027344,14.679506114998333,0.9846067270394055,0.9876767150344279,1.0091803073883057,0.0058781112506133115,0.9990991912784103,-0.42373030446469784,-0.43916404655454516,14.112411861266342,0.0,3.5343113541603093
256,0.4,90,1,48,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.9978562232572585,234.9911651611328,15.329421553376788,0.9712631667024257,0.9722679539746589,0.992499589920044,-0.004802471551705783,0.9993049749260419,-3.2987482845783234,1.41633957451311,-1361.1481289990234,0.2,5.645779967308044
256,0.4,120,1,32,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.9976811911910772,254.17739868164062,15.942941970716717,0.9907188220218357,0.9912514576371986,1.0028858184814453,0.0018477461248811284,0.9988706980559748,-1.3289691880345345,9.115388997961999,-24.22970351393767,0.2,3.313997089862823
256,0.4,90,1,16,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.9975987444631755,263.21484375,16.223897304593617,0.9967398879780032,0.9969692760358131,0.9999380111694336,-3.9681467961754255e-05,0.9988003333655734,-0.9816018864512444,6.687963638008118,-1353.1687579708475,0.0,3.5712385177612305
256,0.4,90,1,48,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.9975889765191823,264.28558349609375,16.256862658461927,0.9809298980876825,0.9811260005974803,1.0025193691253662,0.0016131599786263907,0.9989541927950075,-1.8851784989237785,4.57821586106594,-61.099529159870755,0.2,2.8834661841392517
256,0.4,120,1,48,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.9975853159558028,264.68682861328125,16.26919876986206,0.9710144249452143,0.9732590228330208,0.9888480305671692,-0.007140544201145684,0.9991530766381074,-2.8641916811466217,6.1529044735695955,-1357.5981293396646,0.0,2.1201342344284058
256,0.4,90,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.9975473347585648,268.85015869140625,16.396650837637736,0.9900596348189675,0.9946176997044768,0.9917300939559937,-0.005295194634143779,0.9987956921139505,-1.4338256791234016,6.990327801245512,-31.436108430373316,0.2,2.7111440896987915
128,0.4,120,1,48,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.9973747981712222,287.7628479003906,16.96357414875741,0.9736925044839625,0.9766454512916664,0.9879343509674072,-0.007725580849585299,0.9989658392877802,-2.3603586480021477,4.132305632286496,-1346.0847766990985,0.2,0.7323276996612549
