hidden_size,output_dropout,seq_length,num_layers,epochs,batch_size,schedule_pairs,learning_rate,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Peak-MAPE
64,0.4,120,1,32,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.870145633816719,63666.765625,252.3227409985077,0.908323010182388,1.0549080453808695,1.0423983335494995,0.019711372718567915,0.9400653829018963,6.6281914710998535,-6.457900339230608,-2755.889756896363,0.2,22.946341037750244
128,0.4,120,1,32,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8635840564966202,66883.859375,258.6191396146078,0.8823057480272536,1.0704099070494981,1.072026252746582,0.033485628563222423,0.9391181402058805,6.873674690723419,-1.5104367640822858,-41.00937214645849,0.2,29.695680141448978
64,0.4,120,1,32,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8599175661802292,68681.515625,262.07158492480636,0.911643788395928,1.032232603324461,1.0475773811340332,0.02211914243388494,0.9328861250084721,5.33561185002327,18.313592348678387,-2464.4941920629267,0.2,23.004744052886963
256,0.4,90,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.8541776239871979,71495.78125,267.38695041082315,0.8957045743427782,1.019335116479047,1.074137806892395,0.03446730301462618,0.9292379008723687,-0.88224271312356,-5.008828347522569,-108.12995405062071,0.4,35.93531131744385
64,0.4,120,1,16,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8496843576431274,73698.796875,271.47522331697235,0.9163588683971099,1.0438992925092625,0.9958276152610779,-0.0019397702365755234,0.9289276268963207,7.097039371728897,22.584919256257116,-2631.0743675030553,0.2,23.20004940032959
64,0.4,90,1,32,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8486521244049072,74204.8984375,272.40576065402877,0.8472545649069924,1.1126202522873703,1.0827479362487793,0.03847022833824447,0.938350784570692,10.807384550571442,-3.396226881803041,-37.615796835543556,0.4,30.729217529296875
64,0.4,90,1,48,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.8466716110706329,75175.9296875,274.1822928044406,0.8243101023108848,1.0536729765385733,1.1523934602737427,0.07084905426013327,0.9309899644595312,4.903652146458626,9.852418480425278,-2767.248499541913,0.2,27.449367046356198
64,0.4,120,1,48,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.8466436862945557,75189.6171875,274.2072522518323,0.8579307839078859,1.095704978149419,1.082353115081787,0.03828665469283012,0.934867951400459,10.608740895986557,23.023990647844517,-2690.989610981327,0.2,17.196768522262573
256,0.4,120,1,48,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.8462101072072983,75402.203125,274.59461597962917,0.8785364161874593,1.0731703107546176,1.0684229135513306,0.03181041009010014,0.9313136642569575,9.357268363237381,0.69584714037666,-2660.377374756168,0.2,24.36854362487793
128,0.4,120,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8444815129041672,76249.71875,276.1335161656404,0.8847115510838354,1.0806714646274245,1.0453726053237915,0.0210941024133484,0.9312623252175871,9.518340229988098,10.583099946888346,-2746.144520827554,0.2,23.834173679351807
64,0.4,90,1,48,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.8442990481853485,76339.1796875,276.2954572328326,0.8894730729908773,1.0691944507761566,1.0498307943344116,0.023166758700462465,0.9296777310386849,8.965841680765152,-7.905413479857327,-2741.267249135666,0.2,18.102188110351562
256,0.4,120,1,16,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8424761891365051,77232.921875,277.9081176846045,0.8495001407986834,1.0871282709951462,1.10220468044281,0.04751585022447675,0.9320803761156207,10.082939267158508,-5.342272589397874,-383.726933434506,0.2,24.0956711769104
128,0.4,120,1,48,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.8422146141529083,77361.1640625,278.1387496601292,0.8121541322488889,1.1039670996976614,1.1425005197525024,0.0662497325063512,0.9354204824894833,10.989748686552048,7.730312534357582,-147.001030245652,0.2,18.720717430114746
64,0.4,120,1,16,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8419926464557648,77469.9921875,278.33431730115495,0.8328242075028569,1.1072654107939734,1.110552430152893,0.051396785369197895,0.9350381848195599,14.261755347251892,-7.932993152834516,17.2385642982026,0.2,17.870571613311768
64,0.4,120,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8416939824819565,77616.4296875,278.5972535534046,0.8914789705167381,1.0748965654905083,1.033742070198059,0.01568696073607279,0.9290860308783786,10.491950809955597,-1.7626708602019314,-2592.004407112877,0.2,21.448261737823486
128,0.4,120,1,32,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8391006290912628,78887.9375,280.8699654644476,0.8907418455909167,1.0540929470151195,1.058729648590088,0.027303921162702822,0.9254203394712516,8.212817460298538,4.103795383195006,-2699.0695536183216,0.2,24.09097671508789
256,0.4,120,1,16,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8387181460857391,79075.4609375,281.2035933936478,0.8665391685687858,1.0568084597290763,1.0955586433410645,0.04442604252789452,0.9261546337788475,10.212985426187515,-24.58011373977163,46.98249814009978,0.2,29.010787010192875
128,0.4,90,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8378544300794601,79498.9375,281.95555944155456,0.848298731997666,1.0996749107737072,1.0916633605957031,0.042615105077606935,0.9316186048689298,10.638702660799026,1.541763675235724,-2711.281705451629,0.2,22.27264642715454
128,0.4,120,1,16,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8375991135835648,79624.1171875,282.17745690876865,0.867885497560333,1.0932873149826516,1.0621637105941772,0.02890047144257418,0.930090117269647,11.729151010513306,13.823441720559446,-2612.1592783496885,0.2,22.037577629089355
64,0.4,90,1,16,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8365845829248428,80121.53125,283.0574698714026,0.9106885184943121,1.0128399566431476,1.0366042852401733,0.017017651747893936,0.9195524857798643,3.4017298370599747,6.613605579930089,-2560.1316263324234,0.4,30.847818851470947
128,0.4,120,1,16,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8360366821289062,80390.1640625,283.5315927061745,0.8446801721710597,1.1092291955316467,1.0871646404266357,0.04052362072429653,0.9322094606923929,13.744600117206573,-2.219743983988031,-2772.073745729626,0.2,19.952231645584106
128,0.4,90,1,48,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.8349487483501434,80923.578125,284.47069818348604,0.8116380381902022,1.1421204325050873,1.1067533493041992,0.04963056457612662,0.9376643462075012,12.039947509765625,3.5635035939907787,-2766.6900606438844,0.2,25.504474639892578
256,0.4,90,1,48,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.8342984616756439,81242.3984375,285.030521940195,0.8470660199702718,1.1387248430667607,0.9970192313194275,-0.001385780538840078,0.9356934281592553,12.950579822063446,25.244499068420502,-2665.2226674684257,0.2,26.04102611541748
128,0.4,120,1,16,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8335773199796677,81595.9765625,285.6500946306512,0.9084536311939055,1.0471066884525988,1.0037509202957153,0.001743818880976549,0.9215931881687155,6.821584701538086,15.44248843594212,-2616.3623663292124,0.2,33.89310359954834
