hidden_size,output_dropout,seq_length,num_layers,epochs,batch_size,schedule_pairs,learning_rate,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Peak-MAPE
64,0.4,120,1,16,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8829018324613571,57412.48046875,239.60901583360757,0.8169174079289705,1.1463829846581768,1.1021332740783691,0.047482639607713754,0.9592562686043155,19.151492416858673,2.4478458662526354,-44.06551254310768,0.0,11.041334867477417
256,0.4,120,1,48,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.8775398433208466,60041.4296875,245.03352768039724,0.8126105544556192,1.1678894304379226,1.0730657577514648,0.033968925845748454,0.9601334915892468,18.14892292022705,-5.225838404785478,30.162576570808184,0.0,14.267297983169556
64,0.4,90,1,16,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8663441985845566,65530.58203125,255.9894178110689,0.7771904006936529,1.1899269845849567,1.10944664478302,0.05088267456166998,0.9600839629314232,22.88489192724228,3.61371658555251,-2759.473073158716,0.0,22.49495267868042
64,0.4,120,1,32,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8648106902837753,66282.453125,257.45378832909023,0.8049841531661347,1.1831862753857465,1.051479458808899,0.023933261478691816,0.957293626384696,20.2981099486351,6.2264409315600835,-92.3916573303921,0.0,18.267338275909424
64,0.4,120,1,16,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8630750626325607,67133.421875,259.1011807672825,0.8482228744557955,1.0805181379216866,1.1143054962158203,0.05314160667036545,0.9409459667851503,10.866675525903702,23.440263842367624,-2567.127624749398,0.0,16.234591007232666
128,0.4,120,1,48,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.859039917588234,69111.828125,262.89128575325583,0.798590804534225,1.1780858742869196,1.082209587097168,0.038219971958384745,0.9542542987052622,22.347089648246765,12.95905879596783,-150.90594108814358,0.0,16.56553626060486
64,0.4,90,1,32,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8578539490699768,69693.296875,263.99488039543496,0.7494471106577407,1.1735701020768838,1.1750248670578003,0.08137058733542331,0.9550949230690575,24.20830726623535,-16.923516874817206,-94.40636287826514,0.0,11.716467142105103
128,0.4,90,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8576991260051727,69769.2109375,264.1386206852379,0.7790084960474267,1.2063655425468534,1.0676475763320923,0.03144997465620256,0.9590816290041155,20.926746726036072,7.41050823944382,-2759.4993245599053,0.0,19.827115535736084
128,0.4,90,1,48,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.8574793934822083,69876.9453125,264.34247731399506,0.7475974512264086,1.204543839975384,1.1423760652542114,0.06619189721967864,0.9600260059756572,25.014597177505493,3.086495163107037,-46.520227372280246,0.0,22.92372226715088
64,0.4,120,1,48,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.8572997897863388,69965.0,264.50897905364195,0.7786816478532579,1.1741709440226773,1.1284517049789429,0.059718311209629164,0.9536701527824514,21.84295803308487,7.911379083033915,-2745.0796685356713,0.4,12.647912502288818
64,0.4,120,1,32,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8571589142084122,70034.0703125,264.6395101123413,0.7818861627690239,1.1551274882357274,1.1451364755630493,0.06747521298160297,0.9505579951212396,20.07737308740616,11.80658820038622,-106.46515283257838,0.4,16.021978855133057
64,0.4,90,1,48,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.8550209403038025,71082.3046875,266.6126491513484,0.7535626829127339,1.1925863617682169,1.1475478410720825,0.06859626742304355,0.9567394046617629,23.327182233333588,-13.254880766553597,-2807.6167110454585,0.0,25.313122272491455
64,0.4,120,1,16,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.847693145275116,74675.078125,273.26741138489234,0.7508442580071547,1.1797338530809385,1.165640950202942,0.07700792391369249,0.9516533202737618,22.218990325927734,16.957331952119674,-114.76332515752861,0.0,14.429726600646973
256,0.4,120,1,48,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.8465735912322998,75223.984375,274.26991153788634,0.7506543390908393,1.226767844277946,1.095326542854309,0.04431812981515808,0.9592268023917063,24.51018989086151,54.121226078984186,-218.30924760000184,0.0,17.886732816696167
64,0.4,120,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8450985848903656,75947.171875,275.5851445107301,0.737533343925309,1.2179161253234438,1.1400254964828491,0.06509908487753258,0.9576423771939588,26.219075918197632,5.3653855544689755,-134.13594938560286,0.0,15.841737985610962
64,0.4,90,1,48,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.8442612737417221,76357.703125,276.32897626741936,0.7015002402422391,1.2011148655863482,1.2161885499954224,0.1005079219524356,0.9562115509922671,25.342240929603577,-2.681283815680218,-221.86267306236377,0.0,19.156579971313477
128,0.4,120,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8437103629112244,76627.8125,276.8172908255552,0.7146284755325993,1.2316622698192636,1.1619269847869873,0.0752812769264228,0.9606407403927655,27.339476346969604,-2.894636568483109,24.376849784293935,0.0,22.36233949661255
128,0.4,120,1,32,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8361962884664536,80311.9140625,283.39356743317234,0.7353545629810372,1.2285464863646882,1.1259629726409912,0.05856130039177196,0.9559881785339652,27.639800310134888,27.15899303057132,-73.49284106264876,0.0,17.560794353485107
128,0.4,120,1,32,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.834104910492897,81337.296875,285.1969440141321,0.7329518208778948,1.242079333277256,1.1045376062393188,0.048600468871148474,0.9577600277672399,26.004207134246826,8.43377406270838,-69.13457150473008,0.0,27.562110424041748
128,0.4,120,1,16,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.828809380531311,83933.6640625,289.71307195654805,0.7901504240561712,1.1327959198883217,1.1486254930496216,0.06909730318460178,0.9343299840065794,16.194891929626465,8.00583946298079,-2715.114410025281,0.0,16.44889235496521
64,0.4,90,1,16,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8240591883659363,86262.65625,293.7050497522983,0.718549088367377,1.2180068661424734,1.170806884765625,0.0794096355243769,0.9498738582151512,27.702319622039795,10.086485965866473,-343.1859399813142,0.0,26.07885360717773
64,0.4,120,1,48,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.8217288255691528,87405.21875,295.64373619273584,0.6898014257597208,1.2594611250554055,1.1648114919662476,0.07662229722455999,0.9582836703251025,28.767693042755127,1.3762856373725858,-4.654194444053694,0.0,28.006250858306885
256,0.4,120,1,16,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8210665434598923,87729.9296875,296.1923862753734,0.7023185357909854,1.2681362437223436,1.12264883518219,0.057020493391218015,0.9590796851851447,30.41684329509735,9.453202714080458,-67.33982585080025,0.0,24.324028491973877
128,0.4,90,1,32,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8178221881389618,89320.609375,298.8655372822367,0.6863093551251322,1.2399460959438156,1.1965453624725342,0.09137565609491088,0.9531213031978085,28.360462188720703,20.484772125902236,-202.86551844914217,0.0,18.584120273590088
128,0.4,90,1,16,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.817368894815445,89542.859375,299.237129004741,0.7868334991506125,1.1659173648378018,1.1168497800827026,0.05432446249575606,0.9347503714625461,21.388942003250122,0.10315397251577146,-2628.924139096542,0.0,13.575717210769653
256,0.4,90,1,32,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8167858868837357,89828.7109375,299.714382266684,0.6997171402416826,1.2608738401889432,1.14207124710083,0.06605016372136728,0.9560637266382108,27.759644389152527,-7.8231840853177275,-23.887835401512707,0.0,27.774658203125004
64,0.4,90,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8131929636001587,91590.2890625,302.638875662893,0.7045245658580372,1.2744392003824887,1.1007479429244995,0.046838606426733764,0.9571198242624479,30.372855067253113,4.092643602382491,-2697.7051967037783,0.0,25.92384099960327
128,0.4,90,1,16,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8127635568380356,91800.8359375,302.98652765015805,0.7158334138897696,1.2386480053799456,1.1456822156906128,0.06772891245690138,0.9492607625087822,29.03287708759308,15.584523751774649,-2628.0308755087976,0.0,21.436762809753418
64,0.4,90,1,16,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.811001792550087,92664.609375,304.4086223729545,0.8169633236293873,1.1358974079593034,1.0976476669311523,0.045397256942522536,0.9258430546095254,14.719244837760925,28.18678551755279,-1948.397849556038,0.0,23.85190725326538
128,0.4,120,1,16,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8051058202981949,95555.375,309.1203244692914,0.6956082167426931,1.2162783450652814,1.20643949508667,0.09597550085053173,0.9428968473834664,26.719292998313904,5.091297565305448,-77.8722758127764,0.0,15.942111015319824
256,0.4,90,1,32,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8025975525379181,96785.1640625,311.1031405539006,0.6879739932754363,1.2681450475866298,1.152321219444275,0.07081545139199119,0.9524951746214075,32.058703899383545,-0.7167717183528323,-2755.976386520288,0.0,24.782934188842773
128,0.4,120,1,16,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8018471002578735,97153.1015625,311.6939228834916,0.6225519380234168,1.2700156508300258,1.260119080543518,0.12093162317543181,0.9564494347463659,32.532066106796265,-7.147092384606251,47.148385368041914,0.0,28.608212471008297
256,0.4,120,1,16,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8010739535093307,97532.1640625,312.3013993924779,0.6624700575689157,1.2564510751392384,1.2138993740081787,0.09944370037747657,0.9509452765131736,31.57893419265747,-2.740640068391996,15.124297328205017,0.0,19.881813526153564
64,0.4,120,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7977653443813324,99154.359375,314.8878520600628,0.6740858990505908,1.2977460799922595,1.1255604028701782,0.05837410931697267,0.9575516987621032,32.55229592323303,2.4267414208440035,-60.702994331917395,0.0,33.585569858551025
