hidden_size,output_dropout,seq_length,num_layers,epochs,batch_size,schedule_pairs,learning_rate,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Peak-MAPE
64,0.4,120,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8504321836960845,25622.787109375,160.07119387752127,0.8500996131765272,0.8716153872810805,0.9870498584257404,-0.009907591669167411,0.9237123131752014,-12.386993,-14.925639,-21.156694,0.2,36.18613
256,0.4,90,1,48,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.848497624230913,25954.208984375,161.10310048032906,0.8612560428257834,0.8855326732352059,0.9934649360361906,-0.004999694012149561,0.9218692779541016,-11.0805435,-15.69069,31.350079,0.2,38.251953
64,0.4,120,1,16,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8472052738128268,26175.580078125,161.78868958652518,0.8395908352219925,0.8595611618100619,1.0041399628765113,0.0031673060460987285,0.9225991368293762,-11.107414,-15.478815,39.811222,0.2,35.466827
256,0.4,120,1,16,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8463880312150482,26315.59765625,162.22082990864644,0.8984897871021857,0.9380494048720639,0.9900968371790003,-0.007576480372907025,0.9201979041099548,-4.919353,-7.680131,58.986187,0.2,33.89958
256,0.4,90,1,16,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8462825334393214,26333.666015625,162.2765109793312,0.8577057380951186,0.8836117331225581,1.0208073684149659,0.01591881515605749,0.920826256275177,-9.732384,-17.122545,47.77978,0.2,38.948547
64,0.4,120,1,16,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8449459688447887,26562.662109375,162.9805574581674,0.8207456955224242,0.8381733483844948,0.9939391953493483,-0.004636858780339801,0.9231396913528442,-13.858649,-19.729103,-6.1260214,0.2,37.66498
128,0.4,120,1,48,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.8442250656003671,26686.1328125,163.35890796800766,0.8843698577813475,0.9223761910484913,1.0282189591930748,0.021589101818747545,0.9190768003463745,-6.7082567,-11.212805,-23.429804,0.2,33.5062
128,0.4,90,1,32,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8425219188913504,26977.92578125,164.2495838084529,0.8788273664140073,0.9116260636764404,1.011907657731458,0.009110032493697757,0.9179569482803345,-7.6977057,-18.821817,-52.45425,0.2,34.65585
256,0.4,90,1,16,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8422368669932367,27026.7578125,164.3981685192995,0.8735184555901488,0.9102208052567975,0.9647832824796794,-0.026942783221248386,0.9181644320487976,-7.473792,-13.335789,61.865635,0.2,36.90799
256,0.4,120,1,32,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8418976535286055,27084.87109375,164.57481913631258,0.8676657608398367,0.8964279052071759,0.9945497283200562,-0.004169766483344307,0.9178083539009094,-9.12204,-8.872112,75.888756,0.2,39.79358
128,0.4,90,1,32,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8417418217458844,27111.576171875,164.65593269565176,0.8838905778843432,0.9184421458080033,1.0043274114365788,0.0033107148097382294,0.9174712896347046,-6.771957,-11.964859,-16.485746,0.2,36.242847
128,0.4,90,1,48,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.840823687237878,27268.83984375,165.13279457379141,0.8298126341096355,0.8562297283049084,0.9569403190769629,-0.032943094370339675,0.9197521805763245,-13.187011,-18.06389,14.688312,0.2,38.61755
256,0.4,90,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8401842182542956,27378.39453125,165.46417899729838,0.8478545659017869,0.8753711485161801,0.9704701537560065,-0.022592004648066048,0.9178789258003235,-11.379854,-18.021532,39.41468,0.6,40.242363
128,0.4,90,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.8392930365888397,27531.068359375,165.92488770336715,0.8627998864107511,0.8931591439123533,1.0211813017892906,0.01620489536321495,0.916571855545044,-8.939314,-19.839928,-65.071045,0.6,37.062325
256,0.4,90,1,32,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8392102376271121,27545.2421875,165.96759378716075,0.8904680099667646,0.9297420927946866,0.9938314485677774,-0.004719291169927957,0.9161964654922485,-6.286775,-14.345032,37.641045,0.2,35.54005
64,0.4,90,1,16,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8383980486873117,27684.41015625,166.38632803283448,0.8909246981781327,0.9307565715499132,0.9972848389291628,-0.002077251978414216,0.9157658219337463,-5.570664,-18.96879,26.623074,0.6,32.62071
128,0.4,90,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8374724403095949,27842.921875,166.8619845111522,0.8776554211384568,0.9120961789859341,0.9934986671395446,-0.004973887807895666,0.915153980255127,-7.265872,-12.24031,22.393234,0.2,39.625652
128,0.4,90,1,16,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8368234397432434,27954.158203125,167.1949706274833,0.8622772056659835,0.8925445138590377,0.9852422567842887,-0.01129050928912755,0.9151289463043213,-9.043317,-16.599792,62.21257,0.2,37.52399
128,0.4,90,1,16,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8368187699073901,27954.94140625,167.19731279613916,0.8376052436833714,0.8607365975478207,0.99885285336222,-0.0008776321406688821,0.9164748787879944,-11.141775,-21.998867,63.34484,0.2,41.490894
