hidden_size,output_dropout,seq_length,num_layers,epochs,batch_size,schedule_pairs,learning_rate,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Peak-MAPE
128,0.4,90,1,32,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7712479345500469,33621.208740234375,174.69103795371223,0.7913391178342855,0.8472324688721502,0.984508603811264,-0.004830069585792166,0.8824192912849597,-15.331360325217247,-13.422440994168024,-37.68826166430073,0.375,35.18459675833583
256,0.4,90,1,32,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7663660533726215,33381.089111328125,174.86652521419472,0.7869878654364458,0.8619081082422632,0.9642808586359024,-0.02863338420055493,0.8812406522511911,-13.891700748354197,-13.80977289933233,12.337455543369115,0.125,34.70037654042244
256,0.4,90,1,16,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.7583757415413857,37530.060791015625,182.1446931654109,0.7765181035702936,0.8354492114738096,0.9945337325334549,-0.007724883438066441,0.8797314989386458,-15.6089331721887,-7.149767026836996,20.634152481410325,0.125,38.92671000212431
64,0.4,90,1,32,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7564823441207409,35488.712646484375,179.34186974127346,0.7685064371140767,0.8263667895800448,0.9679615944623947,-0.019396339501509062,0.8744032740129929,-16.711032390594482,-13.714914001074803,-57.075651163713445,0.125,36.81645728647709
256,0.4,90,1,48,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7543551437556744,33214.488525390625,175.7856580007914,0.7415736715661079,0.787820967169563,0.9363733679056168,-0.051556314426937866,0.8736810512453402,-20.708586275577545,-15.923546922298698,-3.7954711154425755,0.25,35.87525421753526
128,0.4,90,1,16,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.7530598752200603,35912.248779296875,180.51075058419593,0.7725997023700917,0.8327172407780747,0.9775638729333878,-0.010236783304665204,0.8729083844989346,-16.070341132581234,-8.885031856389492,-49.84095986015433,0.375,36.1520251724869
256,0.4,90,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7477877214550972,35808.154052734375,180.7655815676801,0.7462132998570159,0.7935251414907307,0.9485983848571777,-0.03977513324708115,0.8709993325810332,-19.918864965438843,-20.636447361516492,18.6930081556762,0.375,39.52540270984173
256,0.4,90,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7452116496860981,37094.326171875,183.39651446139007,0.7706405983389285,0.843499851014936,0.9095889776945114,-0.07402605292505333,0.8684218226200292,-16.79629758000374,-6.4937195101421965,-57.48436957431177,0.625,37.163928151130676
128,0.4,90,1,48,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7438659369945526,36204.28076171875,182.69825575319302,0.7709687237838346,0.8481490001219361,0.9702196717262268,-0.014260408210812854,0.8670645045126864,-15.030995942652225,-15.052853048831018,-78.10716167169174,0.625,34.35181712266058
128,0.4,90,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.743764154613018,37109.55078125,185.18700050397553,0.7817168185451701,0.8770303287530599,0.9632090479135513,-0.021438987442656106,0.8715002079493265,-13.809861056506634,-1.2189495207142924,-1080.6333038325524,0.375,35.34059543162584
