hidden_size,output_dropout,seq_length,num_layers,epochs,batch_size,schedule_pairs,learning_rate,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Peak-MAPE
256,0.4,90,1,32,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8177656978368759,31218.966796875,176.68889834077012,0.8066186400381758,0.8306036513567059,0.9869747757911682,-0.009965028906635365,0.907633496432344,-16.826526820659637,-17.232231802723074,38.498533200401596,0.4,45.430049896240234
64,0.4,90,1,16,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8054584860801697,33327.34375,182.55778194862032,0.823089681330217,0.8551028082311469,0.997798502445221,-0.0016842603536334766,0.8985247908213011,-15.045192837715149,-13.269937343632659,-2259.8350452320765,0.4,44.37199592590332
256,0.4,90,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.800889328122139,34110.09375,184.68918146442687,0.8321366465632876,0.8787322222902195,0.9485524892807007,-0.039360286316149594,0.8959548888359598,-12.113640457391739,-15.98648675820627,-55.618952012933455,0.4,44.83874797821045
128,0.4,120,1,16,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.7973060756921768,34723.94921875,186.3436320853224,0.7626990836584691,0.7905730673180644,0.9495065808296204,-0.03863033939582514,0.9004886972025257,-21.425379812717438,-5.518689572648043,-334.6027290558229,0.4,52.78262615203857
64,0.4,90,1,48,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7946859151124954,35172.81640625,187.54417188025332,0.8057966005807221,0.8385625059446434,0.9842537641525269,-0.012046778537790974,0.8932060305271592,-14.736692607402802,-19.463691226574685,-2276.0158973856974,0.4,47.97301769256592
64,0.4,90,1,32,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7937929332256317,35325.79296875,187.95157080681716,0.8165435522532412,0.8526290254913685,0.9841227531433105,-0.012146980342308239,0.8918983019352271,-13.713391125202179,-17.97075981171731,-39.667011489073836,0.4,46.88279151916504
128,0.4,90,1,16,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.7905851006507874,35875.3359375,189.40785606067135,0.8139879784760197,0.8510507180392004,0.9815441966056824,-0.014119754059500259,0.8901183960989364,-14.772504568099976,-13.222008042823214,-2257.2969022356306,0.4,50.51851272583008
256,0.4,90,1,16,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.7897198051214218,36023.5703125,189.79876267378563,0.766730957307252,0.806760045802326,0.9222136735916138,-0.05951095030978505,0.8950140304404446,-18.818393349647522,-13.801441084150365,-7.756294414327758,0.4,54.33984279632569
128,0.4,120,1,32,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7887482345104218,36190.01171875,190.23672547315883,0.7812568690579423,0.8129227148421803,0.9654853940010071,-0.026405645512706605,0.8920213507907778,-17.88754016160965,-18.87959786588029,-223.08743000990523,0.4,54.31631565093994
256,0.4,120,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.78830985724926,36265.109375,190.4340026754676,0.7578172067818135,0.7817893727101602,0.9947633743286133,-0.004006302612398923,0.8950752401941502,-21.574752032756805,-15.044382359291756,42.00920822650857,0.4,59.2645263671875
