hidden_size,output_dropout,seq_length,num_layers,epochs,batch_size,schedule_pairs,learning_rate,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Peak-MAPE
64,0.4,120,1,16,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8563601225614548,24607.267578125,156.86703789555344,0.870011185163227,0.8983534904365894,1.0333735942840576,0.02553273222081558,0.9261672005081247,-7.893615961074829,-14.337074701180509,35.38290669782651,0.2,32.43121385574341
64,0.4,90,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8485729396343231,25941.30859375,161.06305781820362,0.8638326242220564,0.8886653252355922,1.0053353309631348,0.004081804192844603,0.9217844090678269,-10.670829564332962,-14.13853751838091,-154.5226744034377,0.2,35.9474515914917
128,0.4,90,1,32,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8461114317178726,26362.99609375,162.36685651249766,0.8977337081961256,0.9363446470190516,0.9978095293045044,-0.0016758549042479225,0.9199900486544441,-5.968981608748436,-14.210450413982748,-71.25038529054513,0.2,31.962225437164303
128,0.4,90,1,48,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.8456587195396423,26440.548828125,162.60550060845114,0.8649014674963785,0.8937217928971003,0.975864827632904,-0.018464781535734588,0.920162354528482,-10.791879147291183,-7.729802724140231,-27.06414064508303,0.2,36.478800773620605
64,0.4,90,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.8455151617527008,26465.140625,162.68110100746185,0.886284365412703,0.9241510680450621,1.0272129774093628,0.020819487075884248,0.9197651015367728,-7.835708558559418,-5.577303508104338,-70.26654523359869,0.2,31.63125991821289
256,0.4,120,1,48,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.8451234847307205,26532.240234375,162.887200953221,0.8818470325116781,0.9156375275296901,0.9812692403793335,-0.014330111490175578,0.9194254655053753,-7.657409459352493,-15.882633624989914,56.20838070217714,0.2,34.944748878479004
128,0.4,90,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.844928577542305,26565.6328125,162.98967087671537,0.8613735090176453,0.8869700788121478,1.0027539730072021,0.002106965979312272,0.9197880523174733,-10.996727645397186,-14.970953912676176,-47.79485707271057,0.2,33.29704523086548
256,0.4,120,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8433765321969986,26831.515625,163.80328331568938,0.9023852324468383,0.9462899894784419,0.9931026697158813,-0.00527685264583639,0.9187823636813797,-4.532453790307045,-7.897498443810274,-2261.3453546457276,0.2,33.83512020111084
64,0.4,120,1,16,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8422442823648453,27025.482421875,164.39428950506462,0.8480751154702393,0.8745704925962,0.9717300534248352,-0.021628106053177002,0.9190715171743684,-10.435649752616882,-11.48973323412136,56.362798692473326,0.2,40.05241394042969
256,0.4,90,1,48,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.8420782685279846,27053.92578125,164.48077632735686,0.8585756473282619,0.8937234887333799,0.9542974829673767,-0.03496504733963841,0.9186524086496783,-11.154843121767044,-11.494431442263945,19.422575963095102,0.6,43.11473846435547
128,0.4,120,1,16,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8414599597454071,27159.84765625,164.8024503951625,0.8147931061107416,0.8340943460081119,0.9746184349060059,-0.019418357648922076,0.9216885469997507,-14.700457453727722,-16.057566100750552,64.93652830724486,0.2,39.48366165161133
128,0.4,90,1,16,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8409443497657776,27248.1796875,165.07022653252767,0.8251062904268585,0.8491465888253237,0.9616451263427734,-0.029343645001006443,0.9202506322786405,-14.292965829372406,-13.255653275328182,22.668057205543267,0.2,39.746642112731934
256,0.4,90,1,16,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8400146961212158,27407.439453125,165.5519237373127,0.8713225581295013,0.9022143197890085,1.0070031881332397,0.005357810395181466,0.9166525336439091,-7.143465429544449,-15.556032381529503,68.21647551174124,0.2,36.17912769317627
64,0.4,90,1,16,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.839470773935318,27500.62109375,165.83311217531318,0.8615663800578507,0.889490238987571,0.9992021322250366,-0.0006104273286228408,0.916628402568519,-7.85171240568161,-21.81275740909232,13.682593921134254,0.2,32.919485569000244
64,0.4,90,1,16,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8386690467596054,27637.966796875,166.2467046195954,0.8395748246296524,0.8624607469200295,1.0016649961471558,0.0012737942419722428,0.9174383954695612,-11.617252975702286,-19.75778390079043,33.49287622890751,0.2,37.73589849472046
256,0.4,90,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8375508487224579,27829.52734375,166.8218431253833,0.869968612093144,0.9048349029649854,0.9734355807304382,-0.020323270634087932,0.9154654048559382,-7.8096263110637665,-16.842924636069277,14.031165797501963,0.6,38.299875259399414
128,0.4,90,1,32,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8360388427972794,28088.55078125,167.5963925066706,0.842242016239106,0.8748870978563892,0.9533838033676147,-0.03566402681485818,0.9159686167611376,-10.91412603855133,-14.049271563671775,9.235722611810587,0.2,38.948307037353516
64,0.4,90,1,48,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.8359222263097763,28108.529296875,167.65598497183154,0.8631667396912026,0.8936990834373569,1.011155366897583,0.00853448040682375,0.9145657325538669,-9.0726837515831,-19.773886630311388,-2280.126088409222,0.2,35.01441478729248
256,0.4,120,1,32,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8357650488615036,28135.455078125,167.73626643670414,0.8839199601919618,0.9256430353109979,0.9748889207839966,-0.01921139189080584,0.914471927739006,-7.21202939748764,-11.17483962224207,43.03992389735333,0.2,33.76273155212402
128,0.4,90,1,48,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.8357580155134201,28136.662109375,167.7398644013253,0.8667797109363926,0.9150887401632279,0.9420430660247803,-0.0443403676130662,0.9152726893185243,-7.433988153934479,-12.449607468671944,-120.88592005168826,0.6,38.46595525741577
64,0.4,120,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8349264115095139,28279.125,168.16398246949316,0.8395336037797027,0.863887387623197,1.0055161714553833,0.0042201991796576325,0.9151920232503661,-12.824493646621704,-17.746837149437606,33.37278128720254,0.2,35.81153631210327
256,0.4,120,1,32,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8349108397960663,28281.791015625,168.17190911571706,0.8678104424642906,0.8999820831210465,1.0070477724075317,0.00539194831680876,0.9138557934114371,-8.344638347625732,-16.358440865752772,72.67900179933456,0.2,41.30646228790283
256,0.4,90,1,32,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8348901569843292,28285.3359375,168.1824483633771,0.8667559604879596,0.8983515734042734,0.9992246627807617,-0.0005931740377788084,0.9138549462342972,-8.607260882854462,-18.51431218279423,61.51111306769737,0.2,36.650614738464355
64,0.4,90,1,48,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.834717407822609,28314.9296875,168.27040645193676,0.8754512829628333,0.9103157720884518,0.9967197179794312,-0.0025096164976851835,0.9136381917200708,-8.026468008756638,-14.569560226687827,1.5312521898300318,0.2,32.60043144226074
