hidden_size,output_dropout,seq_length,num_layers,epochs,batch_size,schedule_pairs,learning_rate,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Peak-MAPE
128,0.4,120,1,16,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8120252937078476,32202.3671875,179.4501802381374,0.8150397134967375,0.847903245904371,0.9582298994064331,-0.0319564863157072,0.903396978963668,-16.302001476287842,-0.8953875389160589,-2233.7552448410397,0.4,45.90227127075195
256,0.4,90,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8052157759666443,33368.921875,182.67162306992293,0.7889639862844748,0.8211678708333118,0.9458245635032654,-0.04144727092016814,0.901916919180541,-16.682563722133636,-13.813110826956143,-161.0585831705627,0.4,45.05627632141113
256,0.4,120,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8018897026777267,33938.71875,184.2246420813459,0.7819199659807912,0.8111655335285265,0.9550687670707703,-0.034374970046370065,0.9005936127921724,-17.823071777820587,-12.263459915409648,-2267.987019371038,0.4,49.54639434814453
128,0.4,90,1,32,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7993283718824387,34377.50390625,185.41171458742838,0.8100270545242361,0.8420571083926938,0.9833773970603943,-0.012717223724307159,0.8957529277390845,-16.22866988182068,-13.40110828387163,-2262.736760063149,0.4,47.01154708862305
256,0.4,120,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7962488383054733,34905.06640625,186.82897635605136,0.8136650272642936,0.8472999705809271,0.9915385842323303,-0.006473449471083411,0.8935489430628452,-15.849009156227112,-13.845202619672033,44.902395887979466,0.4,51.31641387939453
256,0.4,90,1,48,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.795562282204628,35022.6796875,187.14347353701652,0.8289364299831659,0.8699584077719439,0.9718397259712219,-0.021544199023345766,0.8924875437713358,-13.913221657276154,-13.774388498555155,-2260.739211036742,0.4,51.480302810668945
256,0.4,90,1,16,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.7913460284471512,35744.98046875,189.06342974978,0.7801206693032102,0.8109728717807682,0.963218092918396,-0.028140264830641255,0.8938738666666001,-18.99585723876953,-17.788628468641416,64.56108870095981,0.4,53.462886810302734
256,0.4,90,1,16,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.7893672734498978,36083.96484375,189.95779753342583,0.8108780150319537,0.8518268949311454,1.040909767150879,0.03129828064320858,0.8898262867823319,-13.465006649494171,-22.474825869443503,81.92101855798083,0.4,43.13371181488037
128,0.4,90,1,16,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.7858933210372925,36679.09375,191.51786796536766,0.7684479621282702,0.8038692348018046,0.940920889377594,-0.0451989031625872,0.8920244107523054,-18.636053800582886,-16.906729333747624,-2260.6688976158944,0.4,52.13213443756104
256,0.4,120,1,48,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7852085381746292,36796.40625,191.82389384537058,0.7510412503357349,0.7828754452491884,0.9394655823707581,-0.04631225654611237,0.894297724523336,-21.5197816491127,-10.702480260035465,-2257.091487960092,0.4,56.60384654998779
64,0.4,120,1,32,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7850161492824554,36829.36328125,191.90977901412424,0.752584331141348,0.7817895201741845,0.9517661929130554,-0.036901618638862814,0.8938293847391809,-22.401344776153564,-20.125911242027243,-2253.0186449866655,0.4,51.95254802703857
256,0.4,120,1,32,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7840830385684967,36989.21484375,192.32580389471923,0.7527892276332957,0.7875377415737214,0.9322981238365173,-0.05179578002201638,0.8932788180233553,-21.720321476459503,-16.490748469252047,-2260.791422086368,0.6,55.03014087677002
128,0.4,90,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7837198227643967,37051.44140625,192.48750974089202,0.809267121750975,0.8526701679541505,0.9576319456100464,-0.03241399345112268,0.8865191672496667,-13.89433890581131,-20.621799533722125,-2259.58847188092,0.6,45.00764846801758
64,0.4,90,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7830564826726913,37165.078125,192.7824632195574,0.792602226026817,0.8273317195853607,0.9788976311683655,-0.01614450884526084,0.887065542825156,-14.290165901184082,-25.11321074048361,-2274.49872812611,0.4,43.2818603515625
256,0.4,120,1,16,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.7812865525484085,37468.2890625,193.5672727051244,0.7177749337497561,0.7437000050875089,0.9394009113311768,-0.046361730726267696,0.8985650401472958,-25.717753171920776,-17.37105627558142,3.606784325944258,0.4,54.45164680480957
256,0.4,90,1,32,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7803803086280823,37623.5390625,193.96788152294698,0.7573691142392709,0.7921055134586729,0.9404956698417664,-0.04552420880021058,0.8899597169979382,-19.139762222766876,-22.503621338704516,-153.29766788779173,0.6,57.31629848480224
256,0.4,120,1,32,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7801429629325867,37664.19921875,194.07266479015018,0.7204447422567619,0.7570663654468197,0.9075825214385986,-0.07070464946695441,0.8970757512001034,-25.20015239715576,-13.848461054351569,4.8184165239052685,0.4,55.243558883666985
256,0.4,90,1,32,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7797325104475021,37734.515625,194.25374031148024,0.8236631286407665,0.8681013195818216,0.993074357509613,-0.005298529857409662,0.8831690718140037,-12.248647958040237,-15.152403257795887,-123.6876907384936,0.4,49.5004940032959
256,0.4,90,1,48,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7791441679000854,37835.3046875,194.51299362124885,0.823371161529407,0.8770623396789561,0.9497619867324829,-0.03843494956361709,0.8835516411571583,-12.71468847990036,-15.234015679885648,-73.18382572203004,0.4,49.96192455291748
128,0.4,120,1,32,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.777540922164917,38109.9609375,195.21772700628392,0.7713361722635191,0.8095821385675197,0.9447131156921387,-0.04229762221634004,0.8861073110945707,-18.701715767383575,-15.274405114401752,-2248.0519259774787,0.4,57.69060134887696
64,0.4,90,1,16,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.7767973244190216,38237.34765625,195.54372313181008,0.7657953655825179,0.7989041211033553,0.9619228839874268,-0.02913114934197866,0.8861475010832986,-19.366180896759033,-13.363863617709034,-2244.867623604084,0.4,55.8410358428955
128,0.4,90,1,16,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.775957778096199,38381.171875,195.9111325958788,0.7739867156300226,0.8097083677723274,0.960660994052887,-0.030096596309122935,0.8845723515490095,-17.77106374502182,-16.108223393384726,-11.218396729234446,0.4,54.168806076049805
64,0.4,120,1,32,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.775704488158226,38424.56640625,196.02185185904656,0.7482831786003644,0.7792528440280388,0.9539481997489929,-0.03523225215168444,0.8881461533988748,-22.017355263233185,-17.01490178735313,-2262.126995979919,0.4,51.909003257751465
64,0.4,90,1,48,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7738285660743713,38745.93359375,196.83986789710565,0.7544815275257958,0.7829839787710791,0.9892126321792603,-0.008252971584419837,0.885689022611408,-20.742177963256836,-18.52268560214513,-97.31994355049669,0.4,51.17619514465333
64,0.4,120,1,16,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.7681662142276764,39715.96484375,199.28864705183284,0.732682737219931,0.7698594594116333,0.9259873628616333,-0.056623899641883614,0.8859124016303822,-20.950162410736084,-20.303836931040014,-2258.0575829294603,0.6,55.82704544067383
64,0.4,120,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7671615183353424,39888.08203125,199.720009090852,0.7668329043404574,0.8032985490277328,0.9657130241394043,-0.026231490499998893,0.8795847311590179,-19.327569007873535,-17.254624068951046,-2260.380784086568,0.6,57.5189208984375
128,0.4,90,1,16,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.766642227768898,39977.04296875,199.94259918474103,0.7068911409039966,0.7326826729034118,0.9503602385520935,-0.03797722123216515,0.890500484028963,-24.10755455493927,-30.025376797433946,-2290.7146417145163,0.4,58.16670894622803
256,0.4,120,1,16,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.7664014250040054,40018.29296875,200.04572719443422,0.6995596018332239,0.7235599585036235,0.952624499797821,-0.03624496133861943,0.8922925337375073,-29.400286078453064,-17.795675780855298,-95.07692875222489,0.4,54.32608127593994
64,0.4,90,1,16,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.766120120882988,40066.484375,200.16614192964803,0.7715833150871464,0.8143760465337475,0.9453345537185669,-0.04182219820197115,0.8786343589437763,-16.705408692359924,-15.484915150209877,-2253.285416773079,0.4,56.27702713012695
128,0.4,120,1,48,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7645726799964905,40331.578125,200.8272345201218,0.7169401860664026,0.7680542048260551,0.8836531639099121,-0.0890119394247281,0.8869185245184896,-24.24609810113907,-13.32211018728057,-2241.5543180168315,0.4,55.86556434631348
128,0.4,90,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7642714381217957,40383.18359375,200.95567569429335,0.7743736860173112,0.8120722898139963,0.9800117015838623,-0.015292166784760773,0.8767487232030121,-17.270173132419586,-20.22476305689827,-2266.0134798054078,0.6,58.43686580657958
64,0.4,90,1,16,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.763574555516243,40502.5703125,201.25250386641156,0.7146635905206248,0.7415464404765153,0.9588990807533264,-0.03144456495532209,0.8862927505332195,-24.227692186832428,-23.445801515169716,-2268.8624119330257,0.4,55.89643478393555
