hidden_size,output_dropout,seq_length,num_layers,epochs,batch_size,schedule_pairs,learning_rate,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Peak-MAPE
64,0.4,90,1,16,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8526768237352371,25238.26171875,158.86554604051187,0.8135901628751356,0.828258899638197,0.9857028126716614,-0.010938144003043658,0.9289421907322358,-15.26305079460144,-20.40769006425637,48.60920176964657,0.2,32.60509014129639
256,0.4,120,1,16,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8496398031711578,25758.541015625,160.49467597283407,0.8574352332671145,0.880218733387256,1.0028942823410034,0.00221424605699632,0.9227420941781401,-10.574846714735031,-11.128009095917584,70.09504908519017,0.2,34.482994079589844
256,0.4,90,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.848430261015892,25965.751953125,161.13892128571857,0.8697995935004199,0.8961955019048665,0.9973844885826111,-0.0020010130778469956,0.921451090854813,-9.725397825241089,-9.488978563335923,36.560013386465556,0.2,39.60923194885254
128,0.4,90,1,48,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.8477209955453873,26087.255859375,161.5154972730945,0.8821307344088728,0.9129314152196145,1.005787968635559,0.00442812345393187,0.9207615955839197,-8.479305356740952,-7.30237944949094,2.862115894026597,0.2,35.44888257980347
256,0.4,90,1,48,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.8465065360069275,26295.30859375,162.15828253206803,0.9021195035196924,0.9465556459182327,1.0203227996826172,0.015548090598947255,0.9205564576502633,-3.614858165383339,-13.409216481795125,19.430067010133225,0.2,31.40150785446167
128,0.4,90,1,16,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8442513197660446,26681.654296875,163.3451997974688,0.8215857981063084,0.8398090193421187,0.9865208864212036,-0.010312306683880633,0.9226127229425977,-14.747585356235504,-16.43683274193834,29.408772866014267,0.2,40.93741416931152
128,0.4,90,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8435328006744385,26804.74609375,163.7215504866418,0.8630295635030768,0.8950309047728944,0.9652999639511108,-0.026547505904090874,0.9191402632976937,-10.723409801721573,-8.397971277321709,-30.97608688482909,0.2,38.57070207595825
64,0.4,90,1,32,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8432807326316833,26847.927734375,163.8533726670739,0.8904952625912739,0.9270404044053403,0.9992451071739197,-0.0005775428512021636,0.9183445343994726,-6.614511460065842,-16.977695009965878,-78.11004067561029,0.2,30.115959644317623
64,0.4,90,1,16,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8430688083171844,26884.232421875,163.9641193123514,0.861627217595192,0.8885913720274018,1.011367917060852,0.008697059493623286,0.9187232198877864,-9.353471547365189,-10.334618140226052,58.37107813761095,0.2,39.13828372955322
256,0.4,120,1,16,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8424589782953262,26988.705078125,164.28239430360455,0.8518541869427005,0.879450224624575,0.9708412885665894,-0.02230806266926105,0.9189771443919311,-9.673921763896942,-12.8821457279926,73.01939188028861,0.2,37.616896629333496
128,0.4,120,1,16,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8421870619058609,27035.287109375,164.42410744588216,0.8432675760920927,0.868226516538459,0.9736037850379944,-0.02019460827287923,0.9193523614968266,-11.226999759674072,-9.448058685965014,55.666524329934695,0.2,37.431538105010986
256,0.4,90,1,32,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8411617577075958,27210.935546875,164.95737493933092,0.8658194354756172,0.8944487905369386,0.9929757118225098,-0.005373957705843188,0.9174528894959578,-8.665160834789276,-21.30967025008219,-61.92785466305747,0.2,35.99287033081055
64,0.4,90,1,48,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.841128021478653,27216.712890625,164.9748856360416,0.8144840364302894,0.8372128414621648,0.958001434803009,-0.0321313049165243,0.9215612705624957,-15.71912169456482,-8.369933583567567,39.30326696735386,0.2,36.8576717376709
64,0.4,120,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.841060534119606,27228.2734375,165.00991920942207,0.8578670098293331,0.8862612929793116,1.0225402116775513,0.01724451673458614,0.9177976139175504,-10.065291076898575,-20.25821884552652,41.16205298173469,0.2,34.92011070251465
64,0.4,120,1,32,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8409996777772903,27238.701171875,165.04151348032107,0.8571770042227316,0.8833044180959003,0.9970657825469971,-0.0022448448420402238,0.91770820420725,-8.695735782384872,-18.948365993128625,-4.893154307192611,0.2,36.58041000366211
64,0.4,90,1,32,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8406548649072647,27297.76953125,165.22036657521977,0.8659887434626969,0.8946727883898624,1.0008606910705566,0.000658500600547239,0.917147995896169,-8.197048306465149,-22.17023800445763,15.72145089134403,0.2,34.00715351104736
256,0.4,90,1,48,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.8395443111658096,27488.021484375,165.7951190004549,0.8352234924742914,0.8569553250365157,0.9956662058830261,-0.003315581122540392,0.9183254224038304,-12.026140093803406,-33.14301678779316,-87.46296423162147,0.2,33.73650074005127
256,0.4,90,1,16,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8394342213869095,27506.8828125,165.8519906799433,0.8590063604906577,0.888990335945167,1.025286316871643,0.01934551042091394,0.9168335220921895,-8.259683102369308,-21.41996447510693,63.548159800785065,0.2,38.13870429992676
128,0.4,90,1,16,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.839375913143158,27516.87109375,165.8820999799255,0.9031113391261196,0.9540343576430235,0.9801687002182007,-0.015172057336961932,0.9170464474684252,-3.1183158978819847,-11.966108806514368,61.72306563389366,0.2,31.220591068267822
128,0.4,90,1,16,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8391850590705872,27549.56640625,165.98062057436104,0.8510015127560523,0.8765048519350598,0.9924088716506958,-0.005807649401332928,0.9169826983346981,-10.551755875349045,-13.999106825117066,66.64919126656329,0.2,41.7854642868042
64,0.4,90,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8386969417333603,27633.1875,166.23232988802147,0.8403834663704376,0.8671442780640628,1.031983494758606,0.0244692216775065,0.9175145405551719,-13.624590635299683,-19.70405761735344,14.507669036800538,0.2,38.37818622589111
128,0.4,90,1,32,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8374234586954117,27851.349609375,166.88723620868973,0.8827872737832266,0.9205825861208335,1.0155202150344849,0.01187387696928988,0.9152012943188589,-6.334128975868225,-20.375749826641858,12.850075396248847,0.2,34.91235971450806
64,0.4,120,1,16,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.83707594871521,27910.8828125,167.06550455584778,0.848936321700825,0.8757821307519265,0.9821904897689819,-0.013625307185995637,0.9158990059150524,-11.343962699174881,-16.611765217698977,-0.016744693379332796,0.2,39.45657253265381
256,0.4,120,1,32,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8366788327693939,27978.9140625,167.26898715093603,0.8761772537171816,0.9185589373152552,1.0388152599334717,0.02969586282306603,0.9151896150103319,-5.990832671523094,-15.633931703635607,75.39372032664045,0.2,38.29218864440918
128,0.4,120,1,32,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8364379853010178,28020.17578125,167.39228112804366,0.8672538349929739,0.9013529824230256,1.025381088256836,0.019417988988861306,0.9148759105414959,-7.887369394302368,-15.19355046781886,28.538626418844366,0.2,40.24024963378906
