hidden_size,output_dropout,seq_length,num_layers,epochs,batch_size,schedule_pairs,learning_rate,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Peak-MAPE
128,0.4,120,1,16,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.7945281606867326,35199.83984375,187.61620357461132,0.7605226920847491,0.7835703694637397,0.9831782987573462,-0.012869554061417291,0.8988831043243408,-22.29601,-18.21772,39.535816,0.4,46.743855
256,0.4,90,1,32,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7929999089259752,35461.65234375,188.31264520405952,0.7787771169829204,0.8064701315305365,0.9782669537344186,-0.016627011132796514,0.8950551152229309,-18.308313,-21.42709,-447.8791,0.4,53.29603
64,0.4,90,1,32,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7923419951569447,35574.375,188.61170430278182,0.8279947880344763,0.8674077962755011,1.0005881740679132,0.0004499864701757697,0.8904337882995605,-11.225167,-19.18055,-2270.8188,0.4,39.3377
64,0.4,120,1,48,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7894932673457243,36062.39453125,189.90101245451535,0.80661425657369,0.8453168743820336,0.9626064698183725,-0.02860816817977044,0.8901232481002808,-16.68735,-14.907529,-2252.3613,0.4,44.740135
128,0.4,90,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7881373303956084,36294.6484375,190.51154410560008,0.7807138146924587,0.8176872037355587,0.9437471208093923,-0.04303663817415944,0.8919070363044739,-16.148836,-22.7876,-2257.8877,0.4,52.270336
256,0.4,120,1,32,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7880757695914602,36305.19140625,190.53921225367233,0.7780023439671717,0.8107991591601333,0.9571936878504421,-0.03274925291038685,0.8920480608940125,-20.609596,-6.873668,29.286839,0.4,57.27973
256,0.4,90,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7869119569383224,36504.6015625,191.06177420536008,0.7321531615880963,0.7659025572473775,0.917584987924265,-0.06305215138951664,0.8992623090744019,-23.586252,-12.437332,27.953318,0.4,51.764046
256,0.4,120,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7850215690026947,36828.46875,191.9074483963559,0.7566263145434358,0.7843915966151108,0.963757953312298,-0.02772721809855463,0.8930875062942505,-21.99642,-14.932005,-2262.143,0.4,55.67949
256,0.4,120,1,48,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.7843641669964975,36941.0625,192.20057882326995,0.7437436858410713,0.7745711561843094,0.9380642972654676,-0.04738432000283131,0.8950566649436951,-22.652534,-10.834296,-2260.741,0.4,49.959
128,0.4,90,1,32,256,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.778723943517574,37907.2890625,194.6979431388529,0.7730990965767393,0.8185494996176995,0.9238735257098469,-0.05824106386445697,0.88701993227005,-16.835222,-16.158653,-2262.6296,0.4,55.503254
