hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,schedule_pairs,learning_rate,NSE_1D,MSE_1D,RMSE_1D,KGE_1D,Alpha-NSE_1D,Beta-KGE_1D,Beta-NSE_1D,Pearson-r_1D,FHV_1D,FMS_1D,FLV_1D,Peak-Timing_1D,Peak-MAPE_1D,NSE_1H,MSE_1H,RMSE_1H,KGE_1H,Alpha-NSE_1H,Beta-KGE_1H,Beta-NSE_1H,Pearson-r_1H,FHV_1H,FMS_1H,FLV_1H,Peak-Timing_1H,Peak-MAPE_1H
128,0.4,120,168,1,2,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 1: 0.001}",0.29006874061637233,104388.59206617206,323.09223461137543,0.2382795333724146,0.3712233599431435,0.8937939099453716,-0.07244069793599382,0.5833727413701009,-75.34895866449581,-6.798727950711306,50.942146770506845,0.3333333333333333,78.14793582075002,0.5728697143917226,83873.86769250427,289.6098542738217,0.46937095489969916,0.5420172888262244,0.8095985315509379,-0.113770460114976,0.8114097017807759,-47.98115649150179,-19.223669684280896,7.791029212366875,,64.80390285701333
256,0.4,120,168,1,2,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 1: 0.001}",0.26718520207797725,107753.39723278639,328.2581259204201,0.291196374971207,0.482526705838999,0.9328434032094429,-0.04580594898100259,0.5202980506693449,-70.42815708796594,8.492916333255572,-28.237721219675933,0.6666666666666666,76.80314553788998,0.5651992219092514,85380.09165574991,292.19871946288526,0.4938277053963397,0.5877648706692195,0.7976208475486616,-0.12092747750119076,0.7871261673595197,-44.55801169226839,-38.65474534768402,89.44200039103018,,66.86182057768691
256,0.4,90,168,1,2,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 1: 0.001}",0.22156718497434558,213320.30913137016,461.86611602429787,0.227657948709739,0.4395623066450924,1.0758773945548048,0.043960283142603834,0.47401097249671337,-73.62809244556341,-14.494621369032467,-1365.975007062849,0.6666666666666666,72.91414883661258,0.5375929265670977,176705.72214086016,420.3637973718243,0.5095106397929507,0.6013599054118741,0.8583954776371424,-0.07036980256988126,0.7517782307905337,-37.502617203216076,-4.485988749355454,10.611192484671532,,55.28273787173972
64,0.4,120,168,1,2,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 1: 0.001}",0.1606948829154401,123411.77871567242,351.30012626765796,0.2248766068059631,0.4984231623661381,1.0600853394846714,0.040982809232049715,0.4120997511440705,-69.86713155754194,-5.0598971401947574,-1768.9180056270004,1.0,73.06500661321445,0.5165036879889666,94942.2391008307,308.1269853499214,0.42657593240070135,0.5169456905555938,0.7900865793966932,-0.12542942363249576,0.7732621529608871,-51.97504551811356,-26.325489227013378,-0.3184646851701039,,68.66084544026492
256,0.4,120,336,1,2,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 1: 0.001}",0.32242375721522243,99631.09676731174,315.6439398551978,0.25961544515068036,0.40468025339931446,0.7526642852559895,-0.16870192463857833,0.6358726423642543,-70.31109156190092,-2.8500455249488197,64.17672138842335,0.6666666666666666,82.08071733979388,0.5116392701701571,96323.01761053206,310.3594973744674,0.4264654622124149,0.47119211570221664,0.9826986287241207,-0.010353658187960546,0.7786298346847631,-49.426714101308974,-63.15057665298167,95.13360752166831,,69.34116028147331
256,0.4,120,168,1,2,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 1: 0.001}",0.16516805686672997,122754.04132959418,350.3627282254695,0.19909541338540426,0.4590279958523761,0.9932651062810302,-0.004593713988302988,0.4094476409365603,-68.24457420327988,-4.8501741472427105,-1767.550450042483,0.3333333333333333,77.97516627236017,0.508366830988619,96540.04120120875,310.70893324976794,0.5699921004963004,0.7256333321441737,1.1781653613769787,0.10645902736738934,0.7209178808832695,-40.61944745663997,3.9753129675729157,80.74645124604088,,57.39131019617613
128,0.4,90,168,1,2,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 1: 0.001}",0.21360665142920687,215501.79922778092,464.2217134385044,0.1553262680315154,0.33054098297082957,0.9142034742105382,-0.049707025240992825,0.49212472578558963,-77.79939771144333,-14.836084265720775,19.95318885250721,1.3333333333333333,79.19368214184703,0.5057331357241617,188880.72479893407,434.60410122194435,0.45408710994727586,0.542648662775668,0.8499687022348902,-0.07455745499412866,0.7424320525458379,-42.461825706392545,-31.44872690983686,89.64347112025123,,57.91138177312416
128,0.4,120,168,1,1,64,"((0.5, 0.25), (0.01, 0.005, 0.001))",{0: 0.001},0.17614315806575498,121140.25781632183,348.0520906650639,0.21969955014237308,0.4801860655007116,1.1191544200239592,0.08127245193052839,0.4303821546535446,-71.4492505926244,0.7507476854088604,40.56356776374859,0.6666666666666666,76.07367174546337,0.497985794772409,98578.52380814806,313.9721704357698,0.44550494454406053,0.51547269677923,0.9181633190276375,-0.04889981639505596,0.7430937591141057,-55.1196958166674,-34.74578752250851,4.9795199829075205,,69.72415039915398
128,0.4,120,336,1,2,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 1: 0.001}",0.1835371084603239,120053.04822906363,346.48672157683563,0.22938825355038206,0.5018591646606436,1.2272130802689294,0.15497674480250687,0.4577155837678501,-71.16875385544246,-13.178815752507294,-1926.233151227767,0.3333333333333333,72.49275054436262,0.48793967525479276,100997.46491752683,317.8009831915673,0.423620345053217,0.505315159933853,0.8533950459693666,-0.08773279056851539,0.743080940568865,-56.832180871835604,-25.712515285610056,7.798796860267316,,71.96403342427453
128,0.4,120,336,1,2,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 1: 0.001}",0.11176277942948087,130606.77586817183,361.39559469945374,0.2771039802874765,0.6448004292543968,1.2842774953589409,0.19389905193483264,0.4382187027936977,-58.97714878142334,19.122630532592993,22.362266586579633,0.3333333333333333,70.77338435470854,0.48718279072850446,101146.7508799346,318.0357698120364,0.4473159905803442,0.5221515456078332,0.9401577009292391,-0.03581142210526185,0.7288185696897204,-50.98218415798244,-36.888428088652844,2.8413504403585823,,71.95629820250262
