hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,schedule_pairs,learning_rate,NSE_1D,MSE_1D,RMSE_1D,KGE_1D,Alpha-NSE_1D,Beta-KGE_1D,Beta-NSE_1D,Pearson-r_1D,FHV_1D,FMS_1D,FLV_1D,Peak-Timing_1D,Peak-MAPE_1D,NSE_1H,MSE_1H,RMSE_1H,KGE_1H,Alpha-NSE_1H,Beta-KGE_1H,Beta-NSE_1H,Pearson-r_1H,FHV_1H,FMS_1H,FLV_1H,Peak-Timing_1H,Peak-MAPE_1H
64,0.4,120,168,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7637983113527298,40447.609375,201.11591029801696,0.7705832429411931,0.8069667269278858,0.9860894680023193,-0.010644436142159052,0.8768062460755914,-17.486220598220825,-21.918263120971773,-2122.0353372896957,0.4,53.507204055786126,0.7964892387390137,44452.2734375,210.83707794764183,0.8555599758808922,0.9045808290722478,1.0149476528167725,0.010128267445289333,0.8926004187053874,-9.055713564157486,-18.225947391264405,-1403.958841097524,,41.81389808654785
256,0.4,90,168,1,16,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8056111931800842,33287.49609375,182.4486122001206,0.8070591969741318,0.8351228560425503,1.0046544075012207,0.003561616518879923,0.8998999632192181,-15.950359404087067,-18.793884147295454,49.08703443836328,0.4,44.035348892211914,0.7958275079727173,44596.8125,211.17957405961403,0.8489816087450547,0.8980493992515882,0.9714035987854004,-0.019376392302124956,0.8923204971136878,-12.802733480930328,-8.367346628452148,-1389.5532755742624,,41.05604887008667
128,0.4,90,168,1,16,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.7928358465433121,35475.171875,188.34853828739952,0.7911675837223487,0.82078206741754,1.0114572048187256,0.008767129793580374,0.8934136819897938,-18.38330775499344,-13.89236916166445,22.533794104034445,0.4,50.720996856689446,0.7942717522382736,44936.6328125,211.9826238456822,0.8199772755253684,0.8560747142393346,0.9957749247550964,-0.0028628304403572964,0.8919451889772841,-15.029381215572357,-14.67769095873053,-1396.9510309868772,,42.511242628097534
64,0.4,90,336,1,16,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8043079227209091,33510.671875,183.05920319667078,0.7730964315841513,0.8004394442595031,0.9515482187271118,-0.03707569417782817,0.9034948765926185,-19.87159103155136,-13.967569222480813,23.64507163881504,0.4,44.604501724243164,0.7801459729671478,48022.0859375,219.13942123109663,0.8356096342528467,0.8857189796588398,0.9810798168182373,-0.012819953607559444,0.8833549512039423,-10.000640153884888,-16.184176774424085,-1401.5480955114685,,43.54000389575958
64,0.4,120,168,1,16,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.7310864627361298,46049.25,214.59088983458733,0.6884238125607534,0.727534603248678,0.925616443157196,-0.05691890192918006,0.8684347514586979,-26.49798095226288,-14.40571270716679,-166.06325623561176,0.6,67.73978233337402,0.7733885496854782,49498.08984375,222.481661814519,0.7452809466792856,0.780460351336153,0.9377194046974182,-0.04220015666133231,0.8868396437001385,-21.982702612876892,-12.472838280094527,-1391.7322310136642,,47.57109880447388
256,0.4,90,336,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7977468520402908,34634.19921875,186.1026577423063,0.8073585601788742,0.8390557154966418,0.9866932034492493,-0.010182484265686046,0.8949733805760869,-14.82056975364685,-15.510400465178275,20.02472389517254,0.4,45.52777290344238,0.772121399641037,49774.87109375,223.10282627916214,0.8006307104860046,0.8414543176025122,0.9897557497024536,-0.006941301103968745,0.8795573350914575,-16.3144513964653,-16.902547148691657,44.765247441,,44.106367230415344
64,0.4,90,336,1,32,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7973965406417847,34694.1875,186.2637578811294,0.8147590794997832,0.849912469559038,0.975314736366272,-0.01888936267307893,0.8942712451920752,-13.289736211299896,-16.263157993933916,30.276519358998154,0.4,43.03037166595459,0.7713353186845779,49946.5703125,223.4872934027794,0.8168574143085903,0.8647306576928994,0.9781213998794556,-0.01482451606196559,0.8784897593521225,-12.955416738986969,-24.729073653206683,13.476303938251483,,47.375211119651794
128,0.4,90,168,1,16,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.7817962467670441,37365.609375,193.30186076445307,0.7998246331701236,0.8364531801006116,0.98436439037323,-0.011964509352386833,0.8856402916326216,-16.311228275299072,-20.637439941199165,-24.313621790372824,0.4,38.9717173576355,0.7704268246889114,50145.01171875,223.93081904630725,0.7677447835820335,0.8022658039758755,0.9716073870658875,-0.01923828846841477,0.8815199054405204,-21.45044356584549,-23.094053824857223,-1402.8608793462122,,47.33754098415375
64,0.4,90,168,1,16,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.790408581495285,35890.8203125,189.44872739741484,0.8055497793090984,0.8394074154485734,0.9938957095146179,-0.004671067992324991,0.890530151404584,-14.426195621490479,-17.750923263562523,0.30081532051397514,0.6,49.1058349609375,0.7684410512447357,50578.7578125,224.8972161066028,0.7766110384085948,0.8173199054181366,0.9556781649589539,-0.0300316091271028,0.8793095441095609,-18.76268833875656,-18.706909679785884,-1400.2556413373773,,47.777771949768066
128,0.4,90,336,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.7763291448354721,38301.80859375,195.70847859443904,0.7520747002325658,0.7864884828405969,0.9421861171722412,-0.044239635618495594,0.8880297304752722,-22.100117802619934,-16.93594686214352,-2102.751309405888,0.4,56.908631324768066,0.767647847533226,50752.015625,225.28208012400808,0.7789671809555592,0.830061632835254,0.9271153807640076,-0.049385212664232556,0.878903795522168,-19.706469774246216,-14.797215756362148,-1394.755907864594,,46.81745767593384
