hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,schedule_pairs,learning_rate,NSE_1D,MSE_1D,RMSE_1D,KGE_1D,Alpha-NSE_1D,Beta-KGE_1D,Beta-NSE_1D,Pearson-r_1D,FHV_1D,FMS_1D,FLV_1D,Peak-Timing_1D,Peak-MAPE_1D,NSE_1H,MSE_1H,RMSE_1H,KGE_1H,Alpha-NSE_1H,Beta-KGE_1H,Beta-NSE_1H,Pearson-r_1H,FHV_1H,FMS_1H,FLV_1H,Peak-Timing_1H,Peak-MAPE_1H
64,0.4,90,168,1,16,64,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8424488753080368,26979.341796875,164.25389431266157,0.8729158894097667,0.9029833949539575,1.0031912326812744,0.0024419141976012426,0.9179758234187944,-8.300256729125977,-9.030668199173263,64.02843866839248,0.2,35.538697242736816,0.7771376818418503,48679.1796875,220.6335869433754,0.8457582036248324,0.9010923850003173,1.0055136680603027,0.003735920918153465,0.8817738822906124,-9.023743867874146,-11.626811909889511,-1396.3584293826555,,39.826467633247375
128,0.4,90,168,1,16,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8396696597337723,27455.26171875,165.69629361802274,0.8680757843819809,0.9007621320996524,0.9752678871154785,-0.018925203766943212,0.91666833235024,-9.206555783748627,-4.771892334248999,59.248186101909084,0.2,35.983266830444336,0.7752962857484818,49081.390625,221.54320261520098,0.8377257883869423,0.8901922379246318,1.003214716911316,0.0021782533280085546,0.8805644913025492,-11.42263263463974,-11.462202862496495,-6.422932176712666,,41.26285910606384
64,0.4,90,336,1,48,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 24: 0.005, 36: 0.001}",0.8411779552698135,27196.978515625,164.91506455028602,0.8474017864388121,0.8711941883740046,1.0058025121688843,0.004440165801195204,0.9183813224441584,-11.110508441925049,-15.640666499063489,66.16024429869911,0.0,34.45117950439453,0.7734667956829071,49481.0,222.44325119005072,0.8470537196240217,0.9082032632466716,1.0241481065750122,0.01636233326655594,0.880071718301606,-10.518304258584976,-11.485680266055564,-1396.5460385345052,,40.21584391593933
64,0.4,90,168,1,16,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8341992497444153,28392.0234375,168.49932770637395,0.8684660327882191,0.9009973116229717,0.9976449608802795,-0.001802084299727711,0.9134314952460454,-7.111889868974686,-14.832653767090992,55.043832746183426,0.2,36.53214931488037,0.7717564702033997,49854.58203125,223.28139651849636,0.8308883376404147,0.8855318375371313,1.028092861175537,0.019035148503085037,0.8787292892765584,-11.16078644990921,-13.189147223805694,-34.301540088337504,,41.137850284576416
128,0.4,90,168,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8294396698474884,29207.064453125,170.90074444871502,0.8591018421089052,0.8908036177970647,0.9996697306632996,-0.0002527313347179107,0.9109588188922697,-10.027600824832916,-13.914433396921591,35.64350191112401,0.0,38.773367404937744,0.771558091044426,49897.9140625,223.3784100187393,0.8409150772070074,0.9029906434162931,1.0355827808380127,0.024110186878320533,0.8790410685269519,-9.879826009273529,-16.218686648923917,-1404.41489781563,,41.073864698410034
64,0.4,90,336,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8396984189748764,27450.337890625,165.6814349606648,0.8657802001701218,0.895559199973687,0.987397313117981,-0.009643687904014306,0.9166438590169262,-8.657097816467285,-12.14195244660778,54.20553744204373,0.2,35.96876382827759,0.7696252316236496,50320.1015625,224.32142466224664,0.856700680521851,0.9245687307846309,1.0092687606811523,0.006280296324466045,0.8785137511366219,-6.830190867185593,-15.001335556086278,-1398.229718619109,,40.64255356788635
128,0.4,90,336,1,32,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 16: 0.005, 24: 0.001}",0.8349174708127975,28269.033203125,168.13397397053637,0.8596081501838988,0.8896552278512734,0.9874357581138611,-0.009614262808434368,0.9141161098921403,-9.91552621126175,-7.5369232568677615,47.01985206087224,0.0,38.131093978881836,0.7696207761764526,50321.07421875,224.3235926485442,0.8599554732614672,0.9301327154987893,1.0062981843948364,0.0042675064076261,0.8787920592569316,-7.122459262609482,-12.39419852183163,-146.32985593255498,,42.23746061325073
128,0.4,90,336,1,16,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8417758941650391,27094.5859375,164.60433146639855,0.8540252633421588,0.8850862996017509,0.9616398811340332,-0.029353487139315806,0.9185631134945814,-9.7417451441288,-15.610389675383022,43.35752672463251,0.2,36.53628349304199,0.7691812366247177,50417.08203125,224.5374846907527,0.8127985725460584,0.8587234347644503,0.996481716632843,-0.0023839398888535123,0.8772281455781202,-14.140196144580841,-22.315176646295136,48.04315010000791,,43.6641126871109
256,0.4,90,168,1,16,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8297429829835892,29155.123046875,170.74871316315975,0.8837903696205301,0.9264545178731275,1.0138325691223145,0.010584774732825295,0.9110933057462192,-5.9621065855026245,-15.068018225177033,63.77040157270542,0.0,35.68824529647827,0.7690387815237045,50448.19921875,224.60676574571391,0.8384226474770743,0.8953381238930471,1.007863998413086,0.005328522574981566,0.8771533880522151,-10.662651807069778,-18.42254678692165,68.65738098041138,,41.29941165447235
64,0.4,90,336,1,16,128,"((0.5, 0.25), (0.01, 0.005, 0.001))","{0: 0.01, 8: 0.005, 12: 0.001}",0.8450419306755066,26535.3046875,162.8966073541742,0.8695205875487735,0.897363570433723,1.0039823055267334,0.0030473041966381053,0.9195339721236615,-7.64421746134758,-12.691817410674682,58.78128407330709,0.2,32.964208126068115,0.7682820409536362,50613.48828125,224.97441694834993,0.8410807367187385,0.9090595070156747,1.0447757244110107,0.03033915950855669,0.877605990828407,-8.961357921361923,-15.799719975654355,-1401.8314301520606,,42.79302358627319
