_queue_iter_idx,hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,NSE_1D,NSE_1H,_rank_score,model_type
3,64,0.521683678755692,60,240,2,300,64,0.8089870866388083,0.7523779265155366,0.769360674552518,physics
1,64,0.0570198690959502,90,336,1,300,64,0.7883497755974531,0.718636463213723,0.7395504569288419,physics
12,64,0.1621272793417448,60,168,1,300,64,0.8421770241111517,0.7684977782341315,0.7906015519972376,physics
5,128,0.2069345239044376,60,240,2,300,64,0.8362971432507038,0.7825962596177846,0.7987065247076603,physics
4,128,0.285021772934334,120,240,1,300,128,0.8591109085828066,0.798083940472516,0.8163920309056032,physics
15,64,0.0899823176899208,120,336,1,300,64,0.8499602610245347,0.7668336143162277,0.7917716083287198,physics
13,64,0.4753431296652145,90,336,1,300,128,0.827126557007432,0.7243527438329526,0.7551848877852964,physics
2,128,0.0581328173113682,90,336,2,300,64,0.7876831609755754,0.7385361770497748,0.7532802722275149,physics
17,64,0.546875353743474,120,168,2,300,64,0.8474786784499884,0.8139933222749132,0.8240389291274357,physics
7,128,0.4302327099024506,120,336,2,300,64,0.8659275937825441,0.7997112967977316,0.8195761858931754,physics
20,128,0.3468608640966641,90,240,2,300,64,0.7882131785154343,0.7330495783046727,0.7495986583679011,physics
22,128,0.435634107360438,60,240,2,300,64,0.8311170730739832,0.7705205138405715,0.788699481610595,physics
8,256,0.0922430253467367,120,240,1,300,128,0.8693766314536333,0.7908774512550818,0.8144272053146472,physics
14,256,0.44778375162796,60,240,2,300,128,0.8228211887180805,0.7360213996201286,0.7620613363495141,physics
11,256,0.1956307576033296,120,240,1,300,64,0.8468092009425163,0.7844299552638196,0.8031437289674286,physics
10,256,0.285347157790375,120,240,2,300,64,0.8559062341228127,0.7983619394805139,0.8156252278732035,physics
9,384,0.0591825294421965,60,168,1,300,64,0.8393345177173615,0.7731679298693692,0.7930179062237668,physics
31,64,0.5271290714980617,60,168,1,300,64,0.8327073324471712,0.7714155550460706,0.7898030882664008,physics
6,384,0.3073139171189059,90,168,2,300,64,0.7892361357808113,0.7440352033878337,0.7575954831057269,physics
29,128,0.5122532221328946,120,336,1,300,128,0.8777788239531219,0.8069421010628992,0.828193117929966,physics
19,256,0.570049456075862,60,240,1,300,128,0.8100320529192686,0.7600419393676291,0.7750389734331209,physics
28,128,0.4994988565021944,90,336,2,300,64,0.8033684492111206,0.7386735252533296,0.7580820024406669,physics
0,384,0.1094851720642539,60,240,2,300,64,0.8493338525295258,0.7648514669945823,0.7901961826550653,physics
32,128,0.2213842161982355,60,240,1,300,128,0.8273114413022995,0.750163198293584,0.7733076711961986,physics
26,256,0.0511968192077474,90,168,2,300,128,0.8210375849157572,0.7318373897451871,0.758597448296358,physics
23,256,0.4360862722887267,60,240,2,300,128,0.8151446096599102,0.7611936588859528,0.77737894411814,physics
21,256,0.1477411918016953,120,336,2,300,128,0.8685419270768762,0.7988509403572029,0.8197582363731049,physics
18,256,0.2265487834171899,90,336,1,300,64,0.8140578027814627,0.7342674302169534,0.7582045419863062,physics
24,256,0.0744500332171442,90,240,1,300,64,0.7888373471796513,0.7160597098953252,0.7378930010806231,physics
25,256,0.5511042898998297,90,336,2,300,64,0.8017985913902521,0.7286394143093394,0.7505871674336132,physics
16,384,0.505806827510612,120,168,1,300,128,0.8599301716312766,0.7826315753160398,0.8058211542106108,physics
37,256,0.5951204185679949,120,168,2,300,128,0.8673868365585804,0.8054100673870038,0.8240030981384767,physics
38,256,0.5964365331734665,120,168,2,300,128,0.857949847355485,0.7663673259813535,0.7938420823935928,physics
39,256,0.5963542193836087,120,168,2,300,128,0.8610820416361094,0.7950021282039292,0.8148261022335832,physics
40,256,0.593202962754314,120,168,2,300,128,0.8619438773021102,0.7995699316909393,0.8182821153742905,physics
42,256,0.5920062320776619,120,168,2,300,128,0.8375558853149414,0.8139536066601142,0.8210342902565624,physics
36,256,0.4686504058400687,90,336,2,300,64,0.8108809906989336,0.7331745251155588,0.7564864647905711,physics
35,384,0.268975898934842,120,168,2,300,64,0.861443841829896,0.8029812846146287,0.8205200517792088,physics
33,384,0.4197304403481045,60,240,2,300,64,0.8459069952368736,0.7718947227453011,0.7940984044927728,physics
30,384,0.3486644635538817,60,336,2,300,64,0.8607419729232788,0.7594745430569398,0.7898547720168414,physics
41,384,0.5878356602897679,120,168,2,300,128,0.8370948620140553,0.81819321182303,0.8238637068803374,physics
27,384,0.5428011591377631,60,336,2,300,128,0.8199965190142393,0.7585049866199327,0.7769524463382246,physics
43,384,0.566137692611078,120,168,2,300,64,0.8669607182964683,0.8024571160871747,0.8218081967499627,physics
44,384,0.5913855778404549,120,168,2,300,64,0.8603371437638998,0.7903037339835951,0.8113137569176865,physics
45,384,0.543189379011999,120,168,2,300,64,0.8722163029015064,0.8012814828681628,0.8225619288781658,physics
46,384,0.5965754068815505,120,168,2,300,64,0.8473707232624292,0.7741756902414009,0.7961342001477094,physics
34,384,0.073142337257748,90,336,2,300,128,0.7976125869899988,0.7119617245476743,0.7376569832803717,physics
47,384,0.5995478016365324,120,168,2,300,64,0.8530283197760582,0.7736677851192382,0.7974759455162841,physics
