_queue_iter_idx,hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,custom_peak_penalty,NSE_1D,NSE_1H,_rank_score,model_type
0,128,0.3643724231036129,90,168,1,300,64,55.68345111943522,0.8104754220694304,0.7151012849732752,0.7437135261021217,physics
2,128,0.1842128124561303,90,336,1,300,64,65.98004050061911,0.8141617123037577,0.7264342072045469,0.7527524587343101,physics
1,256,0.2855753427445483,90,168,1,300,64,200.6301911646624,0.8164257872849703,0.7372238102746372,0.7609844033777371,physics
3,256,0.2302466629864749,90,168,1,300,64,107.89558466921302,0.8198730852454901,0.7397897185441676,0.7638147285545643,physics
7,128,0.1482368033793872,90,168,1,300,64,152.95080350889657,0.7794555220752954,0.740732376193591,0.7523493199581024,physics
5,256,0.1355028080361971,90,336,1,300,64,10.950958600837364,0.8164804745465517,0.7453215715351467,0.7666692424385682,physics
4,256,0.3123301097707296,90,336,1,300,64,218.66931248222883,0.8262574225664139,0.7290957505697656,0.7582442521687601,physics
6,256,0.1989824385901625,90,336,1,300,64,234.3840356111304,0.7955791037529707,0.7134648451249475,0.7380991227133544,physics
10,256,0.1318451209301948,90,168,1,300,64,103.5118077454912,0.806662455201149,0.7510592863398107,0.767740236998212,physics
9,256,0.1135319088897197,90,336,1,300,64,100.03519453549217,0.8034647814929485,0.7339591666461708,0.7548108511002041,physics
13,128,0.2553061714838478,90,336,1,300,64,151.45654034986254,0.7748550493270159,0.6991574202981157,0.7218667090067856,physics
11,256,0.3962893149849688,90,168,1,300,64,14.2755477663514,0.8122812546789646,0.7174082403912614,0.7458701446775723,physics
14,128,0.1616193207040552,90,336,1,300,64,141.71186522984132,0.7772764097899199,0.7287968734358419,0.7433407343420653,physics
12,256,0.188460756163519,90,336,1,300,64,80.21672419761795,0.7966245114803314,0.7306745225018842,0.7504595191954183,physics
17,128,0.2395849607727204,90,168,1,300,64,200.12990698445816,0.8204630203545094,0.7234720566041355,0.7525693457292476,physics
15,256,0.1247583179161242,90,168,1,300,64,10.235318177580623,0.8282185364514589,0.7369268143060714,0.7643143309496877,physics
18,128,0.3850269929597172,90,168,1,300,64,130.88846257138928,0.8170632254332304,0.733392503591735,0.7584937201441836,physics
16,256,0.3257656305910877,90,168,1,300,64,125.98528272851352,0.8143694046884775,0.7264745080717524,0.75284297705677,physics
20,128,0.3934372262992703,90,168,1,300,64,164.86172979992622,0.7974306363612413,0.7320110558745703,0.7516369300205715,physics
21,128,0.1039357271542393,90,168,1,300,64,148.29016339523938,0.7963805366307497,0.715767045151418,0.7399510925952175,physics
8,256,0.1281796903726887,90,168,1,300,64,134.72146273415626,0.8062768094241619,0.7478123421642981,0.7653516823422573,physics
19,256,0.1700307187410763,90,168,1,300,64,144.6079480843923,0.8262011501938105,0.7395729405596397,0.7655614034498909,physics
22,256,0.1018995705791725,90,168,1,300,64,17.796259789288495,0.8112551905214787,0.7339410875077743,0.7571353184118855,physics
23,256,0.1070279343542482,90,168,1,300,64,13.73842757991855,0.7955644018948078,0.7302314931276995,0.749831365757832,physics
25,256,0.1202193623057259,90,168,1,300,64,12.011996041399572,0.7867328301072121,0.7347665155364922,0.750356409907708,physics
24,256,0.1072091814260306,90,168,1,300,64,17.75320342202353,0.8063000347465277,0.746615229835268,0.7645206713086459,physics
26,256,0.106857509128679,90,168,1,300,64,42.37343915093184,0.8441775441169739,0.7025643435283149,0.7450483037049125,physics
27,256,0.1148662579089359,90,336,1,300,64,39.30233221323289,0.8013920690864325,0.7206343421131071,0.7448616602051047,physics
28,256,0.1097126199992501,90,336,1,300,64,43.89982522754157,0.7948336396366358,0.6998512914799431,0.7283459959269508,physics
30,256,0.1468499775330243,90,336,1,300,64,34.64774735585446,0.8337700441479683,0.7372725866391296,0.7662218238917812,physics
31,256,0.1496028802705857,90,336,1,300,64,32.15329191910244,0.8091145195066929,0.6996095383723346,0.7324610327126421,physics
29,256,0.142794620169911,90,336,1,300,64,40.847289127956586,0.8211764041334391,0.7151198378019467,0.7469368077013944,physics
32,256,0.1580189066400552,90,336,1,300,64,48.48009779446163,0.8133560512214899,0.7350881087441046,0.7585684914873202,physics
33,256,0.1637968782248384,90,336,1,300,64,177.83301276610302,0.8129551652818918,0.7206834163573613,0.7483649410347205,physics
34,256,0.1566471162332336,90,336,1,300,64,187.06852536417304,0.8240572456270456,0.7139397591698747,0.746975005107026,physics
35,256,0.1568082524966385,90,336,1,300,64,182.85353549417908,0.7983373124152422,0.719889935290201,0.7434241484277133,physics
36,256,0.1501010647274385,90,336,1,300,64,179.19917098507895,0.7772659063339233,0.7316503605457321,0.7453350242821895,physics
37,256,0.1496537779037505,90,336,1,300,64,181.30354653064285,0.7915677363052964,0.7338858195633475,0.7511903945859322,physics
38,256,0.1538923077713559,90,336,1,300,64,179.7724631602237,0.8038767371326685,0.7262819671472904,0.7495603981429038,physics
39,256,0.2131606189219925,90,336,1,300,64,66.75445095075777,0.79975875467062,0.7282521951853028,0.7497041630308978,physics
40,256,0.1424295650280319,90,336,1,300,64,62.37451295547702,0.8299903031438589,0.7211795414178912,0.7538227699356815,physics
41,256,0.1701862333703046,90,336,1,300,64,173.13938209003885,0.8070494271814823,0.7372257005121781,0.7581728185129692,physics
42,256,0.21206549072415,90,336,1,300,64,65.11030280155495,0.8034286797046661,0.712036746614986,0.7394543265418899,physics
