hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,schedule_pairs,value,NSE_1H,NSE_1D
64,0.47374634731540155,114,334,1,64,128,"((0.7, 0.2), (0.01, 0.002, 0.0005))",0.7482055604457855,0.7546170949935913,0.733245313167572
128,0.1448717540621596,82,343,1,32,64,"((0.7, 0.2), (0.01, 0.002, 0.0005))",0.8203154146671294,0.8502134084701538,0.7505534291267395
64,0.316468976390079,110,398,1,64,128,"((0.7, 0.2), (0.01, 0.002, 0.0005))",0.7944884121417999,0.8223429918289185,0.7294943928718567
64,0.544369390301212,87,233,1,96,64,"((0.7, 0.2), (0.01, 0.002, 0.0005))",0.8132961034774779,0.8163576126098633,0.8061525821685791
64,0.26913783231557753,78,302,1,96,32,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.8116850912570953,0.8058516979217529,0.8252963423728943
128,0.396109127060686,70,216,1,64,32,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.8671053230762481,0.8840211033821106,0.8276351690292358
256,0.1816827676201028,74,157,1,32,128,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",0.7743462979793548,0.826126217842102,0.6535264849662781
128,0.10236845465512531,105,311,1,32,128,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",0.7393952250480651,0.7697088718414307,0.6686633825302124
256,0.26609678404741854,134,277,1,32,64,"((0.7, 0.2), (0.01, 0.002, 0.0005))",0.8291565120220183,0.8628748655319214,0.7504803538322449
64,0.5450826753052571,80,221,1,96,128,"((0.7, 0.2), (0.01, 0.002, 0.0005))",0.8207078158855438,0.8469896912574768,0.7593834400177002
128,0.15130071617590615,121,348,1,96,64,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.8316184818744659,0.8339946866035461,0.8260740041732788
128,0.13023085923106373,84,243,1,96,64,"((0.7, 0.2), (0.01, 0.002, 0.0005))",0.8574379205703735,0.8701297044754028,0.8278237581253052
128,0.14370587412175675,101,124,1,96,64,"((0.7, 0.2), (0.01, 0.002, 0.0005))",0.852299165725708,0.8618309497833252,0.8300583362579346
256,0.1154676547964297,107,240,1,96,128,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.8312791228294372,0.8744632601737976,0.7305161356925964
256,0.14373353517486684,76,359,1,64,64,"((0.7, 0.2), (0.01, 0.002, 0.0005))",0.8593956649303436,0.8647470474243164,0.8469091057777405
128,0.4253933099038099,60,153,1,64,32,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.8306112229824066,0.8609601855278015,0.7597969770431519
128,0.2828833342326392,128,150,1,96,64,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.8610131800174713,0.8880824446678162,0.7978515625
128,0.4213597867670684,62,179,1,64,32,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.8244459927082061,0.832318902015686,0.8060758709907532
128,0.40524421755693796,148,159,1,64,32,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.8269984602928161,0.8391208648681641,0.7987128496170044
