number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_hidden_size,params_num_layers,params_output_dropout,params_schedule_pairs,params_seq_length_1D,params_seq_length_1H,state
0,-1000000000.0,2026-02-26 16:45:22.432657,2026-02-26 16:45:22.435268,0 days 00:00:00.002611,32,2,64,1,0.5909219383008422,"((0.5, 0.25), (0.01, 0.005, 0.001))",92,145,COMPLETE
1,-1000000000.0,2026-02-26 16:45:22.434209,2026-02-26 16:45:22.435572,0 days 00:00:00.001363,128,4,64,1,0.4656705953771625,"((0.7, 0.2), (0.01, 0.002, 0.0005))",74,389,COMPLETE
94,-1000000000.0,2026-02-26 16:45:22.840913,2026-02-26 16:45:22.854629,0 days 00:00:00.013716,64,4,256,1,0.2991704863703879,"((0.5, 0.25), (0.01, 0.005, 0.001))",136,277,COMPLETE
93,-1000000000.0,2026-02-26 16:45:22.832669,2026-02-26 16:45:22.843809,0 days 00:00:00.011140,64,4,256,1,0.3902196247802888,"((0.5, 0.25), (0.01, 0.005, 0.001))",82,141,COMPLETE
92,-1000000000.0,2026-02-26 16:45:22.830397,2026-02-26 16:45:22.839164,0 days 00:00:00.008767,64,4,256,1,0.10050467512675348,"((0.5, 0.25), (0.01, 0.005, 0.001))",67,251,COMPLETE
91,-1000000000.0,2026-02-26 16:45:22.821998,2026-02-26 16:45:22.831416,0 days 00:00:00.009418,128,4,64,1,0.10748548217429046,"((0.7, 0.2), (0.01, 0.002, 0.0005))",115,189,COMPLETE
90,-1000000000.0,2026-02-26 16:45:22.817968,2026-02-26 16:45:22.828600,0 days 00:00:00.010632,128,4,64,1,0.10926702239013616,"((0.7, 0.2), (0.01, 0.002, 0.0005))",114,128,COMPLETE
89,-1000000000.0,2026-02-26 16:45:22.811023,2026-02-26 16:45:22.820193,0 days 00:00:00.009170,32,3,256,1,0.40849505320020163,"((0.5, 0.25), (0.01, 0.005, 0.001))",72,294,COMPLETE
88,-1000000000.0,2026-02-26 16:45:22.805286,2026-02-26 16:45:22.816217,0 days 00:00:00.010931,32,2,256,1,0.4104398555774993,"((0.5, 0.25), (0.01, 0.005, 0.001))",125,290,COMPLETE
87,-1000000000.0,2026-02-26 16:45:22.800696,2026-02-26 16:45:22.809779,0 days 00:00:00.009083,32,2,256,1,0.437197401101361,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",125,386,COMPLETE
86,-1000000000.0,2026-02-26 16:45:22.794716,2026-02-26 16:45:22.804560,0 days 00:00:00.009844,128,3,64,1,0.1562318430546384,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",101,388,COMPLETE
85,-1000000000.0,2026-02-26 16:45:22.788640,2026-02-26 16:45:22.798999,0 days 00:00:00.010359,128,3,64,1,0.1582134030208258,"((0.7, 0.2), (0.01, 0.002, 0.0005))",101,361,COMPLETE
84,-1000000000.0,2026-02-26 16:45:22.785625,2026-02-26 16:45:22.793672,0 days 00:00:00.008047,128,3,64,1,0.18316216939954566,"((0.7, 0.2), (0.01, 0.002, 0.0005))",118,340,COMPLETE
83,-1000000000.0,2026-02-26 16:45:22.778045,2026-02-26 16:45:22.787575,0 days 00:00:00.009530,128,3,64,1,0.36083776465514555,"((0.7, 0.2), (0.01, 0.002, 0.0005))",108,346,COMPLETE
82,-1000000000.0,2026-02-26 16:45:22.774922,2026-02-26 16:45:22.783985,0 days 00:00:00.009063,128,3,64,1,0.13373143938331716,"((0.7, 0.2), (0.01, 0.002, 0.0005))",110,318,COMPLETE
81,-1000000000.0,2026-02-26 16:45:22.766108,2026-02-26 16:45:22.776867,0 days 00:00:00.010759,64,4,128,1,0.5529509544888047,"((0.7, 0.2), (0.01, 0.002, 0.0005))",150,156,COMPLETE
80,-1000000000.0,2026-02-26 16:45:22.765049,2026-02-26 16:45:22.773996,0 days 00:00:00.008947,64,4,128,1,0.5465618603705893,"((0.7, 0.2), (0.01, 0.002, 0.0005))",91,155,COMPLETE
