number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_hidden_size,params_num_layers,params_output_dropout,params_schedule_pairs,params_seq_length_1D,params_seq_length_1H,state
0,-1000000000.0,2026-02-26 16:45:23.070409,2026-02-26 16:45:23.071572,0 days 00:00:00.001163,64,2,256,1,0.10982936173614213,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",73,314,COMPLETE
1,-1000000000.0,2026-02-26 16:45:23.070844,2026-02-26 16:45:23.071327,0 days 00:00:00.000483,32,4,128,1,0.54792883587643,"((0.7, 0.2), (0.01, 0.002, 0.0005))",119,232,COMPLETE
94,-1000000000.0,2026-02-26 16:45:23.374910,2026-02-26 16:45:23.383877,0 days 00:00:00.008967,64,4,128,1,0.3585970400332935,"((0.7, 0.2), (0.01, 0.002, 0.0005))",124,360,COMPLETE
93,-1000000000.0,2026-02-26 16:45:23.372928,2026-02-26 16:45:23.379935,0 days 00:00:00.007007,64,4,128,1,0.3236209703946712,"((0.7, 0.2), (0.01, 0.002, 0.0005))",124,316,COMPLETE
92,-1000000000.0,2026-02-26 16:45:23.365747,2026-02-26 16:45:23.374566,0 days 00:00:00.008819,64,4,128,1,0.32833233398787093,"((0.7, 0.2), (0.01, 0.002, 0.0005))",131,340,COMPLETE
91,-1000000000.0,2026-02-26 16:45:23.364723,2026-02-26 16:45:23.372562,0 days 00:00:00.007839,128,3,128,1,0.2685491753870263,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",109,202,COMPLETE
90,-1000000000.0,2026-02-26 16:45:23.357721,2026-02-26 16:45:23.365055,0 days 00:00:00.007334,128,2,256,1,0.1889152723912086,"((0.7, 0.2), (0.01, 0.002, 0.0005))",105,331,COMPLETE
89,-1000000000.0,2026-02-26 16:45:23.356154,2026-02-26 16:45:23.364203,0 days 00:00:00.008049,32,2,256,1,0.5672987097021785,"((0.7, 0.2), (0.01, 0.002, 0.0005))",105,248,COMPLETE
88,-1000000000.0,2026-02-26 16:45:23.348742,2026-02-26 16:45:23.357085,0 days 00:00:00.008343,32,4,64,1,0.5565916297336443,"((0.7, 0.2), (0.01, 0.002, 0.0005))",128,188,COMPLETE
87,-1000000000.0,2026-02-26 16:45:23.347561,2026-02-26 16:45:23.355584,0 days 00:00:00.008023,64,4,64,1,0.34490953261103474,"((0.7, 0.2), (0.01, 0.002, 0.0005))",144,307,COMPLETE
