number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_hidden_size,params_num_layers,params_output_dropout,params_schedule_pairs,params_seq_length_1D,params_seq_length_1H,state
0,-1000000000.0,2026-02-26 16:48:35.305292,2026-02-26 16:48:35.306277,0 days 00:00:00.000985,64,2,256,1,0.42688271150215307,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",70,271,COMPLETE
1,-1000000000.0,2026-02-26 16:48:35.305787,2026-02-26 16:48:35.306522,0 days 00:00:00.000735,32,2,64,1,0.48852854653338107,"((0.7, 0.2), (0.01, 0.002, 0.0005))",94,245,COMPLETE
94,-1000000000.0,2026-02-26 16:48:35.619120,2026-02-26 16:48:35.626740,0 days 00:00:00.007620,128,2,256,1,0.36116200015825284,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",150,396,COMPLETE
93,-1000000000.0,2026-02-26 16:48:35.610781,2026-02-26 16:48:35.621053,0 days 00:00:00.010272,128,2,256,1,0.3133980761911926,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",149,399,COMPLETE
92,-1000000000.0,2026-02-26 16:48:35.610229,2026-02-26 16:48:35.618741,0 days 00:00:00.008512,128,2,256,1,0.31651081342980375,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",95,387,COMPLETE
91,-1000000000.0,2026-02-26 16:48:35.602650,2026-02-26 16:48:35.610462,0 days 00:00:00.007812,64,2,128,1,0.4893413006072852,"((0.5, 0.25), (0.01, 0.005, 0.001))",129,224,COMPLETE
90,-1000000000.0,2026-02-26 16:48:35.600426,2026-02-26 16:48:35.609815,0 days 00:00:00.009389,64,2,128,1,0.48879156588285655,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",92,129,COMPLETE
89,-1000000000.0,2026-02-26 16:48:35.594428,2026-02-26 16:48:35.602170,0 days 00:00:00.007742,32,3,64,1,0.5532114379607298,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",122,141,COMPLETE
88,-1000000000.0,2026-02-26 16:48:35.590221,2026-02-26 16:48:35.599843,0 days 00:00:00.009622,32,3,64,1,0.5260894052357553,"((0.7, 0.2), (0.01, 0.002, 0.0005))",64,248,COMPLETE
87,-1000000000.0,2026-02-26 16:48:35.585661,2026-02-26 16:48:35.593897,0 days 00:00:00.008236,128,4,64,1,0.5045656430517971,"((0.7, 0.2), (0.01, 0.002, 0.0005))",72,259,COMPLETE
86,-1000000000.0,2026-02-26 16:48:35.580426,2026-02-26 16:48:35.589834,0 days 00:00:00.009408,128,4,256,1,0.5063162066935243,"((0.5, 0.25), (0.01, 0.005, 0.001))",104,155,COMPLETE
85,-1000000000.0,2026-02-26 16:48:35.576507,2026-02-26 16:48:35.585121,0 days 00:00:00.008614,128,4,256,1,0.47276503750081594,"((0.5, 0.25), (0.01, 0.005, 0.001))",105,154,COMPLETE
84,-1000000000.0,2026-02-26 16:48:35.571873,2026-02-26 16:48:35.579779,0 days 00:00:00.007906,128,4,256,1,0.47263603940265103,"((0.5, 0.25), (0.01, 0.005, 0.001))",99,327,COMPLETE
83,-1000000000.0,2026-02-26 16:48:35.567591,2026-02-26 16:48:35.576133,0 days 00:00:00.008542,128,4,256,1,0.41324940214204187,"((0.5, 0.25), (0.01, 0.005, 0.001))",100,321,COMPLETE
82,-1000000000.0,2026-02-26 16:48:35.562736,2026-02-26 16:48:35.571387,0 days 00:00:00.008651,128,4,256,1,0.4236523593996025,"((0.5, 0.25), (0.01, 0.005, 0.001))",95,342,COMPLETE
81,-1000000000.0,2026-02-26 16:48:35.558961,2026-02-26 16:48:35.567152,0 days 00:00:00.008191,32,3,128,1,0.4489937527285912,"((0.5, 0.25), (0.01, 0.005, 0.001))",135,179,COMPLETE
80,-1000000000.0,2026-02-26 16:48:35.553552,2026-02-26 16:48:35.562173,0 days 00:00:00.008621,32,3,128,1,0.4497103881755338,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",109,219,COMPLETE
79,-1000000000.0,2026-02-26 16:48:35.550423,2026-02-26 16:48:35.558040,0 days 00:00:00.007617,128,2,256,1,0.5922410992433919,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",109,237,COMPLETE
78,-1000000000.0,2026-02-26 16:48:35.545155,2026-02-26 16:48:35.553166,0 days 00:00:00.008011,128,2,256,1,0.39868542896122894,"((0.7, 0.2), (0.01, 0.002, 0.0005))",140,242,COMPLETE
77,-1000000000.0,2026-02-26 16:48:35.541249,2026-02-26 16:48:35.549430,0 days 00:00:00.008181,64,4,64,1,0.49641239734719067,"((0.7, 0.2), (0.01, 0.002, 0.0005))",88,269,COMPLETE
76,-1000000000.0,2026-02-26 16:48:35.537110,2026-02-26 16:48:35.544675,0 days 00:00:00.007565,64,4,64,1,0.21629532176400712,"((0.7, 0.2), (0.01, 0.002, 0.0005))",87,266,COMPLETE
75,-1000000000.0,2026-02-26 16:48:35.532714,2026-02-26 16:48:35.540881,0 days 00:00:00.008167,32,4,64,1,0.23636603991096172,"((0.5, 0.25), (0.01, 0.005, 0.001))",93,248,COMPLETE
74,-1000000000.0,2026-02-26 16:48:35.528308,2026-02-26 16:48:35.536799,0 days 00:00:00.008491,32,4,64,1,0.2599631666719071,"((0.5, 0.25), (0.01, 0.005, 0.001))",116,205,COMPLETE
