_queue_iter_idx,hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,custom_peak_penalty,NSE_1D,NSE_1H,_rank_score,model_type
1,128,0.3608198547674893,90,336,1,300,64,172.4080531724454,0.7569805979728699,0.7831510158652132,0.7752998904975101,physics
4,128,0.1074091855866093,90,336,1,300,64,184.5818259831142,0.7854179572314024,0.7994992677532834,0.7952748745967191,physics
3,256,0.3781081302476299,90,336,1,300,64,51.41820215249603,0.7508333623409271,0.8137037383154836,0.7948426255231167,physics
0,256,0.3912075278461556,90,336,1,300,64,134.68327477289282,0.7998626083135605,0.7863944044366341,0.790434865599712,physics
2,256,0.1537376181942457,90,336,1,300,64,230.9075813207215,0.7257993686944246,0.7704314043904589,0.7570417936816486,physics
6,256,0.3731559105808506,90,168,1,300,64,230.2756199213323,0.7862201929092407,0.7911453830275079,0.7896678259920278,physics
8,128,0.3486055294270629,90,168,1,300,64,98.23706652270384,0.777441531419754,0.8201275779961019,0.8073217640231974,physics
7,256,0.184414614547779,90,168,1,300,64,123.40074529792938,0.7025690283626318,0.8033266541013298,0.7730993663797203,physics
11,128,0.1319876872486589,90,168,1,300,64,103.900537094651,0.748662805184722,0.7903622733050101,0.7778524328689236,physics
9,128,0.2100002891447529,90,336,1,300,64,157.812728008182,0.7114296443760395,0.7829768539322021,0.7615126910653534,physics
10,128,0.1589843334554367,90,336,1,300,64,236.50280563343676,0.7757311733439565,0.8055492032646528,0.7966037942884439,physics
14,128,0.2696594458109731,90,168,1,300,64,186.65555449946297,0.768580324947834,0.8230383617857149,0.8067009507343506,physics
5,256,0.2355943517308091,90,336,1,300,64,165.7901681731133,0.794303959235549,0.8315716624138927,0.8203913514603896,physics
12,256,0.1143306428061812,90,168,1,300,64,75.51058529561817,0.8226816225796938,0.7706821480608594,0.7862819904165097,physics
13,128,0.1558633002013531,90,336,1,300,64,140.9314509568064,0.7887964565306902,0.8167832346728594,0.8083872012302086,physics
16,128,0.3070432590442947,90,336,1,300,64,110.444645827718,0.7897026054561138,0.7933816461625811,0.7922779339506408,physics
15,256,0.1489869986832572,90,168,1,300,64,144.4780393446641,0.7607888821512461,0.7856402850626216,0.778184864189209,physics
19,128,0.2507725490911505,90,168,1,300,64,91.5449390214119,0.7787920348346233,0.8168906621211205,0.8054610739351713,physics
20,128,0.3107571048706224,90,168,1,300,64,11.546494722007964,0.8471908718347549,0.8257733036863598,0.8321985741308784,physics
18,128,0.2252651115743771,90,336,1,300,64,30.138640145822116,0.7817418146878481,0.8170314001324501,0.8064445244990694,physics
21,128,0.2869151858913291,90,168,1,300,64,67.39321648442566,0.7747537232935429,0.7976774872292349,0.7908003580485272,physics
22,128,0.2978490363672361,90,168,1,300,64,56.549583907260626,0.8238083170726895,0.7928072601979851,0.8021075772603964,physics
17,256,0.327413957450378,90,336,1,300,64,229.2002978853071,0.7360167279839516,0.8056583164766189,0.7847658399288187,physics
23,256,0.3069760020619983,90,168,1,300,64,38.025831633087805,0.7967495350167155,0.8032922912808653,0.8013294644016202,physics
25,256,0.2337452944390251,90,336,1,300,64,11.357688252007634,0.8419047109782696,0.8111492847660349,0.8203759126297052,physics
24,256,0.2512794093429907,90,336,1,300,64,147.4970108950628,0.774785777553916,0.789906529271464,0.7853703037561994,physics
29,256,0.302933074227161,90,168,1,300,64,15.470670679909617,0.8482866995036602,0.8172398132273245,0.8265538791102252,physics
26,256,0.2435448690403374,90,336,1,300,64,212.0475454322701,0.7069016620516777,0.7911562249307806,0.7658798560670497,physics
28,256,0.21339954317342,90,336,1,300,64,23.90237297796392,0.8224154738709331,0.8272410218914572,0.8257933574852999,physics
27,256,0.2153084346061871,90,336,1,300,64,203.78867394489612,0.7917195688933134,0.8012513210649534,0.7983917954134614,physics
30,256,0.3211942050564885,90,336,1,300,64,17.286955014810964,0.8144557047635317,0.8237987517966808,0.8209958376867361,physics
33,128,0.2177412854793996,90,336,1,300,64,10.53230791957851,0.8902714280411601,0.7941834059610384,0.8230098125850749,physics
31,256,0.2177066136250678,90,336,1,300,64,203.7178774374154,0.7626328263431787,0.816908626262785,0.8006258862869031,physics
32,256,0.2193669136269692,90,336,1,300,64,22.135271917182607,0.7923216857016087,0.8164725260467036,0.8092272739431751,physics
35,256,0.2168154002202243,90,336,1,300,64,29.388402831218137,0.8765347991138697,0.8013479487867393,0.8239040038848784,physics
37,256,0.3258465591711767,90,168,1,300,64,26.407971580228484,0.7771312035620213,0.8046683367565743,0.7964071967982084,physics
36,256,0.2200552632465237,90,336,1,300,64,15.169535049810294,0.9101386237889528,0.8222215594557369,0.8485966787557018,physics
38,256,0.3294093371995497,90,168,1,300,64,21.750202627522217,0.8401173762977123,0.8237561329043571,0.8286645059223636,physics
34,256,0.2295178553903491,90,336,1,300,64,21.910669579615423,0.8488779282197356,0.8418508093300059,0.8439589449969248,physics
39,256,0.3354956841267096,90,168,1,300,64,10.3524486607133,0.8503307513892651,0.8136981274795326,0.8246879146524524,physics
42,128,0.1909192999411744,90,168,1,300,64,31.47873319604735,0.8526253998279572,0.7904053544627163,0.8090713680722885,physics
41,256,0.3319842556417835,90,168,1,300,64,11.28669227344831,0.8615376818925142,0.81890575719726,0.8316953346058362,physics
40,256,0.3370129736935718,90,168,1,300,64,15.023837784687911,0.8307307548820972,0.8225071330947988,0.8249742196309883,physics
43,128,0.2714074338386343,90,168,1,300,64,41.22204309273687,0.7952109593898058,0.8274226114237418,0.817759115813561,physics
44,128,0.1928564042613593,90,168,1,300,64,40.35176073324254,0.7990478659048676,0.8126123467240154,0.808543002478271,physics
45,256,0.187884840465894,90,168,1,300,64,35.62385655008802,0.8181647015735507,0.8304633068253138,0.8267737252497849,physics
46,256,0.1925580174888631,90,168,1,300,64,43.60635240645066,0.7871519774198532,0.7978669530139013,0.7946524603356868,physics
47,256,0.1876568133141,90,168,1,300,64,44.47493049794009,0.7820775378495455,0.8199530755368485,0.8085904142306576,physics
