number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_hidden_size,params_num_layers,params_output_dropout,params_schedule_pairs,params_seq_length_1D,params_seq_length_1H,state
0,-1000000000.0,2026-02-24 16:49:04.416103,2026-02-24 16:49:04.419057,0 days 00:00:00.002954,32,32,128,1,0.3773874580472146,"((0.7, 0.2), (0.01, 0.002, 0.0005))",67,149,COMPLETE
1,-1000000000.0,2026-02-24 16:49:04.417049,2026-02-24 16:49:04.419671,0 days 00:00:00.002622,64,32,128,1,0.23982629623800952,"((0.5, 0.25), (0.01, 0.005, 0.001))",101,165,COMPLETE
94,-1000000000.0,2026-02-24 16:49:04.941736,2026-02-24 16:49:04.952754,0 days 00:00:00.011018,32,64,256,1,0.29362997296211074,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",66,221,COMPLETE
93,-1000000000.0,2026-02-24 16:49:04.940430,2026-02-24 16:49:04.952457,0 days 00:00:00.012027,32,64,256,1,0.2032303980041731,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",67,223,COMPLETE
92,-1000000000.0,2026-02-24 16:49:04.928179,2026-02-24 16:49:04.939354,0 days 00:00:00.011175,32,64,256,1,0.31084770042952997,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",61,234,COMPLETE
91,-1000000000.0,2026-02-24 16:49:04.925945,2026-02-24 16:49:04.940134,0 days 00:00:00.014189,32,96,64,1,0.5774995841533117,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",93,121,COMPLETE
90,-1000000000.0,2026-02-24 16:49:04.913973,2026-02-24 16:49:04.926612,0 days 00:00:00.012639,32,96,128,1,0.2985371682447866,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",74,128,COMPLETE
89,-1000000000.0,2026-02-24 16:49:04.912388,2026-02-24 16:49:04.924871,0 days 00:00:00.012483,128,32,128,1,0.5174910233574291,"((0.5, 0.25), (0.01, 0.005, 0.001))",73,273,COMPLETE
88,-1000000000.0,2026-02-24 16:49:04.902780,2026-02-24 16:49:04.912717,0 days 00:00:00.009937,64,32,128,1,0.51392659200996,"((0.5, 0.25), (0.01, 0.005, 0.001))",133,258,COMPLETE
87,-1000000000.0,2026-02-24 16:49:04.897558,2026-02-24 16:49:04.908908,0 days 00:00:00.011350,64,64,256,1,0.3807014621107695,"((0.5, 0.25), (0.01, 0.005, 0.001))",79,257,COMPLETE
86,-1000000000.0,2026-02-24 16:49:04.889824,2026-02-24 16:49:04.900838,0 days 00:00:00.011014,32,64,256,1,0.4879627136299656,"((0.7, 0.2), (0.01, 0.002, 0.0005))",68,178,COMPLETE
85,-1000000000.0,2026-02-24 16:49:04.882522,2026-02-24 16:49:04.895405,0 days 00:00:00.012883,32,64,64,1,0.3994825149537646,"((0.7, 0.2), (0.01, 0.002, 0.0005))",101,169,COMPLETE
84,-1000000000.0,2026-02-24 16:49:04.872320,2026-02-24 16:49:04.888066,0 days 00:00:00.015746,32,64,64,1,0.454830812243315,"((0.7, 0.2), (0.01, 0.002, 0.0005))",104,170,COMPLETE
83,-1000000000.0,2026-02-24 16:49:04.852493,2026-02-24 16:49:04.870975,0 days 00:00:00.018482,32,64,64,1,0.4176882591676163,"((0.7, 0.2), (0.01, 0.002, 0.0005))",95,157,COMPLETE
82,-1000000000.0,2026-02-24 16:49:04.848982,2026-02-24 16:49:04.880116,0 days 00:00:00.031134,32,64,64,1,0.41765173859202537,"((0.7, 0.2), (0.01, 0.002, 0.0005))",89,193,COMPLETE
81,-1000000000.0,2026-02-24 16:49:04.840022,2026-02-24 16:49:04.850000,0 days 00:00:00.009978,128,32,128,1,0.25549964841797923,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",90,243,COMPLETE
80,-1000000000.0,2026-02-24 16:49:04.838473,2026-02-24 16:49:04.848044,0 days 00:00:00.009571,32,96,128,1,0.24890746459744023,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",100,243,COMPLETE
79,-1000000000.0,2026-02-24 16:49:04.827717,2026-02-24 16:49:04.838807,0 days 00:00:00.011090,32,96,64,1,0.2353383761188509,"((0.7, 0.2), (0.01, 0.002, 0.0005))",83,226,COMPLETE
78,-1000000000.0,2026-02-24 16:49:04.824956,2026-02-24 16:49:04.836202,0 days 00:00:00.011246,32,96,64,1,0.2747232684280708,"((0.7, 0.2), (0.01, 0.002, 0.0005))",112,206,COMPLETE
77,-1000000000.0,2026-02-24 16:49:04.811662,2026-02-24 16:49:04.826219,0 days 00:00:00.014557,64,96,64,1,0.2764939935083244,"((0.5, 0.25), (0.01, 0.005, 0.001))",63,207,COMPLETE
76,-1000000000.0,2026-02-24 16:49:04.808568,2026-02-24 16:49:04.818703,0 days 00:00:00.010135,64,32,256,1,0.38740101648599956,"((0.5, 0.25), (0.01, 0.005, 0.001))",63,274,COMPLETE
75,-1000000000.0,2026-02-24 16:49:04.797077,2026-02-24 16:49:04.810732,0 days 00:00:00.013655,128,32,256,1,0.3030910319053297,"((0.5, 0.25), (0.01, 0.005, 0.001))",119,141,COMPLETE
74,-1000000000.0,2026-02-24 16:49:04.794897,2026-02-24 16:49:04.803856,0 days 00:00:00.008959,128,32,256,1,0.2171122164220199,"((0.5, 0.25), (0.01, 0.005, 0.001))",96,161,COMPLETE
73,-1000000000.0,2026-02-24 16:49:04.785218,2026-02-24 16:49:04.795217,0 days 00:00:00.009999,128,32,256,1,0.21648158552519572,"((0.5, 0.25), (0.01, 0.005, 0.001))",70,214,COMPLETE
72,-1000000000.0,2026-02-24 16:49:04.781492,2026-02-24 16:49:04.793108,0 days 00:00:00.011616,128,32,256,1,0.24431064758671653,"((0.5, 0.25), (0.01, 0.005, 0.001))",71,241,COMPLETE
71,-1000000000.0,2026-02-24 16:49:04.773209,2026-02-24 16:49:04.781729,0 days 00:00:00.008520,32,64,128,1,0.3659847360206022,"((0.7, 0.2), (0.01, 0.002, 0.0005))",78,334,COMPLETE
70,-1000000000.0,2026-02-24 16:49:04.770221,2026-02-24 16:49:04.780370,0 days 00:00:00.010149,32,64,128,1,0.4518521840154309,"((0.7, 0.2), (0.01, 0.002, 0.0005))",104,257,COMPLETE
69,-1000000000.0,2026-02-24 16:49:04.760673,2026-02-24 16:49:04.770847,0 days 00:00:00.010174,64,32,256,1,0.3333157476798643,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",86,267,COMPLETE
68,-1000000000.0,2026-02-24 16:49:04.759642,2026-02-24 16:49:04.769230,0 days 00:00:00.009588,64,32,256,1,0.33299998058263514,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",87,290,COMPLETE
67,-1000000000.0,2026-02-24 16:49:04.749951,2026-02-24 16:49:04.759172,0 days 00:00:00.009221,128,96,256,1,0.4038951109551079,"((0.5, 0.25), (0.01, 0.005, 0.001))",106,315,COMPLETE
66,-1000000000.0,2026-02-24 16:49:04.745061,2026-02-24 16:49:04.758535,0 days 00:00:00.013474,128,96,64,1,0.2647686685971048,"((0.5, 0.25), (0.01, 0.005, 0.001))",107,307,COMPLETE
95,-1000000000.0,2026-02-24 16:49:04.953707,2026-02-24 16:49:04.964678,0 days 00:00:00.010971,32,64,256,1,0.4374822677363535,"((0.7, 0.2), (0.01, 0.002, 0.0005))",81,322,COMPLETE
96,-1000000000.0,2026-02-24 16:49:04.954581,2026-02-24 16:49:04.965342,0 days 00:00:00.010761,32,64,256,1,0.4401491779448835,"((0.7, 0.2), (0.01, 0.002, 0.0005))",96,394,COMPLETE
97,-1000000000.0,2026-02-24 16:49:04.966079,2026-02-24 16:49:04.977507,0 days 00:00:00.011428,128,96,64,1,0.35880993169030456,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",85,290,COMPLETE
113,-1000000000.0,2026-02-24 16:49:05.078930,2026-02-24 16:49:05.092197,0 days 00:00:00.013267,32,32,128,1,0.550809492404323,"((0.7, 0.2), (0.01, 0.002, 0.0005))",120,385,COMPLETE
126,-1000000000.0,2026-02-24 16:49:05.173280,2026-02-24 16:49:05.185638,0 days 00:00:00.012358,64,64,128,1,0.5973506958513923,"((0.5, 0.25), (0.01, 0.005, 0.001))",131,352,COMPLETE
125,-1000000000.0,2026-02-24 16:49:05.172565,2026-02-24 16:49:05.184861,0 days 00:00:00.012296,64,64,128,1,0.23288601136645476,"((0.5, 0.25), (0.01, 0.005, 0.001))",68,122,COMPLETE
124,-1000000000.0,2026-02-24 16:49:05.159748,2026-02-24 16:49:05.172001,0 days 00:00:00.012253,64,32,128,1,0.21188194798057453,"((0.5, 0.25), (0.01, 0.005, 0.001))",64,262,COMPLETE
123,-1000000000.0,2026-02-24 16:49:05.155558,2026-02-24 16:49:05.170634,0 days 00:00:00.015076,64,32,128,1,0.2104611228896042,"((0.5, 0.25), (0.01, 0.005, 0.001))",64,230,COMPLETE
122,-1000000000.0,2026-02-24 16:49:05.143780,2026-02-24 16:49:05.158144,0 days 00:00:00.014364,64,32,128,1,0.41101748714760267,"((0.5, 0.25), (0.01, 0.005, 0.001))",60,310,COMPLETE
121,-1000000000.0,2026-02-24 16:49:05.140571,2026-02-24 16:49:05.154130,0 days 00:00:00.013559,64,32,128,1,0.2062196248933922,"((0.5, 0.25), (0.01, 0.005, 0.001))",60,179,COMPLETE
