number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_hidden_size,params_num_layers,params_output_dropout,params_schedule_pairs,params_seq_length_1D,params_seq_length_1H,state
0,-1000000000.0,2026-02-24 16:49:05.195378,2026-02-24 16:49:05.196676,0 days 00:00:00.001298,32,96,128,1,0.31389193299837287,"((0.7, 0.2), (0.01, 0.002, 0.0005))",103,120,COMPLETE
1,-1000000000.0,2026-02-24 16:49:05.196043,2026-02-24 16:49:05.197897,0 days 00:00:00.001854,128,32,64,1,0.21119294788310197,"((0.7, 0.2), (0.01, 0.002, 0.0005))",86,365,COMPLETE
94,-1000000000.0,2026-02-24 16:49:05.533805,2026-02-24 16:49:05.542805,0 days 00:00:00.009000,64,96,256,1,0.41052941699819323,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",81,147,COMPLETE
93,-1000000000.0,2026-02-24 16:49:05.531827,2026-02-24 16:49:05.542030,0 days 00:00:00.010203,64,96,256,1,0.40692670365701417,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",149,218,COMPLETE
92,-1000000000.0,2026-02-24 16:49:05.523685,2026-02-24 16:49:05.532898,0 days 00:00:00.009213,64,96,256,1,0.39512932035455467,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",138,259,COMPLETE
91,-1000000000.0,2026-02-24 16:49:05.521778,2026-02-24 16:49:05.531361,0 days 00:00:00.009583,32,96,256,1,0.22849004847338183,"((0.7, 0.2), (0.01, 0.002, 0.0005))",90,374,COMPLETE
90,-1000000000.0,2026-02-24 16:49:05.512913,2026-02-24 16:49:05.523128,0 days 00:00:00.010215,32,96,256,1,0.21854180660558437,"((0.7, 0.2), (0.01, 0.002, 0.0005))",112,371,COMPLETE
89,-1000000000.0,2026-02-24 16:49:05.511653,2026-02-24 16:49:05.521022,0 days 00:00:00.009369,64,96,64,1,0.4407548341671808,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",107,287,COMPLETE
88,-1000000000.0,2026-02-24 16:49:05.503389,2026-02-24 16:49:05.512167,0 days 00:00:00.008778,64,32,64,1,0.44558722779071896,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",130,171,COMPLETE
87,-1000000000.0,2026-02-24 16:49:05.502641,2026-02-24 16:49:05.511222,0 days 00:00:00.008581,128,32,128,1,0.3611899703269134,"((0.5, 0.25), (0.01, 0.005, 0.001))",103,259,COMPLETE
86,-1000000000.0,2026-02-24 16:49:05.493654,2026-02-24 16:49:05.502979,0 days 00:00:00.009325,128,64,128,1,0.3517245477909575,"((0.5, 0.25), (0.01, 0.005, 0.001))",104,303,COMPLETE
85,-1000000000.0,2026-02-24 16:49:05.492425,2026-02-24 16:49:05.502197,0 days 00:00:00.009772,128,64,128,1,0.3117502174866127,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",121,240,COMPLETE
84,-1000000000.0,2026-02-24 16:49:05.484479,2026-02-24 16:49:05.493062,0 days 00:00:00.008583,64,64,128,1,0.3023597414471177,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",121,191,COMPLETE
83,-1000000000.0,2026-02-24 16:49:05.482203,2026-02-24 16:49:05.491669,0 days 00:00:00.009466,64,64,128,1,0.38447131822691144,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",96,205,COMPLETE
82,-1000000000.0,2026-02-24 16:49:05.475113,2026-02-24 16:49:05.483814,0 days 00:00:00.008701,64,64,128,1,0.38850033725269256,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",94,122,COMPLETE
81,-1000000000.0,2026-02-24 16:49:05.473879,2026-02-24 16:49:05.481502,0 days 00:00:00.007623,64,32,64,1,0.573743425054552,"((0.7, 0.2), (0.01, 0.002, 0.0005))",93,121,COMPLETE
80,-1000000000.0,2026-02-24 16:49:05.465325,2026-02-24 16:49:05.474564,0 days 00:00:00.009239,64,96,256,1,0.5823291986432743,"((0.7, 0.2), (0.01, 0.002, 0.0005))",107,129,COMPLETE
79,-1000000000.0,2026-02-24 16:49:05.463504,2026-02-24 16:49:05.473419,0 days 00:00:00.009915,64,96,256,1,0.46959342414567956,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",70,232,COMPLETE
78,-1000000000.0,2026-02-24 16:49:05.456703,2026-02-24 16:49:05.464721,0 days 00:00:00.008018,128,96,128,1,0.27651256013715036,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",70,233,COMPLETE
77,-1000000000.0,2026-02-24 16:49:05.454468,2026-02-24 16:49:05.462853,0 days 00:00:00.008385,128,64,128,1,0.5430973030240007,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",63,249,COMPLETE
76,-1000000000.0,2026-02-24 16:49:05.447857,2026-02-24 16:49:05.456344,0 days 00:00:00.008487,32,64,128,1,0.5250230561268325,"((0.7, 0.2), (0.01, 0.002, 0.0005))",76,294,COMPLETE
75,-1000000000.0,2026-02-24 16:49:05.444791,2026-02-24 16:49:05.453822,0 days 00:00:00.009031,32,64,128,1,0.500252143943265,"((0.7, 0.2), (0.01, 0.002, 0.0005))",76,288,COMPLETE
74,-1000000000.0,2026-02-24 16:49:05.440408,2026-02-24 16:49:05.447497,0 days 00:00:00.007089,32,64,128,1,0.4971123775799702,"((0.7, 0.2), (0.01, 0.002, 0.0005))",100,323,COMPLETE
73,-1000000000.0,2026-02-24 16:49:05.436095,2026-02-24 16:49:05.444366,0 days 00:00:00.008271,32,64,128,1,0.326419912866058,"((0.7, 0.2), (0.01, 0.002, 0.0005))",100,341,COMPLETE
72,-1000000000.0,2026-02-24 16:49:05.431231,2026-02-24 16:49:05.440037,0 days 00:00:00.008806,32,64,128,1,0.5686512285936084,"((0.7, 0.2), (0.01, 0.002, 0.0005))",115,310,COMPLETE
71,-1000000000.0,2026-02-24 16:49:05.427687,2026-02-24 16:49:05.435753,0 days 00:00:00.008066,32,32,128,1,0.4009297841710201,"((0.7, 0.2), (0.01, 0.002, 0.0005))",114,142,COMPLETE
70,-1000000000.0,2026-02-24 16:49:05.423492,2026-02-24 16:49:05.430706,0 days 00:00:00.007214,32,32,256,1,0.5288605249156662,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",86,267,COMPLETE
69,-1000000000.0,2026-02-24 16:49:05.419207,2026-02-24 16:49:05.427305,0 days 00:00:00.008098,64,96,256,1,0.4342161553569447,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",92,266,COMPLETE
68,-1000000000.0,2026-02-24 16:49:05.414789,2026-02-24 16:49:05.422730,0 days 00:00:00.007941,64,96,64,1,0.2087715548243979,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",79,211,COMPLETE
67,-1000000000.0,2026-02-24 16:49:05.410429,2026-02-24 16:49:05.418817,0 days 00:00:00.008388,128,96,64,1,0.20163157633912843,"((0.7, 0.2), (0.01, 0.002, 0.0005))",135,218,COMPLETE
66,-1000000000.0,2026-02-24 16:49:05.405350,2026-02-24 16:49:05.414365,0 days 00:00:00.009015,128,32,128,1,0.5503815495342842,"((0.7, 0.2), (0.01, 0.002, 0.0005))",134,253,COMPLETE
95,-1000000000.0,2026-02-24 16:49:05.542529,2026-02-24 16:49:05.551572,0 days 00:00:00.009043,64,96,256,1,0.5457686067408561,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",141,224,COMPLETE
96,-1000000000.0,2026-02-24 16:49:05.543369,2026-02-24 16:49:05.553296,0 days 00:00:00.009927,64,32,128,1,0.5448423417208383,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",143,223,COMPLETE
97,-1000000000.0,2026-02-24 16:49:05.552051,2026-02-24 16:49:05.561386,0 days 00:00:00.009335,128,32,128,1,0.5220805434398701,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",144,236,COMPLETE
113,-1000000000.0,2026-02-24 16:49:05.640248,2026-02-24 16:49:05.649553,0 days 00:00:00.009305,32,32,64,1,0.23601748233443445,"((0.7, 0.2), (0.01, 0.002, 0.0005))",83,383,COMPLETE
126,-1000000000.0,2026-02-24 16:49:05.701642,2026-02-24 16:49:05.712136,0 days 00:00:00.010494,32,32,64,1,0.2770028656166008,"((0.7, 0.2), (0.01, 0.002, 0.0005))",98,264,COMPLETE
125,-1000000000.0,2026-02-24 16:49:05.700330,2026-02-24 16:49:05.710110,0 days 00:00:00.009780,32,32,64,1,0.26636635213634713,"((0.7, 0.2), (0.01, 0.002, 0.0005))",102,388,COMPLETE
124,-1000000000.0,2026-02-24 16:49:05.691014,2026-02-24 16:49:05.700834,0 days 00:00:00.009820,32,32,64,1,0.22383916565448542,"((0.7, 0.2), (0.01, 0.002, 0.0005))",95,389,COMPLETE
123,-1000000000.0,2026-02-24 16:49:05.690363,2026-02-24 16:49:05.699823,0 days 00:00:00.009460,32,32,64,1,0.22204520255324314,"((0.7, 0.2), (0.01, 0.002, 0.0005))",96,378,COMPLETE
122,-1000000000.0,2026-02-24 16:49:05.681771,2026-02-24 16:49:05.690653,0 days 00:00:00.008882,32,32,64,1,0.20040714925885664,"((0.7, 0.2), (0.01, 0.002, 0.0005))",96,391,COMPLETE
121,-1000000000.0,2026-02-24 16:49:05.680239,2026-02-24 16:49:05.689875,0 days 00:00:00.009636,32,32,128,1,0.37407135950993,"((0.7, 0.2), (0.01, 0.002, 0.0005))",75,202,COMPLETE
120,-1000000000.0,2026-02-24 16:49:05.672035,2026-02-24 16:49:05.681163,0 days 00:00:00.009128,128,32,128,1,0.5632698548668404,"((0.7, 0.2), (0.01, 0.002, 0.0005))",66,247,COMPLETE
119,-1000000000.0,2026-02-24 16:49:05.670404,2026-02-24 16:49:05.679424,0 days 00:00:00.009020,128,64,128,1,0.21207359387178362,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",88,365,COMPLETE
118,-1000000000.0,2026-02-24 16:49:05.660902,2026-02-24 16:49:05.671422,0 days 00:00:00.010520,64,64,256,1,0.2077780509958396,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",81,320,COMPLETE
117,-1000000000.0,2026-02-24 16:49:05.660270,2026-02-24 16:49:05.669545,0 days 00:00:00.009275,64,96,256,1,0.2979877430452577,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",80,212,COMPLETE
116,-1000000000.0,2026-02-24 16:49:05.650865,2026-02-24 16:49:05.660557,0 days 00:00:00.009692,64,96,64,1,0.25576007289166214,"((0.7, 0.2), (0.01, 0.002, 0.0005))",90,305,COMPLETE
115,-1000000000.0,2026-02-24 16:49:05.650056,2026-02-24 16:49:05.659751,0 days 00:00:00.009695,32,32,64,1,0.2587122224020891,"((0.7, 0.2), (0.01, 0.002, 0.0005))",72,304,COMPLETE
114,-1000000000.0,2026-02-24 16:49:05.641897,2026-02-24 16:49:05.650440,0 days 00:00:00.008543,32,32,64,1,0.33310743754051153,"((0.7, 0.2), (0.01, 0.002, 0.0005))",68,398,COMPLETE
112,-1000000000.0,2026-02-24 16:49:05.631356,2026-02-24 16:49:05.641173,0 days 00:00:00.009817,32,32,64,1,0.23398058997579999,"((0.7, 0.2), (0.01, 0.002, 0.0005))",92,380,COMPLETE
