_queue_iter_idx,hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,NSE_1D,NSE_1H,_rank_score
21,256,0.1,90,336,1,300,128,0.9097500657662749,0.8971909603460733,0.9009586919721337
6,128,0.1,90,336,2,300,64,0.9220287939533591,0.8901514298801959,0.8997146391021449
0,128,0.1,90,168,1,300,64,0.9053973034024239,0.8964737236074318,0.8991507975459294
2,128,0.1,90,168,2,300,64,0.9078357247635722,0.8942046076055505,0.898293942752957
9,128,0.4,90,168,1,300,128,0.9069212060421705,0.891460959937911,0.8960990337691888
16,256,0.1,90,168,1,300,64,0.9052796065807343,0.8880049246660673,0.8931873292404673
30,256,0.4,90,336,2,300,64,0.9116487773135304,0.8852561743940865,0.8931739552699196
31,256,0.4,90,336,2,300,128,0.8881073147058487,0.894677613157548,0.8927065236220382
18,256,0.1,90,168,2,300,64,0.9119287990033627,0.883273839803751,0.8918703275636344
28,256,0.4,90,336,1,300,64,0.8926109885796905,0.8909794104817994,0.8914688839111666
29,256,0.4,90,336,1,300,128,0.8970598261803389,0.8889928555827438,0.8914129467620222
17,256,0.1,90,168,1,300,128,0.906521761789918,0.8847889600173315,0.8913088005491074
23,256,0.1,90,336,2,300,128,0.9012765474617481,0.8859291966807776,0.8905334019150688
13,128,0.4,90,336,1,300,128,0.8931522192433476,0.886813993852726,0.8887154614699124
25,256,0.4,90,168,1,300,128,0.9014150407165289,0.88236109904025,0.8880772815431336
19,256,0.1,90,168,2,300,128,0.8986653918400407,0.8829855734154964,0.8876895189428597
4,128,0.1,90,336,1,300,64,0.9064161637797952,0.878968714034384,0.8872029489580073
3,128,0.1,90,168,2,300,128,0.9064951306208968,0.8783377538378039,0.8867849668727317
5,128,0.1,90,336,1,300,128,0.8977789245545864,0.8809970384824599,0.8860316043040978
11,128,0.4,90,168,2,300,128,0.8977975081652403,0.8803220974282373,0.8855647206493382
7,128,0.1,90,336,2,300,128,0.8953915014863014,0.8805116646132671,0.8849756156751774
1,128,0.1,90,168,1,300,128,0.9029865311458707,0.8757954797892487,0.8839527951962353
14,128,0.4,90,336,2,300,64,0.8961408883333206,0.8784345592407669,0.883746457968533
24,256,0.4,90,168,1,300,64,0.9081917135044932,0.87224880673338,0.8830316787647139
26,256,0.4,90,168,2,300,64,0.9009680859744549,0.8736839239213565,0.881869172537286
15,128,0.4,90,336,2,300,128,0.8981835599988699,0.8747338558399962,0.8817687670876582
22,256,0.1,90,336,2,300,64,0.8826788952574134,0.8805856627766933,0.8812136325209092
10,128,0.4,90,168,2,300,64,0.8894038386642933,0.877150904351796,0.8808267846455451
8,128,0.4,90,168,1,300,64,0.9010244635865092,0.871551031743672,0.8803930612965232
20,256,0.1,90,336,1,300,64,0.9009566530585289,0.8619281572090094,0.8736367059638652
27,256,0.4,90,168,2,300,128,0.8816140238195658,0.8674900440758897,0.8717272379989924
12,128,0.4,90,336,1,300,64,0.8859713766723871,0.8655375629878879,0.8716677070932375
