_queue_iter_idx,hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,NSE_1D,NSE_1H,_rank_score,model_type
2,64,0.2446402471198109,90,168,2,300,128,0.8967560613527894,0.8765418790951609,0.8826061337724493,physics
6,64,0.1605398341991285,90,168,2,300,64,0.9114298028871416,0.8788489467443865,0.888623203587213,physics
0,64,0.5015514861355448,90,168,2,300,64,0.8887339998036623,0.8671365591261377,0.8736157913293952,physics
11,64,0.4460827773204655,90,336,1,300,128,0.8914881907403469,0.8605712949978563,0.8698463637206035,physics
8,128,0.5739210815645716,60,240,2,300,64,0.915786881931126,0.8823571118415241,0.8923860428684047,physics
3,128,0.2473521867478172,120,240,1,300,64,0.9200591864064336,0.8863210865599556,0.896442516513899,physics
17,64,0.1434904951014973,120,168,1,300,128,0.8813122697174549,0.8783663823454868,0.8792501485570772,physics
13,128,0.3273169788156915,90,168,2,300,128,0.892641257494688,0.8792819614054632,0.8832897502322306,physics
18,64,0.3017591848413873,120,168,1,300,128,0.89945222530514,0.8737216444629126,0.8814408187155808,physics
15,128,0.3327651242560858,120,336,2,300,64,0.907185942865908,0.8811615546302056,0.8889688711009163,physics
1,256,0.248162827190978,90,168,1,300,64,0.8965856451541185,0.8775187883957757,0.8832388454232785,physics
22,128,0.20685991681355,120,240,1,300,128,0.8765131067484617,0.8607102162623161,0.8654510834081597,physics
16,256,0.1973732218020593,90,168,1,300,128,0.9011966697871684,0.8845725537210456,0.8895597885408824,physics
5,256,0.1347392003704235,90,240,1,300,128,0.9163608001545072,0.8867701247740624,0.8956473273881957,physics
14,256,0.1359284331768005,90,168,1,300,128,0.9013331141322852,0.8845965332636548,0.8896175075242438,physics
26,128,0.2835041471824144,60,168,2,300,64,0.9153854260221124,0.8918460380638669,0.8989078544513405,physics
25,128,0.5150108831074404,120,168,2,300,64,0.9068541582673788,0.8849085894715233,0.8914922601102799,physics
4,256,0.1854989834713449,120,240,2,300,64,0.8998546879738569,0.8579024437882706,0.8704881170439465,physics
24,128,0.4544814777613705,90,240,2,300,64,0.9035850847139956,0.8800167544240056,0.8870872535110026,physics
7,384,0.3022403321183841,60,168,2,300,64,0.908632486127317,0.8836083584508984,0.8911155967538239,physics
28,64,0.2680161196113321,60,336,1,300,128,0.8843578370288014,0.8537820191472044,0.8629547645116835,physics
31,64,0.5276932894882894,60,336,1,300,64,0.8985478421673179,0.8780814355959469,0.8842213575673581,physics
33,64,0.5152928340910907,120,240,2,300,64,0.8933615256100893,0.8885926847494114,0.8900233370076147,physics
30,128,0.1228790435044398,90,336,1,300,64,0.899980753660202,0.8791200021436824,0.8853782275986382,physics
32,128,0.44007132748977,90,336,2,300,128,0.9069165959954262,0.8775346397086742,0.8863492265946997,physics
19,256,0.1242977375252357,90,336,1,300,128,0.8946953248232603,0.8875541874611543,0.8896965286697861,physics
35,128,0.0811325037015567,120,336,1,300,128,0.8964484613388777,0.8986983423967337,0.8980233780793769,physics
9,384,0.1151042068427769,120,240,1,300,128,0.907553005963564,0.8493094510373622,0.8667825175152227,physics
40,128,0.5959357849810621,60,240,1,300,64,0.9216142036020756,0.8835039053947908,0.8949369948569763,physics
10,384,0.2144832862095235,120,336,2,300,128,0.8914499580860138,0.8892774983136014,0.889929236245325,physics
36,256,0.2597890862171759,120,168,2,300,128,0.9106817683205009,0.8874864520077629,0.8944450469015842,physics
42,128,0.5925403639903475,60,240,1,300,64,0.9048279086127876,0.888925188664998,0.893696004649335,physics
41,128,0.5759079116885618,60,240,1,300,64,0.9095062827691436,0.8833551494119292,0.8912004894190935,physics
12,384,0.3247584138385462,120,240,1,300,64,0.8697346616536379,0.886480813474656,0.8814569679283506,physics
20,384,0.0863885145671938,90,168,1,300,64,0.8929097475484014,0.8807155356134886,0.8843737991939624,physics
34,256,0.3411444621044359,120,240,2,300,128,0.8903221394866705,0.8490443559319143,0.861427690998341,physics
23,384,0.3328499105411429,60,240,1,300,64,0.9005446899682283,0.8880532562826282,0.8918006863883082,physics
39,256,0.0578874719371453,60,240,1,300,64,0.90436930116266,0.8910241063756816,0.8950276648117751,physics
27,384,0.3617960999368027,90,240,2,300,128,0.8891010377556086,0.8860840149813322,0.886989121813615,physics
21,384,0.3673207365782279,60,336,1,300,64,0.9198839599266648,0.8910685135114248,0.8997131474359967,physics
37,384,0.0569223122719222,60,240,1,300,64,0.8976839184761047,0.8790337106524507,0.8846287729995469,physics
38,384,0.0783572563131695,60,240,1,300,64,0.9052143283188344,0.877322626232849,0.8856901368586445,physics
29,384,0.5841895678396428,90,336,1,300,128,0.891704898327589,0.8785563407513617,0.8825009080242299,physics
45,384,0.070558782451331,60,240,2,300,64,0.9134690016508102,0.8824267566805177,0.8917394301716055,physics
43,384,0.5994323792344478,60,240,2,300,64,0.8996466277167201,0.8905890954542204,0.8933063551329703,physics
44,384,0.0501225678720751,60,240,1,300,64,0.874256506562233,0.8772895938297811,0.8763796676495166,physics
46,384,0.0669522791134574,60,240,2,300,64,0.9050037674605846,0.8754824697588319,0.8843388590693577,physics
47,384,0.0568403702130175,60,240,2,300,64,0.9046764047816396,0.8859460840645987,0.8915651802797109,physics
