number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_hidden_size,params_num_layers,params_output_dropout,params_schedule_pairs,params_seq_length_1D,params_seq_length_1H,state
0,-1000000000.0,2026-02-24 16:50:15.242860,2026-02-24 16:50:15.245870,0 days 00:00:00.003010,32,64,128,1,0.3723100889501883,"((0.7, 0.2), (0.01, 0.002, 0.0005))",135,155,COMPLETE
1,-1000000000.0,2026-02-24 16:50:15.243320,2026-02-24 16:50:15.245580,0 days 00:00:00.002260,32,64,64,1,0.419644698882643,"((0.5, 0.25), (0.01, 0.005, 0.001))",79,276,COMPLETE
94,-1000000000.0,2026-02-24 16:50:15.772795,2026-02-24 16:50:15.789143,0 days 00:00:00.016348,64,32,128,1,0.37986170758659393,"((0.7, 0.2), (0.01, 0.002, 0.0005))",137,229,COMPLETE
93,-1000000000.0,2026-02-24 16:50:15.751785,2026-02-24 16:50:15.778552,0 days 00:00:00.026767,64,32,128,1,0.42222508572028933,"((0.7, 0.2), (0.01, 0.002, 0.0005))",69,258,COMPLETE
92,-1000000000.0,2026-02-24 16:50:15.745575,2026-02-24 16:50:15.770349,0 days 00:00:00.024774,64,32,128,1,0.4014222498398728,"((0.7, 0.2), (0.01, 0.002, 0.0005))",68,262,COMPLETE
91,-1000000000.0,2026-02-24 16:50:15.739614,2026-02-24 16:50:15.750500,0 days 00:00:00.010886,128,96,128,1,0.5862968765167424,"((0.7, 0.2), (0.01, 0.002, 0.0005))",81,198,COMPLETE
90,-1000000000.0,2026-02-24 16:50:15.731144,2026-02-24 16:50:15.743575,0 days 00:00:00.012431,128,64,64,1,0.3350311802762215,"((0.5, 0.25), (0.01, 0.005, 0.001))",122,137,COMPLETE
89,-1000000000.0,2026-02-24 16:50:15.728250,2026-02-24 16:50:15.738548,0 days 00:00:00.010298,128,64,64,1,0.49389550553459755,"((0.5, 0.25), (0.01, 0.005, 0.001))",87,253,COMPLETE
88,-1000000000.0,2026-02-24 16:50:15.718414,2026-02-24 16:50:15.727178,0 days 00:00:00.008764,32,32,256,1,0.4078337584780584,"((0.7, 0.2), (0.01, 0.002, 0.0005))",149,275,COMPLETE
87,-1000000000.0,2026-02-24 16:50:15.715865,2026-02-24 16:50:15.727905,0 days 00:00:00.012040,32,32,256,1,0.4839361917139042,"((0.7, 0.2), (0.01, 0.002, 0.0005))",115,266,COMPLETE
86,-1000000000.0,2026-02-24 16:50:15.705566,2026-02-24 16:50:15.715066,0 days 00:00:00.009500,32,96,128,1,0.30525804770204357,"((0.5, 0.25), (0.01, 0.005, 0.001))",140,130,COMPLETE
85,-1000000000.0,2026-02-24 16:50:15.703797,2026-02-24 16:50:15.714805,0 days 00:00:00.011008,32,96,128,1,0.36280531526684623,"((0.5, 0.25), (0.01, 0.005, 0.001))",143,145,COMPLETE
