period,original_index,synthetic_year,orig_start,orig_end
train,0,2200,01/10/1994,30/09/1995
train,1,2201,01/10/1995,30/09/1996
train,2,2202,01/10/1996,30/09/1997
train,3,2203,01/10/1997,30/09/1998
train,4,2204,01/10/1998,30/09/1999
train,5,2205,01/10/1999,30/09/2000
train,6,2206,01/10/2000,30/09/2001
train,7,2207,01/10/2001,30/09/2002
validation,0,2200,01/10/2002,30/09/2003
validation,1,2201,01/10/2003,30/09/2004
validation,2,2202,01/10/2004,30/09/2005
test,0,2200,01/10/2005,30/09/2006
test,1,2201,01/10/2006,30/09/2007
test,2,2202,01/10/2007,30/09/2008
test,3,2203,01/10/2008,30/09/2009
