hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,schedule_pairs,value,NSE_1H,NSE_1D
256,0.2954707025363983,103,209,1,2,128,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",0.42543655633926386,0.5408586263656616,0.15611839294433594
256,0.3790925314292567,82,294,1,2,64,"((0.7, 0.2), (0.01, 0.002, 0.0005))",0.473789644241333,0.5720818042755127,0.24444127082824707
256,0.38318522870132693,96,176,1,2,64,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",0.5071049571037292,0.6119979619979858,0.26235461235046387
128,0.5064798231972605,131,124,1,3,32,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.6633134841918945,0.6188204288482666,0.7671306133270264
128,0.5890230977151378,115,249,1,2,128,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.4640016555786133,0.5488227605819702,0.26608574390411377
128,0.35863266322813947,60,396,1,3,64,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",0.5984931886196136,0.5690626502037048,0.6671644449234009
64,0.5295215972889173,134,196,1,2,32,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",0.4392859756946564,0.49183815717697144,0.3166642189025879
128,0.5271804152485561,117,124,1,3,64,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.6374969124794005,0.6683149933815002,0.5655880570411682
64,0.47720306834984777,73,328,1,2,128,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.38566260337829583,0.4227379560470581,0.2991534471511841
64,0.3276925439288824,60,159,1,3,128,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.6275859475135803,0.6744489669799805,0.51823890209198
256,0.34667933499839887,149,355,1,2,32,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",0.438655549287796,0.5168912410736084,0.25610560178756714
128,0.2196909705297964,150,123,1,3,32,"((0.7, 0.2), (0.01, 0.002, 0.0005))",0.654121071100235,0.6132952570915222,0.7493813037872314
128,0.4919831263185687,126,120,1,3,32,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.7457698941230774,0.7124679088592529,0.8234745264053345
128,0.21058050873638917,150,127,1,3,32,"((0.7, 0.2), (0.01, 0.002, 0.0005))",0.7153340876102448,0.6937752962112427,0.7656379342079163
