number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_hidden_size,params_num_layers,params_output_dropout,params_schedule_pairs,params_seq_length_1D,params_seq_length_1H,state
106,0.8561107710003852,2026-02-24 12:10:12.735136,2026-02-24 13:28:10.188431,0 days 01:17:57.453295,64,96,64,1,0.34261375706446606,"((0.5, 0.25), (0.01, 0.005, 0.001))",118,397,COMPLETE
69,0.8551057815551757,2026-02-24 10:21:09.215268,2026-02-24 11:51:16.845632,0 days 01:30:07.630364,64,96,128,1,0.3139960729859865,"((0.7, 0.2), (0.01, 0.002, 0.0005))",104,377,COMPLETE
91,0.8550621144473551,2026-02-24 11:34:04.764162,2026-02-24 12:59:05.616698,0 days 01:25:00.852536,64,96,64,1,0.5340454910830802,"((0.5, 0.25), (0.01, 0.005, 0.001))",138,395,COMPLETE
88,0.8547897830605506,2026-02-24 11:29:20.583367,2026-02-24 12:52:20.605575,0 days 01:23:00.022208,64,96,64,1,0.5468323118470788,"((0.5, 0.25), (0.01, 0.005, 0.001))",121,399,COMPLETE
32,0.8539133787155151,2026-02-24 08:10:46.353286,2026-02-24 09:32:54.788984,0 days 01:22:08.435698,64,96,64,1,0.2659842434126144,"((0.5, 0.25), (0.01, 0.005, 0.001))",124,374,COMPLETE
98,0.8510023072361945,2026-02-24 11:45:37.853748,2026-02-24 13:10:49.462921,0 days 01:25:11.609173,64,96,64,1,0.5198873921644932,"((0.5, 0.25), (0.01, 0.005, 0.001))",126,398,COMPLETE
25,0.8479250550270081,2026-02-24 07:42:01.311613,2026-02-24 08:43:20.157673,0 days 01:01:18.846060,128,96,64,1,0.543795277667129,"((0.7, 0.2), (0.01, 0.002, 0.0005))",113,334,COMPLETE
113,0.847384801506996,2026-02-24 12:25:08.906803,2026-02-24 13:33:03.731022,0 days 01:07:54.824219,64,96,64,1,0.35185936703471027,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",118,386,COMPLETE
104,0.8450381159782409,2026-02-24 12:06:21.134443,2026-02-24 13:25:15.693587,0 days 01:18:54.559144,64,96,64,1,0.4160305869102212,"((0.5, 0.25), (0.01, 0.005, 0.001))",120,397,COMPLETE
107,0.8449714258313179,2026-02-24 12:11:06.219830,2026-02-24 13:27:35.041975,0 days 01:16:28.822145,64,96,64,1,0.355597022634494,"((0.5, 0.25), (0.01, 0.005, 0.001))",117,389,COMPLETE
67,0.8442077353596686,2026-02-24 10:13:39.826936,2026-02-24 11:27:26.483121,0 days 01:13:46.656185,64,96,64,1,0.3125775051436268,"((0.5, 0.25), (0.01, 0.005, 0.001))",107,377,COMPLETE
68,0.8429716497659683,2026-02-24 10:15:24.465763,2026-02-24 11:29:20.581800,0 days 01:13:56.116037,64,96,64,1,0.3115746554137065,"((0.5, 0.25), (0.01, 0.005, 0.001))",107,380,COMPLETE
79,0.8427731588482856,2026-02-24 10:58:04.161466,2026-02-24 12:21:38.809813,0 days 01:23:34.648347,64,96,64,1,0.5552143496099109,"((0.7, 0.2), (0.01, 0.002, 0.0005))",125,391,COMPLETE
52,0.8414577335119247,2026-02-24 09:02:25.827859,2026-02-24 11:12:27.154563,0 days 02:10:01.326704,32,96,64,1,0.45731932050416835,"((0.7, 0.2), (0.01, 0.002, 0.0005))",126,233,COMPLETE
72,0.8398791417479514,2026-02-24 10:35:19.747856,2026-02-24 12:06:21.132880,0 days 01:31:01.385024,64,96,128,1,0.3288864401772,"((0.5, 0.25), (0.01, 0.005, 0.001))",108,382,COMPLETE
80,0.8389315113425254,2026-02-24 10:58:29.322782,2026-02-24 12:22:34.817768,0 days 01:24:05.494986,64,96,64,1,0.5466824595892121,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",125,390,COMPLETE
