_queue_iter_idx,hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,custom_peak_penalty,NSE_1D,NSE_1H,_rank_score,model_type
8,128,0.24248243688996543,90,336,1,300,64,118.68879810295394,0.8713419307023287,0.8513890341367982,0.8573749031064573,no_physics
5,128,0.11393500623165466,90,336,1,300,64,34.568290290941746,0.889195803552866,0.8501595824051741,0.8618704487494817,no_physics
6,256,0.25033106800667143,90,336,1,300,64,19.577386427781896,0.8770565390586853,0.8537511824328528,0.8607427894206024,no_physics
0,128,0.2641981016987939,90,336,1,300,64,155.46879627509813,0.8718746453523636,0.8304775905108517,0.8428967069633051,no_physics
1,128,0.10920435244665092,90,336,1,300,64,35.718103994355985,0.8438205104321241,0.8508325688815358,0.8487289513467122,no_physics
2,256,0.2587623752158861,90,336,1,300,64,139.94957119299468,0.8772141858935356,0.8329551841591369,0.8462328846794565,no_physics
12,128,0.26696963309409794,90,168,1,300,64,193.77282745283318,0.8967486880719662,0.8497905655018377,0.8638780022728763,no_physics
13,128,0.35561298871770597,90,336,1,300,64,198.53034958162579,0.8991390764713287,0.8423388375610693,0.8593789092341471,no_physics
10,256,0.3922917564046664,90,336,1,300,64,52.528755927181045,0.8735050652176142,0.8320829057442756,0.844509553586277,no_physics
9,128,0.3808148492333332,90,168,1,300,64,127.58799619334884,0.8916482292115688,0.8569726739961725,0.8673753405607914,no_physics
4,128,0.19866152334756365,90,168,1,300,64,148.07366983258495,0.9119261521846056,0.8591386735847555,0.8749749171647104,no_physics
17,128,0.26955520225478447,90,168,1,300,64,110.31570409160318,0.8822236210107803,0.8481995428303561,0.8584067662844833,no_physics
11,128,0.349679065771339,90,168,1,300,64,199.22441811957046,0.885732976719737,0.8622247552241302,0.8692772216728122,no_physics
15,128,0.10022191525949638,90,336,1,300,64,170.49345501954517,0.8662771265953779,0.8283314208518492,0.8397151325749077,no_physics
21,128,0.13553050709785744,90,168,1,300,64,150.6713868429522,0.8930199220776558,0.862345127908636,0.8715475661593419,no_physics
3,256,0.27333376332361103,90,168,1,300,64,87.71744699163006,0.8831654153764248,0.8381357728099426,0.8516446655798873,no_physics
35,128,0.39264638960758536,90,336,1,300,64,103.45215763017413,0.887971019372344,0.8431796815377484,0.856617082888127,no_physics
37,128,0.15883702977610245,90,336,1,300,64,152.43463606981447,0.8722481410950422,0.8316180565070679,0.8438070818834601,no_physics
23,256,0.3673669097316513,90,336,1,300,64,138.40850970453315,0.8882663920521736,0.8555331703902335,0.8653531368888154,no_physics
14,128,0.156392415203209,90,168,1,300,64,85.80625228510266,0.8928125202655792,0.8144781277869552,0.8379784455305423,no_physics
22,128,0.2714289659740168,90,336,1,300,64,104.99440199617635,0.8984631150960922,0.8426096887160395,0.8593657166300552,no_physics
20,128,0.2811515143663945,90,336,1,300,64,81.82947928780534,0.8664351683109999,0.8501369337670823,0.8550264041302575,no_physics
7,256,0.1454314311900353,90,168,1,300,64,247.1945754063393,0.8905325718224049,0.848340430871938,0.860998073157078,no_physics
