hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,schedule_pairs,value,NSE_1H,NSE_1D
256,0.2954707025363983,103,209,1,2,128,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",0.42543655633926386,0.5408586263656616,0.15611839294433594
256,0.3790925314292567,82,294,1,2,64,"((0.7, 0.2), (0.01, 0.002, 0.0005))",0.473789644241333,0.5720818042755127,0.24444127082824707
256,0.38318522870132693,96,176,1,2,64,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",0.5071049571037292,0.6119979619979858,0.26235461235046387
128,0.5064798231972605,131,124,1,3,32,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.6633134841918945,0.6188204288482666,0.7671306133270264
128,0.5890230977151378,115,249,1,2,128,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.4640016555786133,0.5488227605819702,0.26608574390411377
128,0.35863266322813947,60,396,1,3,64,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",0.5984931886196136,0.5690626502037048,0.6671644449234009
64,0.5295215972889173,134,196,1,2,32,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",0.4392859756946564,0.49183815717697144,0.3166642189025879
128,0.5271804152485561,117,124,1,3,64,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.6374969124794005,0.6683149933815002,0.5655880570411682
64,0.47720306834984777,73,328,1,2,128,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.38566260337829583,0.4227379560470581,0.2991534471511841
64,0.3276925439288824,60,159,1,3,128,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.6275859475135803,0.6744489669799805,0.51823890209198
256,0.34667933499839887,149,355,1,2,32,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",0.438655549287796,0.5168912410736084,0.25610560178756714
128,0.2196909705297964,150,123,1,3,32,"((0.7, 0.2), (0.01, 0.002, 0.0005))",0.654121071100235,0.6132952570915222,0.7493813037872314
128,0.4919831263185687,126,120,1,3,32,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.7457698941230774,0.7124679088592529,0.8234745264053345
128,0.21058050873638917,150,127,1,3,32,"((0.7, 0.2), (0.01, 0.002, 0.0005))",0.7153340876102448,0.6937752962112427,0.7656379342079163
64,0.2406271533471791,83,145,1,3,64,"((0.7, 0.2), (0.01, 0.002, 0.0005))",0.6784205973148345,0.6462662220001221,0.7534474730491638
64,0.4107893156796336,118,296,1,3,64,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",0.5564824938774109,0.5705220699310303,0.5237234830856323
256,0.3915771666693634,65,195,1,2,32,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",0.5816724121570587,0.651146650314331,0.4195658564567566
256,0.38260423445413355,130,175,1,3,64,"((0.7, 0.2), (0.01, 0.002, 0.0005))",0.6317902207374573,0.6054087281227112,0.6933470368385315
64,0.3790257323957934,69,390,1,2,64,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",0.3955435395240784,0.4626309871673584,0.2390061616897583
256,0.34582508744577056,87,261,1,2,128,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",0.4244556903839111,0.5437643527984619,0.14606881141662598
256,0.40312620814617556,93,363,1,2,128,"((0.7, 0.2), (0.01, 0.002, 0.0005))",0.40382964015007017,0.4882679581642151,0.20680689811706543
128,0.4004011515417168,65,350,1,3,64,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.7087026119232177,0.6811050772666931,0.7730968594551086
256,0.3058486379461558,121,193,1,3,128,"((0.7, 0.2), (0.01, 0.002, 0.0005))",0.5362797260284423,0.5630017518997192,0.4739283323287964
128,0.25494089348601595,128,260,1,2,32,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.6004168331623077,0.6304587721824646,0.5303189754486084
256,0.21218199491437728,73,261,1,2,64,"((0.7, 0.2), (0.01, 0.002, 0.0005))",0.5198454022407532,0.6080399751663208,0.3140580654144287
256,0.5901340421723604,149,400,1,3,64,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",0.5391837060451508,0.5844053030014038,0.4336666464805603
64,0.34440391028303863,93,399,1,2,128,"((0.7, 0.2), (0.01, 0.002, 0.0005))",0.31936814188957213,0.3404375910758972,0.270206093788147
64,0.25791834469771213,70,386,1,2,64,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",0.39563629031181335,0.45673781633377075,0.2530660629272461
64,0.22570409163182778,79,307,1,3,64,"((0.7, 0.2), (0.01, 0.002, 0.0005))",0.6738866984844207,0.6317583322525024,0.7721862196922302
64,0.40921672335686654,80,370,1,3,64,"((0.5, 0.25), (0.01, 0.005, 0.001))",0.6572320759296417,0.6305472254753113,0.7194967269897461
128,0.30977154426447706,112,145,1,2,32,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",0.4713686645030975,0.5641127824783325,0.25496572256088257
128,0.22109817836871218,75,198,1,2,128,"((0.7, 0.2), (0.01, 0.002, 0.0005))",0.40720773339271543,0.4797273874282837,0.2379952073097229
