_queue_iter_idx,hidden_size,output_dropout,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,custom_peak_penalty,NSE_1D,NSE_1H,_rank_score,model_type
2,256,0.384955013991433,90,168,1,300,64,74.97499889324251,0.8895170353353024,0.8312977781498201,0.8487635553054647,no_physics
0,256,0.3890568091797106,90,168,1,300,64,230.2963138264033,0.904689430259168,0.8408226694454592,0.8599826976895719,no_physics
5,128,0.2086454053374018,90,168,1,300,64,223.8383849954115,0.8758321404457092,0.8348128597773457,0.8471186439778546,no_physics
6,128,0.1973237807202866,90,336,1,300,64,119.2542802024166,0.8860376551747322,0.842909717833531,0.8558480990358913,no_physics
7,128,0.3526686088560806,90,336,1,300,64,173.54796247053926,0.8537156227976084,0.8247841610701465,0.833463599588385,no_physics
3,256,0.1635578884624188,90,336,1,300,64,116.2366124000658,0.8830570485442877,0.8330884363310174,0.8480790199949984,no_physics
8,128,0.1279936368082209,90,336,1,300,64,180.55200980349736,0.8896536286920309,0.8210481437997008,0.8416297892673998,no_physics
1,256,0.3115805305782814,90,336,1,300,64,211.60395188765528,0.893517529591918,0.8585269235087282,0.8690241053336851,no_physics
4,256,0.2478038103723487,90,336,1,300,64,75.33991395869704,0.8863014653325081,0.8351153129758044,0.8504711586828155,no_physics
10,128,0.3807809031505557,90,336,1,300,64,79.34017703233542,0.884444335475564,0.8292268836350245,0.8457921191871862,no_physics
11,256,0.1967448817090114,90,168,1,300,64,106.62480698018604,0.8874711692333221,0.8500854205392739,0.8613011451474883,no_physics
9,256,0.1073935788272742,90,336,1,300,64,64.5342997066701,0.8931320123374462,0.8242181870369825,0.8448923346271215,no_physics
16,128,0.1829024104568457,90,336,1,300,64,128.66520078150148,0.8787656147032976,0.8409193572205036,0.8522732344653416,no_physics
14,256,0.1545911418941018,90,168,1,300,64,23.930249250501305,0.8563070148229599,0.8599275309193202,0.8588413760904121,no_physics
12,256,0.2398329669224167,90,336,1,300,64,139.23046779880886,0.8672225493937731,0.8422759094056245,0.8497599014020689,no_physics
13,256,0.267501396849464,90,336,1,300,64,49.6854601873615,0.8771439548581839,0.8393047397351948,0.8506565042720915,no_physics
15,256,0.1235127117789981,90,336,1,300,64,76.48709656342051,0.8959940299391747,0.8464210284138812,0.8612929288714692,no_physics
19,256,0.3128939702840916,90,168,1,300,64,16.727066375170665,0.8843284491449594,0.8539177464845451,0.8630409572826694,no_physics
17,256,0.3119390695144337,90,336,1,300,64,220.35093308395724,0.8786009289324284,0.8380281543569228,0.8501999867295744,no_physics
20,256,0.3020012600396756,90,168,1,300,64,29.575510925664005,0.8661582469940186,0.8299454611734866,0.8408092969196461,no_physics
18,256,0.1008091442887168,90,336,1,300,64,249.27085321008585,0.8404722455888987,0.8527097076138217,0.8490384690063446,no_physics
21,256,0.312216950783081,90,168,1,300,64,13.604431326463995,0.8886887151747942,0.8376139551703605,0.8529363831716905,no_physics
23,256,0.3052477071662255,90,168,1,300,64,24.412150958767867,0.8969315737485886,0.8490723851458255,0.8634301417266543,no_physics
22,256,0.3097320054137508,90,168,1,300,64,28.026780377553465,0.8832405470311642,0.8488904534797495,0.8591954815451739,no_physics
24,256,0.3007480721754603,90,168,1,300,64,174.17264340769316,0.8847831338644028,0.8353929602304122,0.8502100123206093,no_physics
25,256,0.3094361359634064,90,168,1,300,64,196.4294071852597,0.876658022403717,0.8452182184821493,0.8546501596586196,no_physics
27,256,0.3035143132693524,90,168,1,300,64,193.708548491162,0.8572129178792238,0.8405403883743849,0.8455421472258364,no_physics
26,256,0.3162598227680424,90,168,1,300,64,193.11495352517304,0.885934492573142,0.8322817286647453,0.8483775578372642,no_physics
28,256,0.313456284695755,90,168,1,300,64,187.44095275903223,0.8774553872644901,0.8542766165827818,0.8612302477872942,no_physics
29,256,0.3152027507399472,90,168,1,300,64,248.82276517303893,0.8669495433568954,0.8337776306589855,0.8437292044683584,no_physics
30,256,0.3069327569439994,90,168,1,300,64,248.265545548408,0.8669587299227715,0.8377275982848089,0.8464969377761976,no_physics
31,256,0.3185209033561429,90,168,1,300,64,165.61736863309815,0.8794325850903988,0.8360851886750921,0.849089407599684,no_physics
32,256,0.3405281776269432,90,168,1,300,64,39.53852475636255,0.8872453439980745,0.8525202937470462,0.8629378088223547,no_physics
33,256,0.2836273029982283,90,168,1,300,64,45.63893063641989,0.8810562696307898,0.8465665011350303,0.8569134316837581,no_physics
34,256,0.3427810323236184,90,168,1,300,64,160.54938770386056,0.8743428196758032,0.8395408683536715,0.849981453750311,no_physics
36,256,0.3447701357955194,90,168,1,300,64,146.94183141282286,0.8563052155077457,0.8308625922902525,0.8384953792555003,no_physics
35,256,0.3410001124499941,90,168,1,300,64,50.39533650351768,0.8810629937797785,0.8321086172629664,0.84679493021801,no_physics
38,256,0.3409371359285488,90,168,1,300,64,151.05404738063538,0.8885431345552206,0.8215790750504434,0.8416682929018766,no_physics
37,256,0.3528605162020268,90,168,1,300,64,49.0266442817027,0.880228690803051,0.8367088528044802,0.8497648042040513,no_physics
39,256,0.3506401572752851,90,168,1,300,64,147.40684251256116,0.8698980584740639,0.8106527778502668,0.8284263620374058,no_physics
41,256,0.2739934908454785,90,168,1,300,64,99.6991220550475,0.8872941918671131,0.8394161092709889,0.853779534049826,no_physics
40,256,0.3499487299245008,90,168,1,300,64,152.34652246437207,0.8667134940624237,0.8525115516992195,0.8567721344081808,no_physics
42,256,0.3493351648874117,90,168,1,300,64,48.23012057082924,0.8766637090593576,0.8398189125299196,0.850872351488751,no_physics
47,128,0.3991445203861397,90,168,1,300,64,14.615741199980786,0.8805080689489841,0.832899835257931,0.8471823053652469,no_physics
43,256,0.3454058765101398,90,168,1,300,64,42.28441891121919,0.8770103752613068,0.8259870811045152,0.8412940693515527,no_physics
44,256,0.3417373367159311,90,168,1,300,64,10.090176531746735,0.8656983878463507,0.8679303291308891,0.8672607467455276,no_physics
46,256,0.3594680164700457,90,168,1,300,64,98.18644500235078,0.8821987994015217,0.841277906350503,0.8535541742658086,no_physics
45,256,0.3404518264221493,90,168,1,300,64,10.127326647063512,0.8971364628523588,0.852242446434762,0.865710651360041,no_physics
