Col Number,,,1,2,3,4,5,6,7
   Ordinate,Date,Time,Capella Gage FLOW,EF Russian 20 ET-POTENTIAL,EF Russian 20 FLOW,EF Russian 20 FLOW-BASE,EF Russian 20 INFILTRATION,EF Russian 20 PERC-SOIL,EF Russian 20 SATURATION FRACTION
Units,,,CFS,IN,CFS,CFS,IN,IN,IN/IN
Type,,,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER
1,1-Oct-94,24:00:00,509.465714,0.075601,412.869881,412.869881,0,0,0.696386
2,2-Oct-94,24:00:00,413.652207,0.126573,316.652207,316.652207,0,0,0.686191
3,3-Oct-94,24:00:00,390.82676,0.111336,290.88926,290.88926,0,0,0.674631
4,4-Oct-94,24:00:00,339.81989,0.029809,260.38239,260.38239,0,0,0.667037
5,5-Oct-94,24:00:00,313.597567,0.061046,225.785067,225.785067,0,0,0.665947
6,6-Oct-94,24:00:00,280.446596,0.098569,192.446596,192.446596,0,0,0.661994
7,7-Oct-94,24:00:00,250.704816,0.104902,162.704816,162.704816,0,0,0.65245
8,8-Oct-94,24:00:00,225.056063,0.097255,137.056063,137.056063,0,0,0.642273
9,9-Oct-94,24:00:00,201.304477,0.092864,115.26281,115.26281,0,0,0.633004
10,10-Oct-94,24:00:00,182.865404,0.09473,96.865404,96.865404,0,0,0.623288
11,11-Oct-94,24:00:00,169.337157,0.083737,81.378823,81.378823,0,0,0.614546
12,12-Oct-94,24:00:00,154.400422,0.100089,68.358755,68.358755,0,0,0.605327
13,13-Oct-94,24:00:00,145.37667,0.102391,57.418337,57.418337,0,0,0.595414
14,14-Oct-94,24:00:00,134.269256,0.093054,48.22759,48.22759,0,0,0.586034
15,15-Oct-94,24:00:00,135.320002,0.102967,40.507502,40.507502,0,0,0.575295
16,16-Oct-94,24:00:00,131.960544,0.089199,34.023044,34.023044,0,0,0.566033
17,17-Oct-94,24:00:00,125.59739,0.061094,28.576557,28.576557,0,0,0.558535
18,18-Oct-94,24:00:00,121.001932,0.091095,24.001932,24.001932,0,0,0.550968
19,19-Oct-94,24:00:00,115.201286,0.087327,20.15962,20.15962,0,0,0.542031
20,20-Oct-94,24:00:00,113.890728,0.077681,16.932394,16.932394,0,0,0.533707
21,21-Oct-94,24:00:00,111.221794,0.080713,14.221794,14.221794,0,0,0.525732
22,22-Oct-94,24:00:00,108.945116,0.075661,11.945116,11.945116,0,0,0.517893
23,23-Oct-94,24:00:00,107.032897,0.089839,10.032897,10.032897,0,0,0.509772
24,24-Oct-94,24:00:00,105.426793,0.072866,8.426793,8.426793,0,0,0.501819
25,25-Oct-94,24:00:00,104.077801,0.046758,7.077801,7.077801,0,0,0.49562
26,26-Oct-94,24:00:00,102.94476,0.048708,5.94476,5.94476,0,0,0.490836
27,27-Oct-94,24:00:00,101.9931,0.050088,4.9931,4.9931,0,0,0.485954
28,28-Oct-94,24:00:00,104.131286,0.066676,4.193786,4.193786,0,0,0.480052
29,29-Oct-94,24:00:00,92.751596,0.069814,3.522429,3.522429,0,0,0.473239
30,30-Oct-94,24:00:00,97.833545,0.06829,2.958545,2.958545,0,0,0.466369
31,31-Oct-94,24:00:00,97.48493,0.053367,2.48493,2.48493,0,0,0.460308
32,1-Nov-94,24:00:00,97.087133,0.038523,2.087133,2.087133,0,0,0.45749
33,2-Nov-94,24:00:00,96.753017,0.0688,1.753017,1.753017,0,0,0.456198
34,3-Nov-94,24:00:00,98.430722,0.057933,1.472388,1.472388,0,0,0.45143
35,4-Nov-94,24:00:00,110.163305,0.028248,13.163305,1.236683,1.034141,0,0.462653
36,5-Nov-94,24:00:00,275.351613,0.018642,178.351613,1.038714,0.639034,0,0.600793
37,6-Nov-94,24:00:00,102.506951,0.019713,5.506951,0.872436,0.096614,0,0.622578
38,7-Nov-94,24:00:00,97.761068,0.048833,0.761068,0.732775,0,0,0.623366
39,8-Nov-94,24:00:00,97.61547,0.04895,0.61547,0.61547,0,0,0.622863
40,9-Nov-94,24:00:00,1693.64,0.016276,1596.64,219.734962,1.037414,0.252764,0.675884
41,10-Nov-94,24:00:00,357.733678,0.038475,232.337844,172.408199,0,0,0.7
42,11-Nov-94,24:00:00,155.637382,0.024801,46.283215,46.283215,0,0,0.7
43,12-Nov-94,24:00:00,129.601409,0.055272,26.476409,26.476409,0,0,0.699319
44,13-Nov-94,24:00:00,122.584,0.046844,21.542333,21.542333,0,0,0.695782
45,14-Nov-94,24:00:00,116.526888,0.054893,18.464388,18.464388,0,0,0.691073
46,15-Nov-94,24:00:00,476.462719,0.0302,378.462719,367.785915,0.454176,0.329478,0.697538
47,16-Nov-94,24:00:00,283.685214,0.041958,185.685214,185.139609,0.017459,0.014971,0.700005
48,17-Nov-94,24:00:00,303.787319,0.05211,202.849819,200.355372,0.084377,0.086866,0.700005
49,18-Nov-94,24:00:00,197.023955,0.051451,74.482289,74.463322,0,0,0.699965
50,19-Nov-94,24:00:00,154.187524,0.035142,47.833358,47.833358,0,0,0.698052
51,20-Nov-94,24:00:00,145.176067,0.007306,39.176067,39.176067,0,0,0.696008
52,21-Nov-94,24:00:00,136.31775,0.030478,33.25525,33.25525,0,0,0.694152
53,22-Nov-94,24:00:00,131.177395,0.038632,28.177395,28.177395,0,0,0.690652
54,23-Nov-94,24:00:00,123.838519,0.028384,23.776019,23.776019,0,0,0.687281
55,24-Nov-94,24:00:00,224.776677,0.022259,144.360011,131.866303,0.680926,0.405738,0.691247
56,25-Nov-94,24:00:00,1655.84,0.020827,1573.88,1329.76,0.65146,0.774814,0.701991
57,26-Nov-94,24:00:00,752.143811,0.037026,629.018811,624.127387,0.09412,0.09412,0.700043
58,27-Nov-94,24:00:00,616.810717,0.004745,490.852384,485.207132,0.240065,0.240065,0.7
59,28-Nov-94,24:00:00,369.690346,0.026633,266.211179,265.729217,0,0,0.7
60,29-Nov-94,24:00:00,150.626158,0.026481,148.480325,148.480325,0,0,0.7
61,30-Nov-94,24:00:00,117.197372,0.035865,117.197372,117.197372,0,0,0.7
62,1-Dec-94,24:00:00,98.973317,0.013248,98.973317,98.973317,0,0,0.699856
63,2-Dec-94,24:00:00,159.266928,0.017694,83.871094,83.871094,0,0,0.698768
64,3-Dec-94,24:00:00,2124.14,0.010329,2053.01,1101.65,1.101459,1.080279,0.705525
65,4-Dec-94,24:00:00,934.369859,0.031508,812.453192,735.099201,0,0,0.7
66,5-Dec-94,24:00:00,341.010236,0.015015,237.593569,237.593569,0,0,0.7
67,6-Dec-94,24:00:00,279.175524,0.017452,198.696357,197.834146,0.035192,0.035192,0.7
68,7-Dec-94,24:00:00,217.86734,0.032432,134.92984,134.922663,0,0,0.7
69,8-Dec-94,24:00:00,161.166979,0.025114,109.500313,109.500313,0,0,0.7
70,9-Dec-94,24:00:00,142.354073,0.026089,92.33324,92.33324,0,0,0.699961
71,10-Dec-94,24:00:00,128.955664,0.010361,77.976497,77.976497,0,0,0.699379
72,11-Dec-94,24:00:00,429.010553,0.009293,378.010553,280.826862,0.346668,0.329199,0.699824
73,12-Dec-94,24:00:00,591.587256,0.009984,538.628923,480.478922,0.164335,0.164335,0.700069
