Col number,,,1,2,3,4,5,6,7
Ordinate,Date,Time,Capella Gage FLOW,EF Russian 20 ET-POTENTIAL,EF Russian 20 FLOW,EF Russian 20 FLOW-BASE,EF Russian 20 INFILTRATION,EF Russian 20 PERC-SOIL,EF Russian 20 SATURATION FRACTION
Units,, ,CFS,IN,CFS,CFS,IN,IN,IN/IN
Type,,,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER
1,30-Sep-94,24:00:00,520.495967,0.003287,423.495967,423.495967,0.0,0.0,0.696394
2,01-Oct-94,24:00:00,414.352444,0.005274,317.352444,317.352444,0.0,0.0,0.686455
3,02-Oct-94,24:00:00,391.315048,0.00459,291.440048,291.440048,0.0,0.0,0.674863
4,03-Oct-94,24:00:00,340.958982,0.001289,261.083982,261.083982,0.0,0.0,0.667093
5,04-Oct-94,24:00:00,314.130699,0.002546,226.505699,226.505699,0.0,0.0,0.665947
6,05-Oct-94,24:00:00,281.10758,0.004107,193.10758,193.10758,0.0,0.0,0.662167
7,06-Oct-94,24:00:00,251.28173,0.004371,163.28173,163.28173,0.0,0.0,0.652668
8,07-Oct-94,24:00:00,225.54883,0.004052,137.54883,137.54883,0.0,0.0,0.642476
9,08-Oct-94,24:00:00,201.763081,0.003869,115.679748,115.679748,0.0,0.0,0.633198
10,09-Oct-94,24:00:00,183.216726,0.003947,97.216726,97.216726,0.0,0.0,0.623485
11,10-Oct-94,24:00:00,169.590987,0.003489,81.67432,81.67432,0.0,0.0,0.61472
12,11-Oct-94,24:00:00,154.690435,0.00417,68.607101,68.607101,0.0,0.0,0.605536
13,12-Oct-94,24:00:00,145.54365,0.004266,57.626983,57.626983,0.0,0.0,0.595627
14,13-Oct-94,24:00:00,134.486189,0.003793,48.402856,48.402856,0.0,0.0,0.586227
15,14-Oct-94,24:00:00,135.279719,0.004371,40.654719,40.654719,0.0,0.0,0.575509
16,15-Oct-94,24:00:00,132.021696,0.00372,34.146696,34.146696,0.0,0.0,0.566218
17,16-Oct-94,24:00:00,125.722082,0.002546,28.680415,28.680415,0.0,0.0,0.558662
18,17-Oct-94,24:00:00,121.089165,0.003796,24.089165,24.089165,0.0,0.0,0.551157
19,18-Oct-94,24:00:00,115.316221,0.003639,20.232888,20.232888,0.0,0.0,0.542214
20,19-Oct-94,24:00:00,113.9106,0.003237,16.993934,16.993934,0.0,0.0,0.533869
21,20-Oct-94,24:00:00,111.273482,0.003363,14.273482,14.273482,0.0,0.0,0.5259
22,21-Oct-94,24:00:00,108.98853,0.003153,11.98853,11.98853,0.0,0.0,0.518051
23,22-Oct-94,24:00:00,107.069361,0.003743,10.069361,10.069361,0.0,0.0,0.509959
24,23-Oct-94,24:00:00,105.45742,0.003036,8.45742,8.45742,0.0,0.0,0.501971
25,24-Oct-94,24:00:00,104.103524,0.001948,7.103524,7.103524,0.0,0.0,0.495718
26,25-Oct-94,24:00:00,102.966365,0.00203,5.966365,5.966365,0.0,0.0,0.490937
27,26-Oct-94,24:00:00,102.011247,0.002087,5.011247,5.011247,0.0,0.0,0.486059
28,27-Oct-94,24:00:00,104.084028,0.002778,4.209028,4.209028,0.0,0.0,0.480191
29,28-Oct-94,24:00:00,92.993564,0.002909,3.535231,3.535231,0.0,0.0,0.473385
30,29-Oct-94,24:00:00,97.719298,0.002845,2.969298,2.969298,0.0,0.0,0.466511
31,30-Oct-94,24:00:00,97.493962,0.002223,2.493962,2.493962,0.0,0.0,0.460419
32,31-Oct-94,24:00:00,97.094719,0.001547,2.094719,2.094719,0.0,0.0,0.457492
33,01-Nov-94,24:00:00,96.759388,0.002925,1.759388,1.759388,0.0,0.0,0.456264
34,02-Nov-94,24:00:00,98.394406,0.002412,1.477739,1.477739,0.0,0.0,0.451551
35,03-Nov-94,24:00:00,105.977546,0.001156,8.977546,1.241178,0.037288,0.0,0.460542
36,04-Nov-94,24:00:00,279.365498,0.000799,182.365498,1.042489,0.0312,0.0,0.599461
37,05-Nov-94,24:00:00,102.684908,0.000812,5.684908,0.875607,0.005253,0.0,0.622377
38,06-Nov-94,24:00:00,97.769089,0.002044,0.769089,0.735438,0.0,0.0,0.623366
39,07-Nov-94,24:00:00,97.617707,0.002018,0.617707,0.617707,0.0,0.0,0.6229
40,08-Nov-94,24:00:00,1678.852228,0.000699,1581.852097,212.358182,0.043226,0.010532,0.674252
41,09-Nov-94,24:00:00,370.395442,0.001604,245.603775,178.260689,0.0,0.0,0.7
42,10-Nov-94,24:00:00,156.876343,0.001033,47.16801,47.16801,0.0,0.0,0.7
43,11-Nov-94,24:00:00,129.890926,0.002303,26.640926,26.640926,0.0,0.0,0.699358
44,12-Nov-94,24:00:00,122.697426,0.001952,21.614093,21.614093,0.0,0.0,0.695879
45,13-Nov-94,24:00:00,116.648956,0.002235,18.523956,18.523956,0.0,0.0,0.691188
46,14-Nov-94,24:00:00,469.273844,0.00131,371.273844,360.663291,0.018924,0.013728,0.697287
47,15-Nov-94,24:00:00,289.245581,0.001734,191.245581,190.636101,0.0,0.0,0.7
48,16-Nov-94,24:00:00,303.449271,0.002146,202.574271,200.080877,0.004243,0.004243,0.70001
49,17-Nov-94,24:00:00,197.677296,0.002184,75.593963,75.571567,0.0,0.0,0.699968
50,18-Nov-94,24:00:00,154.80113,0.001464,48.092796,48.092796,0.0,0.0,0.698126
51,19-Nov-94,24:00:00,145.313673,0.000304,39.313673,39.313673,0.0,0.0,0.696024
52,20-Nov-94,24:00:00,136.493459,0.00127,33.368459,33.368459,0.0,0.0,0.694216
53,21-Nov-94,24:00:00,131.27603,0.00161,28.27603,28.27603,0.0,0.0,0.690732
54,22-Nov-94,24:00:00,123.985888,0.001183,23.860888,23.860888,0.0,0.0,0.68734
55,23-Nov-94,24:00:00,201.21139,0.000928,120.378057,113.225914,0.02475,0.014156,0.690696
56,24-Nov-94,24:00:00,1659.897083,0.00086,1577.980706,1328.820751,0.029527,0.033794,0.702248
57,25-Nov-94,24:00:00,764.184529,0.00155,641.934618,636.766761,0.005161,0.005161,0.700043
58,26-Nov-94,24:00:00,615.376982,0.000198,489.460315,483.847926,0.010003,0.010003,0.7
59,27-Nov-94,24:00:00,375.267859,0.00111,271.309526,270.770898,0.0,0.0,0.7
60,28-Nov-94,24:00:00,153.809423,0.001103,149.517756,149.517756,0.0,0.0,0.7
61,29-Nov-94,24:00:00,117.640741,0.001494,117.640741,117.640741,0.0,0.0,0.7
62,30-Nov-94,24:00:00,99.312092,0.000552,99.312092,99.312092,0.0,0.0,0.699864
63,01-Dec-94,24:00:00,157.955386,0.000737,84.16372,84.16372,0.0,0.0,0.698805
64,02-Dec-94,24:00:00,2086.766892,0.00043,2015.516892,1073.295215,0.045894,0.045012,0.70548
65,03-Dec-94,24:00:00,965.098365,0.001313,844.264792,757.775758,0.0,0.0,0.7
66,04-Dec-94,24:00:00,345.093941,0.000626,241.260608,241.260608,0.0,0.0,0.7
67,05-Dec-94,24:00:00,280.029755,0.000727,199.071422,198.210465,0.001466,0.001466,0.7
68,06-Dec-94,24:00:00,218.555884,0.001351,135.680884,135.672453,0.0,0.0,0.7
