Col Number,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
   Ordinate,Date,Time,Guerneville Gage FLOW,Big Sulphur Cr ET-POTENTIAL,Big Sulphur Cr FLOW,Big Sulphur Cr FLOW-BASE,Big Sulphur Cr INFILTRATION,Big Sulphur Cr PERC-SOIL,Big Sulphur Cr SATURATION FRACTION,Dry Creek 10 ET-POTENTIAL,Dry Creek 10 FLOW,Dry Creek 10 FLOW-BASE,Dry Creek 10 INFILTRATION,Dry Creek 10 PERC-SOIL,Dry Creek 10 SATURATION FRACTION,Green Valley ET-POTENTIAL,Green Valley FLOW,Green Valley FLOW-BASE,Green Valley INFILTRATION,Green Valley PERC-SOIL,Green Valley SATURATION FRACTION,Laguna ET-POTENTIAL,Laguna FLOW,Laguna FLOW-BASE,Laguna INFILTRATION,Laguna PERC-SOIL,Laguna SATURATION FRACTION,Russian 20 ET-POTENTIAL,Russian 20 FLOW,Russian 20 FLOW-BASE,Russian 20 INFILTRATION,Russian 20 PERC-SOIL,Russian 20 SATURATION FRACTION,Russian 30 ET-POTENTIAL,Russian 30 FLOW,Russian 30 FLOW-BASE,Russian 30 INFILTRATION,Russian 30 PERC-SOIL,Russian 30 SATURATION FRACTION,Russian 40 ET-POTENTIAL,Russian 40 FLOW,Russian 40 FLOW-BASE,Russian 40 INFILTRATION,Russian 40 PERC-SOIL,Russian 40 SATURATION FRACTION,Russian 50 ET-POTENTIAL,Russian 50 FLOW,Russian 50 FLOW-BASE,Russian 50 INFILTRATION,Russian 50 PERC-SOIL,Russian 50 SATURATION FRACTION,Russian 60 ET-POTENTIAL,Russian 60 FLOW,Russian 60 FLOW-BASE,Russian 60 INFILTRATION,Russian 60 PERC-SOIL,Russian 60 SATURATION FRACTION,Russian 70 ET-POTENTIAL,Russian 70 FLOW,Russian 70 FLOW-BASE,Russian 70 INFILTRATION,Russian 70 PERC-SOIL,Russian 70 SATURATION FRACTION,Santa Rosa Cr 10 ET-POTENTIAL,Santa Rosa Cr 10 FLOW,Santa Rosa Cr 10 FLOW-BASE,Santa Rosa Cr 10 INFILTRATION,Santa Rosa Cr 10 PERC-SOIL,Santa Rosa Cr 10 SATURATION FRACTION,Santa Rosa Cr 20 ET-POTENTIAL,Santa Rosa Cr 20 FLOW,Santa Rosa Cr 20 FLOW-BASE,Santa Rosa Cr 20 INFILTRATION,Santa Rosa Cr 20 PERC-SOIL,Santa Rosa Cr 20 SATURATION FRACTION,WF Russian ET-POTENTIAL,WF Russian FLOW,WF Russian FLOW-BASE,WF Russian INFILTRATION,WF Russian PERC-SOIL,WF Russian SATURATION FRACTION
Units, ,,CFS,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN
Type, ,,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER
1,1-Oct-94,24:00:00,227.219915,0.033206,0,0,0,0,0,0.038812,0,0,0,0,0,0.038825,0,0,0,0,0,0.038842,0,0,0,0,0,0.038806,0,0,0,0,0,0.038839,0,0,0,0,0,0.033098,0,0,0,0,0,0.033126,0,0,0,0,0,0.042553,0,0,0,0,0,0.04253,0,0,0,0,0,0.03884,0,0,0,0,0,0.03886,0,0,0,0,0,0.04249,0,0,0,0,0
2,2-Oct-94,24:00:00,236.94987,0.055489,0,0,0,0,0,0.054847,0,0,0,0,0,0.054862,0,0,0,0,0,0.054881,0,0,0,0,0,0.054848,0,0,0,0,0,0.054877,0,0,0,0,0,0.055411,0,0,0,0,0,0.05541,0,0,0,0,0,0.07121,0,0,0,0,0,0.071192,0,0,0,0,0,0.054879,0,0,0,0,0,0.054909,0,0,0,0,0,0.071186,0,0,0,0,0
3,3-Oct-94,24:00:00,241.598901,0.048841,0,0,0,0,0,0.046906,0,0,0,0,0,0.046923,0,0,0,0,0,0.046944,0,0,0,0,0,0.046906,0,0,0,0,0,0.046939,0,0,0,0,0,0.048742,0,0,0,0,0,0.048753,0,0,0,0,0,0.062642,0,0,0,0,0,0.062619,0,0,0,0,0,0.046941,0,0,0,0,0,0.046963,0,0,0,0,0,0.062601,0,0,0,0,0
4,4-Oct-94,24:00:00,292.687745,0.013093,1.425108,0,0.312911,0,0.018471,0.013062,1.422699,0,0.441197,0,0.028702,0.013073,6.451425,0,0.960193,0,0.048476,0.013088,41.85731,0,0.797184,0,0.040181,0.013062,9.142441,0,0.624025,0,0.036055,0.013084,6.73958,0,0.550484,0,0.029032,0.013049,4.670691,0,0.156302,0,0.012404,0.013063,0.520889,0,0.193312,0,0.012221,0.016779,0.271435,0,0.108304,0,0.005993,0.01677,0.583148,0,0.014952,0,0.000756,0.013085,19.799401,0,0.696714,0,0.039485,0.013095,104.775186,0,0.76989,0,0.042283,0.016759,0,0,0,0,0
5,5-Oct-94,24:00:00,880.089134,0.026788,1.302547,0,0,0,0.044702,0.038742,3.412917,0,0,0,0.073533,0.038759,30.876623,0,0,0,0.160032,0.038776,163.025352,0,0,0,0.132864,0.038738,19.389735,0,0,0,0.104004,0.038771,5.082608,0,0,0,0.078641,0.026729,1.569229,0,0,0,0.022329,0.026737,0.747794,0,0,0,0.027616,0.034353,0.337323,0,0,0,0.015472,0.03434,0.674703,0,0,0,0.002136,0.038773,58.745383,0,0,0,0.116119,0.038807,280.441685,0,0,0,0.128315,0.034317,0,0,0,0,0
6,6-Oct-94,24:00:00,415.577293,0.04321,0.128683,0,0,0,0.044702,0.04253,0.879628,0,0,0,0.073533,0.042542,9.123613,0,0,0,0.160032,0.042559,40.467604,0,0,0,0.132864,0.042528,3.496599,0,0,0,0.104004,0.042553,0.2091,0,0,0,0.078641,0.043148,0.05864,0,0,0,0.022329,0.043151,0.150887,0,0,0,0.027616,0.055455,0.021995,0,0,0,0.015472,0.055441,0.029484,0,0,0,0.002136,0.042555,14.202601,0,0,0,0.116119,0.042573,58.321354,0,0,0,0.128315,0.055418,0,0,0,0,0
7,7-Oct-94,24:00:00,271.15325,0.046005,0.000927,0,0,0,0.043758,0.04986,0.224864,0,0,0,0.071302,0.049881,2.61322,0,0,0,0.157811,0.049906,9.858458,0,0,0,0.130638,0.049863,0.605588,0,0,0,0.101774,0.049898,0,0,0,0,0.076722,0.045928,0,0,0,0,0.021398,0.045932,0.030296,0,0,0,0.026684,0.059022,0,0,0,0,0.01213,0.059002,0,0,0,0,0.000943,0.049901,3.402232,0,0,0,0.11388,0.04993,12.018547,0,0,0,0.126083,0.05897,0,0,0,0,0
8,8-Oct-94,24:00:00,232.247803,0.042663,0,0,0,0,0.039235,0.043203,0.047541,0,0,0,0.064648,0.043224,0.74795,0,0,0,0.151163,0.043247,1.925918,0,0,0,0.123983,0.043206,0.000613,0,0,0,0.095119,0.043239,0,0,0,0,0.07101,0.042583,0,0,0,0,0.016896,0.042588,0.000882,0,0,0,0.022181,0.054722,0,0,0,0,0.004416,0.054702,0,0,0,0,0,0.043243,0.605,0,0,0,0.107214,0.04327,0.910973,0,0,0,0.119421,0.054669,0,0,0,0,0
9,9-Oct-94,24:00:00,221.050442,0.040753,0,0,0,0,0.033426,0.03091,0,0,0,0,0.05857,0.030931,0.054903,0,0,0,0.145081,0.030951,0,0,0,0,0.117898,0.030906,0,0,0,0,0.089041,0.030941,0,0,0,0,0.065795,0.040666,0,0,0,0,0.011098,0.040674,0,0,0,0,0.016382,0.052259,0,0,0,0,0.000182,0.052237,0,0,0,0,0,0.030945,0,0,0,0,0.10113,0.030976,0,0,0,0,0.113331,0.0522,0,0,0,0,0
10,10-Oct-94,24:00:00,219.062266,0.041511,0,0,0,0,0.027337,0.031866,0,0,0,0,0.05348,0.031877,0,0,0,0,0.139989,0.031892,0,0,0,0,0.112803,0.031864,0,0,0,0,0.083952,0.031885,0,0,0,0,0.061429,0.041462,0,0,0,0,0.005021,0.041463,0,0,0,0,0.010304,0.05329,0,0,0,0,0,0.053278,0,0,0,0,0,0.031888,0,0,0,0,0.096035,0.031905,0,0,0,0,0.108233,0.053259,0,0,0,0,0
11,11-Oct-94,24:00:00,222.008699,0.036802,0,0,0,0,0.02186,0.035557,0,0,0,0,0.047847,0.035569,0,0,0,0,0.134355,0.035587,0,0,0,0,0.107165,0.035552,0,0,0,0,0.07832,0.035578,0,0,0,0,0.056598,0.036687,0,0,0,0,0.000863,0.036697,0,0,0,0,0.004835,0.047133,0,0,0,0,0,0.047104,0,0,0,0,0,0.035582,0,0,0,0,0.090399,0.0356,0,0,0,0,0.102594,0.047055,0,0,0,0,0
