Col Number,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
   Ordinate,Date,Time,Guerneville Gage FLOW,Big Sulphur Cr ET-POTENTIAL,Big Sulphur Cr FLOW,Big Sulphur Cr FLOW-BASE,Big Sulphur Cr INFILTRATION,Big Sulphur Cr PERC-SOIL,Big Sulphur Cr SATURATION FRACTION,Dry Creek 10 ET-POTENTIAL,Dry Creek 10 FLOW,Dry Creek 10 FLOW-BASE,Dry Creek 10 INFILTRATION,Dry Creek 10 PERC-SOIL,Dry Creek 10 SATURATION FRACTION,Green Valley ET-POTENTIAL,Green Valley FLOW,Green Valley FLOW-BASE,Green Valley INFILTRATION,Green Valley PERC-SOIL,Green Valley SATURATION FRACTION,Laguna ET-POTENTIAL,Laguna FLOW,Laguna FLOW-BASE,Laguna INFILTRATION,Laguna PERC-SOIL,Laguna SATURATION FRACTION,Russian 20 ET-POTENTIAL,Russian 20 FLOW,Russian 20 FLOW-BASE,Russian 20 INFILTRATION,Russian 20 PERC-SOIL,Russian 20 SATURATION FRACTION,Russian 30 ET-POTENTIAL,Russian 30 FLOW,Russian 30 FLOW-BASE,Russian 30 INFILTRATION,Russian 30 PERC-SOIL,Russian 30 SATURATION FRACTION,Russian 40 ET-POTENTIAL,Russian 40 FLOW,Russian 40 FLOW-BASE,Russian 40 INFILTRATION,Russian 40 PERC-SOIL,Russian 40 SATURATION FRACTION,Russian 50 ET-POTENTIAL,Russian 50 FLOW,Russian 50 FLOW-BASE,Russian 50 INFILTRATION,Russian 50 PERC-SOIL,Russian 50 SATURATION FRACTION,Russian 60 ET-POTENTIAL,Russian 60 FLOW,Russian 60 FLOW-BASE,Russian 60 INFILTRATION,Russian 60 PERC-SOIL,Russian 60 SATURATION FRACTION,Russian 70 ET-POTENTIAL,Russian 70 FLOW,Russian 70 FLOW-BASE,Russian 70 INFILTRATION,Russian 70 PERC-SOIL,Russian 70 SATURATION FRACTION,Santa Rosa Cr 10 ET-POTENTIAL,Santa Rosa Cr 10 FLOW,Santa Rosa Cr 10 FLOW-BASE,Santa Rosa Cr 10 INFILTRATION,Santa Rosa Cr 10 PERC-SOIL,Santa Rosa Cr 10 SATURATION FRACTION,Santa Rosa Cr 20 ET-POTENTIAL,Santa Rosa Cr 20 FLOW,Santa Rosa Cr 20 FLOW-BASE,Santa Rosa Cr 20 INFILTRATION,Santa Rosa Cr 20 PERC-SOIL,Santa Rosa Cr 20 SATURATION FRACTION,WF Russian ET-POTENTIAL,WF Russian FLOW,WF Russian FLOW-BASE,WF Russian INFILTRATION,WF Russian PERC-SOIL,WF Russian SATURATION FRACTION
Units,, ,CFS,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN
Type,, ,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER
1,30-Sep-94,24:00:00,227.236758,0.001444,0.0,0.0,0.0,0.0,0.0,0.001687,0.0,0.0,0.0,0.0,0.0,0.001688,0.0,0.0,0.0,0.0,0.0,0.001689,0.0,0.0,0.0,0.0,0.0,0.001687,0.0,0.0,0.0,0.0,0.0,0.001689,0.0,0.0,0.0,0.0,0.0,0.001439,0.0,0.0,0.0,0.0,0.0,0.00144,0.0,0.0,0.0,0.0,0.0,0.00185,0.0,0.0,0.0,0.0,0.0,0.001849,0.0,0.0,0.0,0.0,0.0,0.001689,0.0,0.0,0.0,0.0,0.0,0.00169,0.0,0.0,0.0,0.0,0.0,0.001847,0.0,0.0,0.0,0.0,0.0
2,01-Oct-94,24:00:00,236.9429,0.002312,0.0,0.0,0.0,0.0,0.0,0.002285,0.0,0.0,0.0,0.0,0.0,0.002286,0.0,0.0,0.0,0.0,0.0,0.002287,0.0,0.0,0.0,0.0,0.0,0.002285,0.0,0.0,0.0,0.0,0.0,0.002287,0.0,0.0,0.0,0.0,0.0,0.002309,0.0,0.0,0.0,0.0,0.0,0.002309,0.0,0.0,0.0,0.0,0.0,0.002967,0.0,0.0,0.0,0.0,0.0,0.002966,0.0,0.0,0.0,0.0,0.0,0.002287,0.0,0.0,0.0,0.0,0.0,0.002288,0.0,0.0,0.0,0.0,0.0,0.002966,0.0,0.0,0.0,0.0,0.0
3,02-Oct-94,24:00:00,241.414533,0.002013,0.0,0.0,0.0,0.0,0.0,0.001933,0.0,0.0,0.0,0.0,0.0,0.001933,0.0,0.0,0.0,0.0,0.0,0.001934,0.0,0.0,0.0,0.0,0.0,0.001933,0.0,0.0,0.0,0.0,0.0,0.001934,0.0,0.0,0.0,0.0,0.0,0.002009,0.0,0.0,0.0,0.0,0.0,0.00201,0.0,0.0,0.0,0.0,0.0,0.002582,0.0,0.0,0.0,0.0,0.0,0.002581,0.0,0.0,0.0,0.0,0.0,0.001934,0.0,0.0,0.0,0.0,0.0,0.001935,0.0,0.0,0.0,0.0,0.0,0.002581,0.0,0.0,0.0,0.0,0.0
4,03-Oct-94,24:00:00,284.487083,0.000566,1.355581,0.0,0.013038,0.0,0.01754,0.000565,1.304136,0.0,0.018383,0.0,0.02717,0.000566,5.604208,0.0,0.040008,0.0,0.045142,0.000566,36.616495,0.0,0.033216,0.0,0.037413,0.000565,8.326732,0.0,0.026001,0.0,0.033888,0.000566,6.405341,0.0,0.022937,0.0,0.027394,0.000564,4.569611,0.0,0.006513,0.0,0.011939,0.000565,0.489662,0.0,0.008055,0.0,0.011646,0.000725,0.251299,0.0,0.004513,0.0,0.00567,0.000725,0.538779,0.0,0.000623,0.0,0.000712,0.000566,17.747106,0.0,0.02903,0.0,0.037066,0.000567,94.25345,0.0,0.032079,0.0,0.03961,0.000724,0.0,0.0,0.0,0.0,0.0
5,04-Oct-94,24:00:00,881.319439,0.001117,1.36517,0.0,0.0,0.0,0.044702,0.001615,3.497907,0.0,0.0,0.0,0.073533,0.001616,31.390877,0.0,0.0,0.0,0.160032,0.001616,166.692601,0.0,0.0,0.0,0.132864,0.001615,20.053161,0.0,0.0,0.0,0.104004,0.001616,5.400271,0.0,0.0,0.0,0.078641,0.001115,1.664914,0.0,0.0,0.0,0.022329,0.001115,0.77272,0.0,0.0,0.0,0.027616,0.001433,0.356063,0.0,0.0,0.0,0.015472,0.001432,0.716872,0.0,0.0,0.0,0.002136,0.001616,60.241828,0.0,0.0,0.0,0.116119,0.001618,288.54699,0.0,0.0,0.0,0.128315,0.001431,0.0,0.0,0.0,0.0,0.0
6,05-Oct-94,24:00:00,421.162369,0.0018,0.135165,0.0,0.0,0.0,0.044702,0.001772,0.904618,0.0,0.0,0.0,0.073533,0.001773,9.361207,0.0,0.0,0.0,0.160032,0.001773,41.657827,0.0,0.0,0.0,0.132864,0.001772,3.621478,0.0,0.0,0.0,0.104004,0.001773,0.225676,0.0,0.0,0.0,0.078641,0.001798,0.064035,0.0,0.0,0.0,0.022329,0.001798,0.155917,0.0,0.0,0.0,0.027616,0.002311,0.023391,0.0,0.0,0.0,0.015472,0.00231,0.031684,0.0,0.0,0.0,0.002136,0.001773,14.625298,0.0,0.0,0.0,0.116119,0.001774,60.23982,0.0,0.0,0.0,0.128315,0.002309,0.0,0.0,0.0,0.0,0.0
7,06-Oct-94,24:00:00,272.567598,0.001917,0.001351,0.0,0.0,0.0,0.043809,0.002078,0.231252,0.0,0.0,0.0,0.071411,0.002078,2.681273,0.0,0.0,0.0,0.157919,0.00208,10.148412,0.0,0.0,0.0,0.130747,0.002078,0.63238,0.0,0.0,0.0,0.101882,0.002079,0.0,0.0,0.0,0.0,0.076816,0.001914,0.0,0.0,0.0,0.0,0.021447,0.001914,0.031359,0.0,0.0,0.0,0.026734,0.002459,0.0,0.0,0.0,0.0,0.012279,0.002458,0.0,0.0,0.0,0.0,0.000987,0.002079,3.503489,0.0,0.0,0.0,0.113989,0.00208,12.413894,0.0,0.0,0.0,0.126192,0.002457,0.0,0.0,0.0,0.0,0.0
8,07-Oct-94,24:00:00,232.676387,0.001778,0.0,0.0,0.0,0.0,0.039362,0.0018,0.049735,0.0,0.0,0.0,0.064798,0.001801,0.76798,0.0,0.0,0.0,0.151313,0.001802,2.019305,0.0,0.0,0.0,0.124133,0.0018,0.001227,0.0,0.0,0.0,0.095269,0.001802,0.0,0.0,0.0,0.0,0.071138,0.001774,0.0,0.0,0.0,0.0,0.017023,0.001774,0.001091,0.0,0.0,0.0,0.022307,0.00228,0.0,0.0,0.0,0.0,0.004579,0.002279,0.0,0.0,0.0,0.0,0.0,0.001802,0.636897,0.0,0.0,0.0,0.107365,0.001803,1.013591,0.0,0.0,0.0,0.119571,0.002278,0.0,0.0,0.0,0.0,0.0
