Col number,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
   Ordinate,Date,Time,Hopland Gage FLOW,Russian 60 ET-POTENTIAL,Russian 60 FLOW,Russian 60 FLOW-BASE,Russian 60 INFILTRATION,Russian 60 PERC-SOIL,Russian 60 SATURATION FRACTION,Russian 70 ET-POTENTIAL,Russian 70 FLOW,Russian 70 FLOW-BASE,Russian 70 INFILTRATION,Russian 70 PERC-SOIL,Russian 70 SATURATION FRACTION,WF Russian ET-POTENTIAL,WF Russian FLOW,WF Russian FLOW-BASE,WF Russian INFILTRATION,WF Russian PERC-SOIL,WF Russian SATURATION FRACTION
Units, ,,CFS,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN
Type, ,,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER
1,1-Oct-94,24:00:00,153,0.042553,0,0,0,0,0,0.04253,0,0,0,0,0,0.04249,0,0,0,0,0
2,2-Oct-94,24:00:00,153,0.07121,0,0,0,0,0,0.071192,0,0,0,0,0,0.071186,0,0,0,0,0
3,3-Oct-94,24:00:00,153,0.062642,0,0,0,0,0,0.062619,0,0,0,0,0,0.062601,0,0,0,0,0
4,4-Oct-94,24:00:00,147.170299,0.016779,0.271435,0,0.108304,0,0.005993,0.01677,0.583148,0,0.014952,0,0.000756,0.016759,0,0,0,0,0
5,5-Oct-94,24:00:00,133.834602,0.034353,0.337323,0,0,0,0.015472,0.03434,0.674703,0,0,0,0.002136,0.034317,0,0,0,0,0
6,6-Oct-94,24:00:00,122.214307,0.055455,0.021995,0,0,0,0.015472,0.055441,0.029484,0,0,0,0.002136,0.055418,0,0,0,0,0
7,7-Oct-94,24:00:00,119.258855,0.059022,0,0,0,0,0.01213,0.059002,0,0,0,0,0.000943,0.05897,0,0,0,0,0
8,8-Oct-94,24:00:00,119.013385,0.054722,0,0,0,0,0.004416,0.054702,0,0,0,0,0,0.054669,0,0,0,0,0
9,9-Oct-94,24:00:00,119.000596,0.052259,0,0,0,0,0.000182,0.052237,0,0,0,0,0,0.0522,0,0,0,0,0
10,10-Oct-94,24:00:00,127.092712,0.05329,0,0,0,0,0,0.053278,0,0,0,0,0,0.053259,0,0,0,0,0
11,11-Oct-94,24:00:00,145.958682,0.047133,0,0,0,0,0,0.047104,0,0,0,0,0,0.047055,0,0,0,0,0
12,12-Oct-94,24:00:00,147.91931,0.056322,0,0,0,0,0,0.056295,0,0,0,0,0,0.056249,0,0,0,0,0
