Col number,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
   Ordinate,Date,Time,Hopland Gage FLOW,Russian 60 ET-POTENTIAL,Russian 60 FLOW,Russian 60 FLOW-BASE,Russian 60 INFILTRATION,Russian 60 PERC-SOIL,Russian 60 SATURATION FRACTION,Russian 70 ET-POTENTIAL,Russian 70 FLOW,Russian 70 FLOW-BASE,Russian 70 INFILTRATION,Russian 70 PERC-SOIL,Russian 70 SATURATION FRACTION,WF Russian ET-POTENTIAL,WF Russian FLOW,WF Russian FLOW-BASE,WF Russian INFILTRATION,WF Russian PERC-SOIL,WF Russian SATURATION FRACTION
Units,, ,CFS,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN
Type,, ,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER
1,30-Sep-94,24:00:00,153.0,0.00185,0.0,0.0,0.0,0.0,0.0,0.001849,0.0,0.0,0.0,0.0,0.0,0.001847,0.0,0.0,0.0,0.0,0.0
2,01-Oct-94,24:00:00,153.0,0.002967,0.0,0.0,0.0,0.0,0.0,0.002966,0.0,0.0,0.0,0.0,0.0,0.002966,0.0,0.0,0.0,0.0,0.0
3,02-Oct-94,24:00:00,153.0,0.002582,0.0,0.0,0.0,0.0,0.0,0.002581,0.0,0.0,0.0,0.0,0.0,0.002581,0.0,0.0,0.0,0.0,0.0
4,03-Oct-94,24:00:00,147.369582,0.000725,0.251299,0.0,0.004513,0.0,0.00567,0.000725,0.538779,0.0,0.000623,0.0,0.000712,0.000724,0.0,0.0,0.0,0.0,0.0
5,04-Oct-94,24:00:00,134.198495,0.001433,0.356063,0.0,0.0,0.0,0.015472,0.001432,0.716872,0.0,0.0,0.0,0.002136,0.001431,0.0,0.0,0.0,0.0,0.0
6,05-Oct-94,24:00:00,122.343304,0.002311,0.023391,0.0,0.0,0.0,0.015472,0.00231,0.031684,0.0,0.0,0.0,0.002136,0.002309,0.0,0.0,0.0,0.0,0.0
7,06-Oct-94,24:00:00,119.274124,0.002459,0.0,0.0,0.0,0.0,0.012279,0.002458,0.0,0.0,0.0,0.0,0.000987,0.002457,0.0,0.0,0.0,0.0,0.0
8,07-Oct-94,24:00:00,119.014236,0.00228,0.0,0.0,0.0,0.0,0.004579,0.002279,0.0,0.0,0.0,0.0,0.0,0.002278,0.0,0.0,0.0,0.0,0.0
9,08-Oct-94,24:00:00,119.000635,0.002177,0.0,0.0,0.0,0.0,0.000193,0.002177,0.0,0.0,0.0,0.0,0.0,0.002175,0.0,0.0,0.0,0.0,0.0
