Col number,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
   Ordinate,Date,Time,Hopland Gage FLOW,Russian 60 ET-POTENTIAL,Russian 60 FLOW,Russian 60 FLOW-BASE,Russian 60 INFILTRATION,Russian 60 PERC-SOIL,Russian 60 SATURATION FRACTION,Russian 70 ET-POTENTIAL,Russian 70 FLOW,Russian 70 FLOW-BASE,Russian 70 INFILTRATION,Russian 70 PERC-SOIL,Russian 70 SATURATION FRACTION,WF Russian ET-POTENTIAL,WF Russian FLOW,WF Russian FLOW-BASE,WF Russian INFILTRATION,WF Russian PERC-SOIL,WF Russian SATURATION FRACTION
Units,, ,CFS,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN
Type,, ,INST-VAL,PER-CUM,INST-VAL,INST-VAL,PER-CUM,PER-CUM,INST-VAL,PER-CUM,INST-VAL,INST-VAL,PER-CUM,PER-CUM,INST-VAL,PER-CUM,INST-VAL,INST-VAL,PER-CUM,PER-CUM,INST-VAL
2,1-Oct-94, 01:00:00,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1-Oct-94, 02:00:00,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1-Oct-94, 03:00:00,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1-Oct-94, 04:00:00,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1-Oct-94, 05:00:00,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1-Oct-94, 06:00:00,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1-Oct-94, 07:00:00,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1-Oct-94, 08:00:00,153,0.000996,0,0,0,0,0,0.000994,0,0,0,0,0,0.000989,0,0,0,0,0
10,1-Oct-94, 09:00:00,153,0.002676,0,0,0,0,0,0.002675,0,0,0,0,0,0.002672,0,0,0,0,0
11,1-Oct-94, 10:00:00,153,0.004228,0,0,0,0,0,0.004227,0,0,0,0,0,0.004224,0,0,0,0,0
12,1-Oct-94, 11:00:00,153,0.005268,0,0,0,0,0,0.005266,0,0,0,0,0,0.005263,0,0,0,0,0
13,1-Oct-94, 12:00:00,153,0.005755,0,0,0,0,0,0.005754,0,0,0,0,0,0.00575,0,0,0,0,0
14,1-Oct-94, 13:00:00,153,0.006323,0,0,0,0,0,0.006321,0,0,0,0,0,0.006318,0,0,0,0,0
15,1-Oct-94, 14:00:00,153,0.005765,0,0,0,0,0,0.005762,0,0,0,0,0,0.005759,0,0,0,0,0
