Col number,,,1,2,3,4,5,6,7,8,9,10,11,12,13
   Ordinate,Date,Time,Warm Springs Dam Inflow FLOW,Dry Creek 20 ET-POTENTIAL,Dry Creek 20 FLOW,Dry Creek 20 FLOW-BASE,Dry Creek 20 INFILTRATION,Dry Creek 20 PERC-SOIL,Dry Creek 20 SATURATION FRACTION,Dry Creek 30 ET-POTENTIAL,Dry Creek 30 FLOW,Dry Creek 30 FLOW-BASE,Dry Creek 30 INFILTRATION,Dry Creek 30 PERC-SOIL,Dry Creek 30 SATURATION FRACTION
Units, ,,CFS,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN
Type, ,,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER
1,1-Oct-94,24:00:00,64.825999,0.027738,21.107,21.107,0,0,0,0.023653,43.719,43.719,0,0,0
2,2-Oct-94,24:00:00,64.825995,0.039174,21.106998,21.106998,0,0,0,0.039571,43.718997,43.718997,0,0,0
3,3-Oct-94,24:00:00,64.825981,0.033512,21.106994,21.106994,0,0,0,0.034814,43.718987,43.718987,0,0,0
4,4-Oct-94,24:00:00,88.589639,0.009339,31.844299,21.106983,0.324439,0,0.021377,0.009327,56.900251,43.718965,0.255133,0,0.017644
5,5-Oct-94,24:00:00,70.08631,0.027677,21.417664,21.106965,0,0,0.046348,0.019093,48.515522,43.718927,0,0,0.036448
6,6-Oct-94,24:00:00,64.845155,0.030382,21.106936,21.106936,0,0,0.046348,0.030817,43.736377,43.718867,0,0,0.036448
7,7-Oct-94,24:00:00,64.825678,0.035616,21.106895,21.106895,0,0,0.046348,0.032801,43.718782,43.718782,0,0,0.036448
8,8-Oct-94,24:00:00,64.825508,0.030862,21.106839,21.106839,0,0,0.044662,0.030413,43.718667,43.718667,0,0,0.035668
9,9-Oct-94,24:00:00,64.825287,0.022089,21.106767,21.106767,0,0,0.041257,0.029047,43.718518,43.718518,0,0,0.032585
10,10-Oct-94,24:00:00,64.825008,0.022765,21.106677,21.106677,0,0,0.03814,0.029613,43.71833,43.71833,0,0,0.028245
11,11-Oct-94,24:00:00,64.824667,0.025402,21.106565,21.106565,0,0,0.03469,0.026204,43.7181,43.7181,0,0,0.024339
12,12-Oct-94,24:00:00,64.824255,0.040102,21.106431,21.106431,0,0,0.030018,0.031308,43.717822,43.717822,0,0,0.020219
13,13-Oct-94,24:00:00,64.823768,0.036399,21.106272,21.106272,0,0,0.024628,0.032025,43.717493,43.717493,0,0,0.01579
14,14-Oct-94,24:00:00,64.823198,0.037897,21.106087,21.106087,0,0,0.019483,0.029121,43.717109,43.717109,0,0,0.011597
15,15-Oct-94,24:00:00,64.822541,0.041126,21.105873,21.105873,0,0,0.013474,0.032211,43.716665,43.716665,0,0,0.006797
16,16-Oct-94,24:00:00,64.821791,0.036211,21.105628,21.105628,0,0,0.008029,0.027882,43.716159,43.716159,0,0,0.002659
17,17-Oct-94,24:00:00,64.820941,0.023665,21.105351,21.105351,0,0,0.003771,0.019121,43.715585,43.715585,0,0,0.000256
18,18-Oct-94,24:00:00,64.819986,0.029589,21.10504,21.10504,0,0,0.000837,0.028469,43.714941,43.714941,0,0,0
19,19-Oct-94,24:00:00,64.818921,0.021842,21.104693,21.104693,0,0,0,0.02729,43.714222,43.714222,0,0,0
20,20-Oct-94,24:00:00,64.81774,0.023632,21.104309,21.104309,0,0,0,0.024278,43.713425,43.713425,0,0,0
21,21-Oct-94,24:00:00,64.816438,0.029647,21.103884,21.103884,0,0,0,0.025223,43.712547,43.712547,0,0,0
22,22-Oct-94,24:00:00,64.815009,0.02867,21.103419,21.103419,0,0,0,0.023645,43.711582,43.711582,0,0,0
23,23-Oct-94,24:00:00,64.813448,0.029747,21.10291,21.10291,0,0,0,0.0281,43.710529,43.710529,0,0,0
24,24-Oct-94,24:00:00,64.81175,0.025459,21.102357,21.102357,0,0,0,0.022815,43.709384,43.709384,0,0,0
25,25-Oct-94,24:00:00,64.80991,0.014134,21.101758,21.101758,0,0,0,0.014653,43.708143,43.708143,0,0,0
26,26-Oct-94,24:00:00,64.807924,0.014909,21.101111,21.101111,0,0,0,0.01526,43.706802,43.706802,0,0,0
27,27-Oct-94,24:00:00,64.805785,0.020778,21.100415,21.100415,0,0,0,0.015696,43.70536,43.70536,0,0,0
28,28-Oct-94,24:00:00,64.80349,0.023054,21.099667,21.099667,0,0,0,0.020871,43.703811,43.703811,0,0,0
29,29-Oct-94,24:00:00,64.801033,0.021505,21.098867,21.098867,0,0,0,0.021846,43.702154,43.702154,0,0,0
30,30-Oct-94,24:00:00,64.798411,0.02173,21.098013,21.098013,0,0,0,0.021382,43.700385,43.700385,0,0,0
31,31-Oct-94,24:00:00,64.795618,0.019479,21.097103,21.097103,0,0,0,0.016731,43.698501,43.698501,0,0,0
32,1-Nov-94,24:00:00,64.79265,0.013413,21.096136,21.096136,0,0,0,0.01206,43.696498,43.696498,0,0,0
33,2-Nov-94,24:00:00,64.789502,0.027861,21.095111,21.095111,0,0,0,0.021527,43.694375,43.694375,0,0,0
34,3-Nov-94,24:00:00,64.786171,0.02137,21.094026,21.094026,0,0,0,0.01814,43.692128,43.692128,0,0,0
35,4-Nov-94,24:00:00,68.553915,0.010791,23.88816,21.09288,0.450134,0,0.003776,0.008843,44.79171,43.689754,0.42025,0,0.00414
36,5-Nov-94,24:00:00,250.066318,0.004165,101.625258,21.091672,2.165247,0,0.269015,0.005839,148.792332,43.68725,1.436715,0,0.195048
37,6-Nov-94,24:00:00,110.829959,0.005617,30.295652,21.090399,0.102004,0,0.38738,0.006179,80.087668,43.684614,0.175541,0,0.288468
38,7-Nov-94,24:00:00,65.550339,0.016672,21.089061,21.089061,0,0,0.388198,0.015302,44.431148,43.681843,0,0,0.290358
39,8-Nov-94,24:00:00,64.766612,0.013597,21.087656,21.087656,0,0,0.388198,0.015356,43.678934,43.678934,0,0,0.290358
40,9-Nov-94,24:00:00,275.665389,0.00482,102.098371,21.086184,2.388596,0,0.616947,0.005114,174.103127,43.675884,2.076335,0,0.498278
41,10-Nov-94,24:00:00,81.633466,0.012063,21.410417,21.084643,0,0,0.729426,0.01206,59.69178,43.672692,0,0,0.586977
42,11-Nov-94,24:00:00,64.758042,0.015835,21.083031,21.083031,0,0,0.729426,0.007792,43.673785,43.669354,0,0,0.586977
43,12-Nov-94,24:00:00,64.747242,0.017328,21.081348,21.081348,0,0,0.729426,0.017313,43.665868,43.665868,0,0,0.586977
44,13-Nov-94,24:00:00,64.741851,0.017106,21.079593,21.079593,0,0,0.729426,0.014685,43.662231,43.662231,0,0,0.586977
45,14-Nov-94,24:00:00,64.736233,0.018068,21.077763,21.077763,0,0,0.729426,0.017206,43.658442,43.658442,0,0,0.586977
46,15-Nov-94,24:00:00,132.468037,0.010276,49.543068,21.075859,0.83601,0,0.808654,0.009473,83.106149,43.654497,0.636855,0,0.64672
47,16-Nov-94,24:00:00,70.374318,0.016723,21.07499,21.073878,0,0,0.848856,0.013157,49.118218,43.650395,0,0,0.677956
48,17-Nov-94,24:00:00,64.717986,0.020292,21.071821,21.071821,0,0,0.848856,0.016342,43.646133,43.646133,0,0,0.677956
49,18-Nov-94,24:00:00,64.711427,0.022316,21.069685,21.069685,0,0,0.848856,0.016123,43.641709,43.641709,0,0,0.677956
50,19-Nov-94,24:00:00,64.704625,0.015777,21.06747,21.06747,0,0,0.848856,0.011037,43.637121,43.637121,0,0,0.677956
51,20-Nov-94,24:00:00,64.697577,0.006537,21.065175,21.065175,0,0,0.848856,0.002297,43.632367,43.632367,0,0,0.677956
52,21-Nov-94,24:00:00,64.690279,0.013037,21.062798,21.062798,0,0,0.848769,0.009557,43.627444,43.627444,0,0,0.677956
53,22-Nov-94,24:00:00,64.682728,0.014184,21.060339,21.060339,0,0,0.847617,0.012117,43.622351,43.622351,0,0,0.677956
54,23-Nov-94,24:00:00,64.674922,0.01087,21.057797,21.057797,0,0,0.845817,0.008924,43.617086,43.617086,0,0,0.677956
55,24-Nov-94,24:00:00,76.999882,0.009431,29.610178,21.055171,0.828058,0,0.854882,0.006989,47.764796,43.611646,0.776465,0,0.688755
56,25-Nov-94,24:00:00,272.881477,0.010115,145.109785,107.004468,0.709302,0.443916,0.995065,0.006531,127.760458,43.606029,0.731123,0,0.846412
57,26-Nov-94,24:00:00,225.741004,0.01455,163.969986,158.279169,0,0,1,0.011605,61.417449,43.600235,0,0,0.893048
58,27-Nov-94,24:00:00,181.855235,0.002997,130.564539,124.079246,0.19058,0.19058,1,0.001489,51.332865,43.59426,0.129325,0,0.903503
59,28-Nov-94,24:00:00,97.673942,0.009522,52.440129,52.435665,0,0,1,0.008356,45.18155,43.588104,0,0,0.911523
60,29-Nov-94,24:00:00,87.384168,0.010606,43.802357,43.802357,0,0,1,0.008322,43.581764,43.581764,0,0,0.911523
61,30-Nov-94,24:00:00,84.799461,0.011935,41.224174,41.224174,0,0,1,0.011253,43.575239,43.575239,0,0,0.911523
62,1-Dec-94,24:00:00,82.506903,0.006283,38.938327,38.938327,0,0,1,0.004165,43.568527,43.568527,0,0,0.911523
63,2-Dec-94,24:00:00,80.472204,0.005966,36.910527,36.910527,0,0,1,0.005555,43.561626,43.561626,0,0,0.911523
64,3-Dec-94,24:00:00,3061.26,0.004977,1673.02,615.555696,1.425214,1.425214,1,0.00324,1399.90,372.790412,1.522467,0.903129,0.981775
65,4-Dec-94,24:00:00,1010.25,0.01127,189.102137,187.823921,0,0,1,0.00988,810.531758,624.207051,0,0,1
66,5-Dec-94,24:00:00,262.02335,0.005071,91.00034,91.00034,0,0,1,0.004718,169.874093,169.866592,0,0,1
67,6-Dec-94,24:00:00,197.799561,0.008466,83.05412,83.05412,0,0,1,0.005482,114.628696,114.628696,0,0,1
68,7-Dec-94,24:00:00,180.791012,0.014647,76.035529,76.035529,0,0,1,0.01019,104.699854,104.699854,0,0,1
69,8-Dec-94,24:00:00,167.567737,0.010007,69.810154,69.810154,0,0,1,0.007904,97.709998,97.709998,0,0,1
70,9-Dec-94,24:00:00,155.902363,0.010507,64.288287,64.288287,0,0,1,0.008201,91.571925,91.571925,0,0,1
71,10-Dec-94,24:00:00,145.556472,0.00481,59.39037,59.39037,0,0,1,0.003262,86.128714,86.128714,0,0,1
72,11-Dec-94,24:00:00,300.790638,0.007241,157.240179,145.6705,0.381098,0.381098,1,0.002906,146.14031,133.899283,0.355481,0.355481,1
73,12-Dec-94,24:00:00,696.619502,0.006689,221.505233,215.080072,0.147827,0.147827,1,0.003122,475.420658,449.738652,0.228743,0.228743,1
74,13-Dec-94,24:00:00,363.919625,0.006445,77.295733,77.279308,0,0,1,0.002635,284.317408,281.033189,0,0,1
