Col number,,,1,2,3,4,5,6,7,8,9,10,11,12,13
   Ordinate,Date,Time,Warm Springs Dam Inflow FLOW,Dry Creek 20 ET-POTENTIAL,Dry Creek 20 FLOW,Dry Creek 20 FLOW-BASE,Dry Creek 20 INFILTRATION,Dry Creek 20 PERC-SOIL,Dry Creek 20 SATURATION FRACTION,Dry Creek 30 ET-POTENTIAL,Dry Creek 30 FLOW,Dry Creek 30 FLOW-BASE,Dry Creek 30 INFILTRATION,Dry Creek 30 PERC-SOIL,Dry Creek 30 SATURATION FRACTION
Units, ,,CFS,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN
Type, ,,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER
1,30-Sep-94,24:00:00,64.826,0.001206,21.107,21.107,0.0,0.0,0.0,0.001028,43.719,43.719,0.0,0.0,0.0
2,01-Oct-94,24:00:00,64.825995,0.001632,21.106998,21.106998,0.0,0.0,0.0,0.001649,43.718997,43.718997,0.0,0.0,0.0
3,02-Oct-94,24:00:00,64.825981,0.001381,21.106994,21.106994,0.0,0.0,0.0,0.001435,43.718987,43.718987,0.0,0.0,0.0
4,03-Oct-94,24:00:00,88.095411,0.000404,31.770559,21.106983,0.013518,0.0,0.020411,0.000403,56.49165,43.718965,0.010631,0.0,0.016885
5,04-Oct-94,24:00:00,70.575803,0.001154,21.491405,21.106965,0.0,0.0,0.046348,0.000796,48.919663,43.718928,0.0,0.0,0.036448
6,05-Oct-94,24:00:00,64.849894,0.001266,21.106937,21.106937,0.0,0.0,0.046348,0.001284,43.74084,43.718869,0.0,0.0,0.036448
7,06-Oct-94,24:00:00,64.825681,0.001484,21.106896,21.106896,0.0,0.0,0.046348,0.001367,43.718784,43.718784,0.0,0.0,0.036448
8,07-Oct-94,24:00:00,64.825512,0.001286,21.106841,21.106841,0.0,0.0,0.044736,0.001267,43.71867,43.71867,0.0,0.0,0.035708
9,08-Oct-94,24:00:00,64.825292,0.00092,21.106769,21.106769,0.0,0.0,0.041322,0.00121,43.718522,43.718522,0.0,0.0,0.032672
10,09-Oct-94,24:00:00,64.825015,0.000949,21.106679,21.106679,0.0,0.0,0.038207,0.001234,43.718335,43.718335,0.0,0.0,0.028333
11,10-Oct-94,24:00:00,64.824674,0.001058,21.106568,21.106568,0.0,0.0,0.034766,0.001092,43.718105,43.718105,0.0,0.0,0.024417
12,11-Oct-94,24:00:00,64.824264,0.001671,21.106434,21.106434,0.0,0.0,0.030138,0.001304,43.717828,43.717828,0.0,0.0,0.020312
13,12-Oct-94,24:00:00,64.823779,0.001517,21.106276,21.106276,0.0,0.0,0.024736,0.001334,43.7175,43.7175,0.0,0.0,0.015885
14,13-Oct-94,24:00:00,64.823211,0.001553,21.106091,21.106091,0.0,0.0,0.019596,0.001187,43.717117,43.717117,0.0,0.0,0.011683
15,14-Oct-94,24:00:00,64.822556,0.001739,21.105878,21.105878,0.0,0.0,0.013597,0.001367,43.716675,43.716675,0.0,0.0,0.006893
16,15-Oct-94,24:00:00,64.821807,0.00151,21.105634,21.105634,0.0,0.0,0.008137,0.001163,43.71617,43.71617,0.0,0.0,0.002742
17,16-Oct-94,24:00:00,64.82096,0.000986,21.105358,21.105358,0.0,0.0,0.003841,0.000797,43.715598,43.715598,0.0,0.0,0.000269
18,17-Oct-94,24:00:00,64.820008,0.001233,21.105047,21.105047,0.0,0.0,0.000879,0.001186,43.714955,43.714955,0.0,0.0,0.0
19,18-Oct-94,24:00:00,64.818945,0.00091,21.104701,21.104701,0.0,0.0,0.0,0.001137,43.714238,43.714238,0.0,0.0,0.0
20,19-Oct-94,24:00:00,64.817766,0.000985,21.104317,21.104317,0.0,0.0,0.0,0.001012,43.713443,43.713443,0.0,0.0,0.0
21,20-Oct-94,24:00:00,64.816466,0.001235,21.103894,21.103894,0.0,0.0,0.0,0.001051,43.712566,43.712566,0.0,0.0,0.0
22,21-Oct-94,24:00:00,64.81504,0.001195,21.103429,21.103429,0.0,0.0,0.0,0.000985,43.711603,43.711603,0.0,0.0,0.0
23,22-Oct-94,24:00:00,64.813482,0.00124,21.102921,21.102921,0.0,0.0,0.0,0.001171,43.710552,43.710552,0.0,0.0,0.0
24,23-Oct-94,24:00:00,64.811787,0.001061,21.102369,21.102369,0.0,0.0,0.0,0.000951,43.709409,43.709409,0.0,0.0,0.0
25,24-Oct-94,24:00:00,64.80995,0.000589,21.101771,21.101771,0.0,0.0,0.0,0.000611,43.708169,43.708169,0.0,0.0,0.0
26,25-Oct-94,24:00:00,64.807967,0.000621,21.101125,21.101125,0.0,0.0,0.0,0.000636,43.706831,43.706831,0.0,0.0,0.0
27,26-Oct-94,24:00:00,64.805831,0.000866,21.10043,21.10043,0.0,0.0,0.0,0.000654,43.705391,43.705391,0.0,0.0,0.0
28,27-Oct-94,24:00:00,64.803539,0.000961,21.099683,21.099683,0.0,0.0,0.0,0.00087,43.703845,43.703845,0.0,0.0,0.0
29,28-Oct-94,24:00:00,64.801086,0.000896,21.098884,21.098884,0.0,0.0,0.0,0.00091,43.70219,43.70219,0.0,0.0,0.0
30,29-Oct-94,24:00:00,64.798467,0.000905,21.098031,21.098031,0.0,0.0,0.0,0.000891,43.700423,43.700423,0.0,0.0,0.0
31,30-Oct-94,24:00:00,64.795678,0.000812,21.097123,21.097123,0.0,0.0,0.0,0.000697,43.698541,43.698541,0.0,0.0,0.0
32,31-Oct-94,24:00:00,64.792713,0.000544,21.096157,21.096157,0.0,0.0,0.0,0.000484,43.696541,43.696541,0.0,0.0,0.0
33,01-Nov-94,24:00:00,64.78957,0.001176,21.095133,21.095133,0.0,0.0,0.0,0.000915,43.694421,43.694421,0.0,0.0,0.0
34,02-Nov-94,24:00:00,64.786242,0.00089,21.09405,21.09405,0.0,0.0,0.0,0.000755,43.692176,43.692176,0.0,0.0,0.0
35,03-Nov-94,24:00:00,66.948887,0.000443,22.73299,21.092905,0.010688,0.0,0.002436,0.000362,44.293501,43.689805,0.012313,0.0,0.002889
36,04-Nov-94,24:00:00,249.459444,0.00018,101.930825,21.091697,0.09654,0.0,0.262571,0.00025,147.928758,43.687304,0.063262,0.0,0.190772
37,05-Nov-94,24:00:00,112.961173,0.000232,31.145332,21.090426,0.005997,0.0,0.387076,0.000255,81.371352,43.68467,0.009113,0.0,0.287946
38,06-Nov-94,24:00:00,65.631353,0.000697,21.08909,21.08909,0.0,0.0,0.388198,0.00064,44.509468,43.681902,0.0,0.0,0.290358
39,07-Nov-94,24:00:00,64.766704,0.00056,21.087686,21.087686,0.0,0.0,0.388198,0.000633,43.678996,43.678996,0.0,0.0,0.290358
40,08-Nov-94,24:00:00,274.139579,0.000207,102.012605,21.086215,0.099525,0.0,0.609838,0.00022,172.707466,43.675949,0.086514,0.0,0.492099
41,09-Nov-94,24:00:00,83.156726,0.000503,21.496248,21.084676,0.0,0.0,0.729426,0.000503,61.08519,43.67276,0.0,0.0,0.586977
42,10-Nov-94,24:00:00,64.760895,0.00066,21.083066,21.083066,0.0,0.0,0.729426,0.000325,43.67624,43.669425,0.0,0.0,0.586977
43,11-Nov-94,24:00:00,64.747352,0.000722,21.081384,21.081384,0.0,0.0,0.729426,0.000721,43.665942,43.665942,0.0,0.0,0.586977
44,12-Nov-94,24:00:00,64.741966,0.000713,21.07963,21.07963,0.0,0.0,0.729426,0.000612,43.662309,43.662309,0.0,0.0,0.586977
45,13-Nov-94,24:00:00,64.736353,0.000736,21.077802,21.077802,0.0,0.0,0.729426,0.000701,43.658522,43.658522,0.0,0.0,0.586977
46,14-Nov-94,24:00:00,131.977794,0.000444,49.541997,21.075899,0.034834,0.0,0.806166,0.000411,82.632045,43.654581,0.026536,0.0,0.644824
47,15-Nov-94,24:00:00,70.864815,0.000692,21.076143,21.07392,0.0,0.0,0.848856,0.000544,49.592493,43.650482,0.0,0.0,0.677956
48,16-Nov-94,24:00:00,64.71812,0.000837,21.071865,21.071865,0.0,0.0,0.848856,0.000673,43.646224,43.646224,0.0,0.0,0.677956
49,17-Nov-94,24:00:00,64.711566,0.000942,21.06973,21.06973,0.0,0.0,0.848856,0.000684,43.641803,43.641803,0.0,0.0,0.677956
50,18-Nov-94,24:00:00,64.70477,0.000657,21.067517,21.067517,0.0,0.0,0.848856,0.00046,43.637219,43.637219,0.0,0.0,0.677956
51,19-Nov-94,24:00:00,64.697726,0.000272,21.065223,21.065223,0.0,0.0,0.848856,9.6e-05,43.632468,43.632468,0.0,0.0,0.677956
52,20-Nov-94,24:00:00,64.690434,0.000543,21.062848,21.062848,0.0,0.0,0.848774,0.000398,43.627549,43.627549,0.0,0.0,0.677956
53,21-Nov-94,24:00:00,64.682888,0.000591,21.060391,21.060391,0.0,0.0,0.847659,0.000505,43.622459,43.622459,0.0,0.0,0.677956
54,22-Nov-94,24:00:00,64.675087,0.000453,21.057851,21.057851,0.0,0.0,0.84585,0.000372,43.617197,43.617197,0.0,0.0,0.677956
55,23-Nov-94,24:00:00,72.915519,0.000393,26.780926,21.055226,0.032303,0.0,0.852443,0.000291,46.411717,43.611761,0.028964,0.0,0.686449
56,24-Nov-94,24:00:00,269.105771,0.00042,141.120053,100.932382,0.029602,0.016344,0.994275,0.00027,128.071399,43.606148,0.032694,0.0,0.844236
57,25-Nov-94,24:00:00,233.129885,0.000608,170.344298,163.906527,0.002152,0.002152,1.0,0.000486,62.433901,43.600357,0.001158,0.0,0.893048
58,26-Nov-94,24:00:00,180.757604,0.000125,129.580808,123.09998,0.007941,0.007941,1.0,6.2e-05,51.222483,43.594387,0.005389,0.0,0.903118
59,27-Nov-94,24:00:00,98.740227,0.000397,53.365384,53.356456,0.0,0.0,1.0,0.000348,45.318231,43.588234,0.0,0.0,0.911523
60,28-Nov-94,24:00:00,87.44152,0.000442,43.859575,43.859575,0.0,0.0,1.0,0.000347,43.581898,43.581898,0.0,0.0,0.911523
61,29-Nov-94,24:00:00,84.850131,0.000497,41.274706,41.274706,0.0,0.0,1.0,0.000469,43.575377,43.575377,0.0,0.0,0.911523
62,30-Nov-94,24:00:00,82.551871,0.000262,38.983153,38.983153,0.0,0.0,1.0,0.000174,43.568668,43.568668,0.0,0.0,0.911523
63,01-Dec-94,24:00:00,80.512116,0.000249,36.950294,36.950294,0.0,0.0,1.0,0.000232,43.561771,43.561771,0.0,0.0,0.911523
64,02-Dec-94,24:00:00,3012.078803,0.000207,1659.901785,603.030717,0.059384,0.059384,1.0,0.000135,1364.205731,353.123066,0.063436,0.03763,0.979932
65,03-Dec-94,24:00:00,1053.367762,0.00047,200.978429,199.107607,0.0,0.0,1.0,0.000412,841.464138,639.113446,0.0,0.0,1.0
