Col number,,,1,2,3,4,5,6,7,8,9,10,11,12,13
   Ordinate,Date,Time,Warm Springs Dam Inflow FLOW,Dry Creek 20 ET-POTENTIAL,Dry Creek 20 FLOW,Dry Creek 20 FLOW-BASE,Dry Creek 20 INFILTRATION,Dry Creek 20 PERC-SOIL,Dry Creek 20 SATURATION FRACTION,Dry Creek 30 ET-POTENTIAL,Dry Creek 30 FLOW,Dry Creek 30 FLOW-BASE,Dry Creek 30 INFILTRATION,Dry Creek 30 PERC-SOIL,Dry Creek 30 SATURATION FRACTION
Units, ,,CFS,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN
Type, ,,INST-VAL,PER-CUM,INST-VAL,INST-VAL,PER-CUM,PER-CUM,INST-VAL,PER-CUM,INST-VAL,INST-VAL,PER-CUM,PER-CUM,INST-VAL
2,1-Oct-94, 01:00:00,64.826,0,21.107,21.107,0,0,0,0,43.719,43.719,0,0,0
3,1-Oct-94, 02:00:00,64.826,0,21.107,21.107,0,0,0,0,43.719,43.719,0,0,0
4,1-Oct-94, 03:00:00,64.826,0,21.107,21.107,0,0,0,0,43.719,43.719,0,0,0
5,1-Oct-94, 04:00:00,64.826,0,21.107,21.107,0,0,0,0,43.719,43.719,0,0,0
6,1-Oct-94, 05:00:00,64.826,0,21.107,21.107,0,0,0,0,43.719,43.719,0,0,0
7,1-Oct-94, 06:00:00,64.826,0,21.107,21.107,0,0,0,0,43.719,43.719,0,0,0
8,1-Oct-94, 07:00:00,64.826,0,21.107,21.107,0,0,0,0,43.719,43.719,0,0,0
9,1-Oct-94, 08:00:00,64.826,0.000156,21.107,21.107,0,0,0,0.000555,43.719,43.719,0,0,0
10,1-Oct-94, 09:00:00,64.826,0.001656,21.107,21.107,0,0,0,0.001488,43.719,43.719,0,0,0
11,1-Oct-94, 10:00:00,64.826,0.002098,21.107,21.107,0,0,0,0.002349,43.719,43.719,0,0,0
12,1-Oct-94, 11:00:00,64.826,0.002784,21.107,21.107,0,0,0,0.002927,43.719,43.719,0,0,0
13,1-Oct-94, 12:00:00,64.826,0.003091,21.107,21.107,0,0,0,0.003198,43.719,43.719,0,0,0
14,1-Oct-94, 13:00:00,64.825999,0.00341,21.107,21.107,0,0,0,0.003514,43.719,43.719,0,0,0
15,1-Oct-94, 14:00:00,64.825999,0.003856,21.107,21.107,0,0,0,0.003204,43.719,43.719,0,0,0
16,1-Oct-94, 15:00:00,64.825999,0.003836,21.107,21.107,0,0,0,0.001887,43.719,43.719,0,0,0
17,1-Oct-94, 16:00:00,64.825999,0.003131,21.107,21.107,0,0,0,0.002195,43.719,43.719,0,0,0
18,1-Oct-94, 17:00:00,64.825999,0.001921,21.107,21.107,0,0,0,0.001301,43.718999,43.718999,0,0,0
19,1-Oct-94, 18:00:00,64.825999,0.001141,21.107,21.107,0,0,0,0.000275,43.718999,43.718999,0,0,0
20,1-Oct-94, 19:00:00,64.825999,0.000388,21.107,21.107,0,0,0,0.00014,43.718999,43.718999,0,0,0
21,1-Oct-94, 20:00:00,64.825999,0.000119,21.107,21.107,0,0,0,0.000438,43.718999,43.718999,0,0,0
22,1-Oct-94, 21:00:00,64.825999,0.000152,21.107,21.107,0,0,0,0.000183,43.718999,43.718999,0,0,0
23,1-Oct-94, 22:00:00,64.825999,0,21.107,21.107,0,0,0,0,43.718999,43.718999,0,0,0
24,1-Oct-94, 23:00:00,64.825999,0,21.107,21.107,0,0,0,0,43.718999,43.718999,0,0,0
25,1-Oct-94, 24:00:00,64.825998,0,21.106999,21.106999,0,0,0,0,43.718999,43.718999,0,0,0
26,2-Oct-94, 01:00:00,64.825998,0,21.106999,21.106999,0,0,0,0,43.718999,43.718999,0,0,0
27,2-Oct-94, 02:00:00,64.825998,0,21.106999,21.106999,0,0,0,0,43.718999,43.718999,0,0,0
28,2-Oct-94, 03:00:00,64.825998,0,21.106999,21.106999,0,0,0,0,43.718999,43.718999,0,0,0
29,2-Oct-94, 04:00:00,64.825998,0,21.106999,21.106999,0,0,0,0,43.718998,43.718998,0,0,0
30,2-Oct-94, 05:00:00,64.825998,0,21.106999,21.106999,0,0,0,0,43.718998,43.718998,0,0,0
31,2-Oct-94, 06:00:00,64.825997,0,21.106999,21.106999,0,0,0,0,43.718998,43.718998,0,0,0
32,2-Oct-94, 07:00:00,64.825997,0.000391,21.106999,21.106999,0,0,0,0.000406,43.718998,43.718998,0,0,0
33,2-Oct-94, 08:00:00,64.825997,0.001581,21.106999,21.106999,0,0,0,0.001548,43.718998,43.718998,0,0,0
34,2-Oct-94, 09:00:00,64.825997,0.002783,21.106999,21.106999,0,0,0,0.002742,43.718998,43.718998,0,0,0
35,2-Oct-94, 10:00:00,64.825996,0.00377,21.106999,21.106999,0,0,0,0.003927,43.718997,43.718997,0,0,0
36,2-Oct-94, 11:00:00,64.825996,0.004711,21.106999,21.106999,0,0,0,0.004821,43.718997,43.718997,0,0,0
37,2-Oct-94, 12:00:00,64.825996,0.005121,21.106999,21.106999,0,0,0,0.005279,43.718997,43.718997,0,0,0
38,2-Oct-94, 13:00:00,64.825995,0.00507,21.106998,21.106998,0,0,0,0.00525,43.718997,43.718997,0,0,0
39,2-Oct-94, 14:00:00,64.825995,0.005027,21.106998,21.106998,0,0,0,0.005638,43.718997,43.718997,0,0,0
40,2-Oct-94, 15:00:00,64.825995,0.004709,21.106998,21.106998,0,0,0,0.005692,43.718996,43.718996,0,0,0
41,2-Oct-94, 16:00:00,64.825994,0.003442,21.106998,21.106998,0,0,0,0.00198,43.718996,43.718996,0,0,0
42,2-Oct-94, 17:00:00,64.825994,0.001755,21.106998,21.106998,0,0,0,0.000921,43.718996,43.718996,0,0,0
43,2-Oct-94, 18:00:00,64.825993,0.000608,21.106998,21.106998,0,0,0,0.000745,43.718995,43.718995,0,0,0
44,2-Oct-94, 19:00:00,64.825993,0.000109,21.106998,21.106998,0,0,0,0.000621,43.718995,43.718995,0,0,0
45,2-Oct-94, 20:00:00,64.825992,0.000099,21.106998,21.106998,0,0,0,0,43.718995,43.718995,0,0,0
46,2-Oct-94, 21:00:00,64.825992,0,21.106997,21.106997,0,0,0,0,43.718994,43.718994,0,0,0
47,2-Oct-94, 22:00:00,64.825991,0,21.106997,21.106997,0,0,0,0,43.718994,43.718994,0,0,0
48,2-Oct-94, 23:00:00,64.825991,0,21.106997,21.106997,0,0,0,0,43.718994,43.718994,0,0,0
49,2-Oct-94, 24:00:00,64.82599,0,21.106997,21.106997,0,0,0,0,43.718993,43.718993,0,0,0
50,3-Oct-94, 01:00:00,64.82599,0,21.106997,21.106997,0,0,0,0,43.718993,43.718993,0,0,0
51,3-Oct-94, 02:00:00,64.825989,0,21.106996,21.106996,0,0,0,0,43.718993,43.718993,0,0,0
52,3-Oct-94, 03:00:00,64.825988,0,21.106996,21.106996,0,0,0,0,43.718992,43.718992,0,0,0
53,3-Oct-94, 04:00:00,64.825988,0,21.106996,21.106996,0,0,0,0,43.718992,43.718992,0,0,0
54,3-Oct-94, 05:00:00,64.825987,0,21.106996,21.106996,0,0,0,0,43.718991,43.718991,0,0,0
55,3-Oct-94, 06:00:00,64.825986,0,21.106995,21.106995,0,0,0,0,43.718991,43.718991,0,0,0
56,3-Oct-94, 07:00:00,64.825985,0,21.106995,21.106995,0,0,0,0,43.71899,43.71899,0,0,0
57,3-Oct-94, 08:00:00,64.825985,0.000832,21.106995,21.106995,0,0,0,0.000113,43.71899,43.71899,0,0,0
58,3-Oct-94, 09:00:00,64.825984,0.001856,21.106995,21.106995,0,0,0,0.001931,43.718989,43.718989,0,0,0
59,3-Oct-94, 10:00:00,64.825983,0.00369,21.106994,21.106994,0,0,0,0.002984,43.718988,43.718988,0,0,0
60,3-Oct-94, 11:00:00,64.825982,0.004491,21.106994,21.106994,0,0,0,0.004204,43.718988,43.718988,0,0,0
61,3-Oct-94, 12:00:00,64.825981,0.004894,21.106994,21.106994,0,0,0,0.004857,43.718987,43.718987,0,0,0
62,3-Oct-94, 13:00:00,64.82598,0.004813,21.106994,21.106994,0,0,0,0.005172,43.718987,43.718987,0,0,0
63,3-Oct-94, 14:00:00,64.825979,0.004253,21.106993,21.106993,0,0,0,0.005065,43.718986,43.718986,0,0,0
64,3-Oct-94, 15:00:00,64.825978,0.003414,21.106993,21.106993,0,0,0,0.004352,43.718985,43.718985,0,0,0
65,3-Oct-94, 16:00:00,64.825977,0.002278,21.106993,21.106993,0,0,0,0.003019,43.718985,43.718985,0,0,0
66,3-Oct-94, 17:00:00,64.825976,0.001027,21.106992,21.106992,0,0,0,0.001195,43.718984,43.718984,0,0,0
67,3-Oct-94, 18:00:00,64.825975,0.000423,21.106992,21.106992,0,0,0,0.0003,43.718983,43.718983,0,0,0
68,3-Oct-94, 19:00:00,64.825974,0.000024,21.106992,21.106992,0,0,0,0,43.718982,43.718982,0,0,0
69,3-Oct-94, 20:00:00,64.825973,0,21.106991,21.106991,0,0,0,0.000103,43.718982,43.718982,0,0,0
70,3-Oct-94, 21:00:00,64.825972,0.000314,21.106991,21.106991,0,0,0,0.000315,43.718981,43.718981,0,0,0
71,3-Oct-94, 22:00:00,64.82597,0.000434,21.10699,21.10699,0,0,0,0.000434,43.71898,43.71898,0,0,0
72,3-Oct-94, 23:00:00,64.825969,0.0004,21.10699,21.10699,0,0,0,0.0004,43.718979,43.718979,0,0,0
73,3-Oct-94, 24:00:00,64.825968,0.00037,21.106989,21.106989,0,0,0,0.000371,43.718978,43.718978,0,0,0
74,4-Oct-94, 01:00:00,64.825967,0.000398,21.106989,21.106989,0,0,0,0.000398,43.718977,43.718977,0,0,0
75,4-Oct-94, 02:00:00,64.825965,0.000351,21.106989,21.106989,0,0,0,0.000351,43.718976,43.718976,0,0,0
76,4-Oct-94, 03:00:00,64.825964,0.000121,21.106988,21.106988,0,0,0,0.000122,43.718975,43.718975,0,0,0
77,4-Oct-94, 04:00:00,64.825962,0,21.106988,21.106988,0,0,0,0,43.718974,43.718974,0,0,0
78,4-Oct-94, 05:00:00,64.825961,0,21.106987,21.106987,0,0,0,0,43.718973,43.718973,0,0,0
79,4-Oct-94, 06:00:00,64.825959,0,21.106987,21.106987,0,0,0,0,43.718972,43.718972,0,0,0
80,4-Oct-94, 07:00:00,64.825958,0,21.106986,21.106986,0,0,0,0,43.718971,43.718971,0,0,0
81,4-Oct-94, 08:00:00,64.825956,0.000776,21.106986,21.106986,0,0,0,0.000408,43.71897,43.71897,0,0,0
82,4-Oct-94, 09:00:00,64.825954,0.000859,21.106985,21.106985,0,0,0,0.001438,43.718969,43.718969,0,0,0
83,4-Oct-94, 10:00:00,68.535233,0.000821,24.277956,21.106985,0.058883,0,0.008412,0.001351,44.371733,43.718968,0.05184,0,0.007406
