Col number,,,1,2,3,4,5,6,7,8,9,10,11,12,13
   Ordinate,Date,Time,hourly_Warm Springs Dam Inflow FLOW,hourly_Dry Creek 20 ET-POTENTIAL,hourly_Dry Creek 20 FLOW,hourly_Dry Creek 20 FLOW-BASE,hourly_Dry Creek 20 INFILTRATION,hourly_Dry Creek 20 PERC-SOIL,hourly_Dry Creek 20 SATURATION FRACTION,hourly_Dry Creek 30 ET-POTENTIAL,hourly_Dry Creek 30 FLOW,hourly_Dry Creek 30 FLOW-BASE,hourly_Dry Creek 30 INFILTRATION,hourly_Dry Creek 30 PERC-SOIL,hourly_Dry Creek 30 SATURATION FRACTION
Units, ,,CFS,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN
Type, ,,INST-VAL,PER-CUM,INST-VAL,INST-VAL,PER-CUM,PER-CUM,INST-VAL,PER-CUM,INST-VAL,INST-VAL,PER-CUM,PER-CUM,INST-VAL
2,1-Oct-94, 01:00:00,64.826,0,21.107,21.107,0,0,0,0,43.719,43.719,0,0,0
3,1-Oct-94, 02:00:00,64.826,0,21.107,21.107,0,0,0,0,43.719,43.719,0,0,0
4,1-Oct-94, 03:00:00,64.826,0,21.107,21.107,0,0,0,0,43.719,43.719,0,0,0
5,1-Oct-94, 04:00:00,64.826,0,21.107,21.107,0,0,0,0,43.719,43.719,0,0,0
6,1-Oct-94, 05:00:00,64.826,0,21.107,21.107,0,0,0,0,43.719,43.719,0,0,0
7,1-Oct-94, 06:00:00,64.826,0,21.107,21.107,0,0,0,0,43.719,43.719,0,0,0
8,1-Oct-94, 07:00:00,64.826,0,21.107,21.107,0,0,0,0,43.719,43.719,0,0,0
9,1-Oct-94, 08:00:00,64.826,0.000187,21.107,21.107,0,0,0,0.000666,43.719,43.719,0,0,0
10,1-Oct-94, 09:00:00,64.826,0.001987,21.107,21.107,0,0,0,0.001785,43.719,43.719,0,0,0
11,1-Oct-94, 10:00:00,64.826,0.002518,21.107,21.107,0,0,0,0.002819,43.719,43.719,0,0,0
12,1-Oct-94, 11:00:00,64.826,0.00334,21.107,21.107,0,0,0,0.003513,43.719,43.719,0,0,0
13,1-Oct-94, 12:00:00,64.826,0.003709,21.107,21.107,0,0,0,0.003838,43.719,43.719,0,0,0
14,1-Oct-94, 13:00:00,64.825999,0.004092,21.107,21.107,0,0,0,0.004217,43.719,43.719,0,0,0
