ordinate,date,time,capella gage flow,ef russian 20 et-potential,ef russian 20 flow,ef russian 20 flow-base,ef russian 20 infiltration,ef russian 20 perc-soil,ef russian 20 saturation fraction
1,1994-10-01,00:00:00,491.667569,0.002876,394.667569,394.667569,0.0,0.0,0.696845
2,1994-10-02,00:00:00,422.768057,0.004615,325.768057,325.768057,0.0,0.0,0.688148
3,1994-10-03,00:00:00,401.493843,0.004016,301.618843,301.618843,0.0,0.0,0.678005
4,1994-10-04,00:00:00,351.659352,0.001128,271.784352,271.784352,0.0,0.0,0.671207
5,1994-10-05,00:00:00,325.649593,0.002228,238.024593,238.024593,0.0,0.0,0.670204
6,1994-10-06,00:00:00,293.187835,0.003594,205.187835,205.187835,0.0,0.0,0.667453
7,1994-10-07,00:00:00,263.532371,0.003825,175.532371,175.532371,0.0,0.0,0.659567
8,1994-10-08,00:00:00,237.636592,0.003546,149.636592,149.636592,0.0,0.0,0.650648
9,1994-10-09,00:00:00,213.444469,0.003386,127.361136,127.361136,0.0,0.0,0.64253
10,1994-10-10,00:00:00,194.326769,0.003454,108.326769,108.326769,0.0,0.0,0.634031
11,1994-10-11,00:00:00,180.025954,0.003053,92.109287,92.109287,0.0,0.0,0.626362
12,1994-10-12,00:00:00,164.392741,0.003649,78.309408,78.309408,0.0,0.0,0.618326
13,1994-10-13,00:00:00,154.489903,0.003733,66.573237,66.573237,0.0,0.0,0.609656
14,1994-10-14,00:00:00,142.677889,0.003319,56.594556,56.594556,0.0,0.0,0.601431
15,1994-10-15,00:00:00,142.736067,0.003824,48.111067,48.111067,0.0,0.0,0.592052
16,1994-10-16,00:00:00,138.774058,0.003255,40.899058,40.899058,0.0,0.0,0.583923
17,1994-10-17,00:00:00,131.80975,0.002227,34.768084,34.768084,0.0,0.0,0.577311
18,1994-10-18,00:00:00,126.556147,0.003321,29.556147,29.556147,0.0,0.0,0.570744
19,1994-10-19,00:00:00,120.208834,0.003184,25.125501,25.125501,0.0,0.0,0.562918
20,1994-10-20,00:00:00,118.275698,0.002832,21.359032,21.359032,0.0,0.0,0.555617
21,1994-10-21,00:00:00,115.157178,0.002943,18.157178,18.157178,0.0,0.0,0.548644
