ordinate,date,time,capella gage flow,ef russian 20 et-potential,ef russian 20 flow,ef russian 20 flow-base,ef russian 20 infiltration,ef russian 20 perc-soil,ef russian 20 saturation fraction
2,1994-10-01 01:00:00,01:00:00,586.723761,0,489.723761,489.723761,0,0,0.7
3,1994-10-01 02:00:00,02:00:00,572.217931,0,475.217931,475.217931,0,0,0.7
4,1994-10-01 03:00:00,03:00:00,558.904771,0,461.904771,461.904771,0,0,0.7
5,1994-10-01 04:00:00,04:00:00,546.701684,0,449.701684,449.701684,0,0,0.7
6,1994-10-01 05:00:00,05:00:00,535.521337,0,438.521337,438.521337,0,0,0.7
7,1994-10-01 06:00:00,06:00:00,525.282679,0,428.282679,428.282679,0,0,0.7
8,1994-10-01 07:00:00,07:00:00,515.910504,0,418.910504,418.910504,0,0,0.7
9,1994-10-01 08:00:00,08:00:00,507.335048,0.001547,410.335048,410.335048,0,0,0.699845
10,1994-10-01 09:00:00,09:00:00,499.491614,0.004158,402.491614,402.491614,0,0,0.699429
11,1994-10-01 10:00:00,10:00:00,492.32022,0.00657,395.32022,395.32022,0,0,0.698772
12,1994-10-01 11:00:00,11:00:00,485.765274,0.008188,388.765274,388.765274,0,0,0.697954
13,1994-10-01 12:00:00,12:00:00,479.775267,0.008948,382.775267,382.775267,0,0,0.697059
14,1994-10-01 13:00:00,13:00:00,474.302495,0.009832,377.302495,377.302495,0,0,0.696076
15,1994-10-01 14:00:00,14:00:00,469.302789,0.008964,372.302789,372.302789,0,0,0.695179
16,1994-10-01 15:00:00,15:00:00,464.735271,0.005276,367.735271,367.735271,0,0,0.694652
17,1994-10-01 16:00:00,16:00:00,460.562127,0.00614,363.562127,363.562127,0,0,0.694038
18,1994-10-01 17:00:00,17:00:00,456.74839,0.00364,359.74839,359.74839,0,0,0.693674
19,1994-10-01 18:00:00,18:00:00,453.261743,0.000766,356.261743,356.261743,0,0,0.693597
20,1994-10-01 19:00:00,19:00:00,450.072332,0.000389,353.072332,353.072332,0,0,0.693558
21,1994-10-01 20:00:00,20:00:00,447.152592,0.001223,350.152592,350.152592,0,0,0.693436
22,1994-10-01 21:00:00,21:00:00,444.477089,0.00051,347.477089,347.477089,0,0,0.693385
23,1994-10-01 22:00:00,22:00:00,442.022366,0,345.022366,345.022366,0,0,0.693385
24,1994-10-01 23:00:00,23:00:00,439.766805,0,342.766805,342.766805,0,0,0.693385
25,1994-10-02 00:00:00,00:00:00,437.690496,0,340.690496,340.690496,0,0,0.693385
26,1994-10-02 01:00:00,01:00:00,435.775115,0,338.775115,338.775115,0,0,0.693385
27,1994-10-02 02:00:00,02:00:00,434.00381,0,337.00381,337.00381,0,0,0.693385
28,1994-10-02 03:00:00,03:00:00,432.361094,0,335.361094,335.361094,0,0,0.693385
29,1994-10-02 04:00:00,04:00:00,430.832752,0,333.832752,333.832752,0,0,0.693385
30,1994-10-02 05:00:00,05:00:00,429.405743,0,332.405743,332.405743,0,0,0.693385
31,1994-10-02 06:00:00,06:00:00,428.068116,0,331.068116,331.068116,0,0,0.693385
32,1994-10-02 07:00:00,07:00:00,426.808933,0.001134,329.808933,329.808933,0,0,0.693271
33,1994-10-02 08:00:00,08:00:00,425.618193,0.00433,328.618193,328.618193,0,0,0.692839
34,1994-10-02 09:00:00,09:00:00,424.486761,0.007676,327.486761,327.486761,0,0,0.692071
35,1994-10-02 10:00:00,10:00:00,423.406308,0.010997,326.406308,326.406308,0,0,0.690971
36,1994-10-02 11:00:00,11:00:00,422.369247,0.013497,325.369247,325.369247,0,0,0.689621
37,1994-10-02 12:00:00,12:00:00,421.368679,0.014781,324.368679,324.368679,0,0,0.688143
38,1994-10-02 13:00:00,13:00:00,420.398341,0.014699,323.398341,323.398341,0,0,0.686673
39,1994-10-02 14:00:00,14:00:00,419.452559,0.015787,322.452559,322.452559,0,0,0.685095
40,1994-10-02 15:00:00,15:00:00,418.526201,0.015927,321.526201,321.526201,0,0,0.683502
41,1994-10-02 16:00:00,16:00:00,417.614636,0.005537,320.614636,320.614636,0,0,0.682948
42,1994-10-02 17:00:00,17:00:00,416.713694,0.002573,319.713694,319.713694,0,0,0.682691
43,1994-10-02 18:00:00,18:00:00,415.819634,0.00208,318.819634,318.819634,0,0,0.682483
44,1994-10-02 19:00:00,19:00:00,414.929105,0.001733,317.929105,317.929105,0,0,0.68231
45,1994-10-02 20:00:00,20:00:00,414.039119,0,317.039119,317.039119,0,0,0.68231
46,1994-10-02 21:00:00,21:00:00,413.147019,0,316.147019,316.147019,0,0,0.68231
47,1994-10-02 22:00:00,22:00:00,412.250455,0,315.250455,315.250455,0,0,0.68231
48,1994-10-02 23:00:00,23:00:00,411.347356,0,314.347356,314.347356,0,0,0.68231
49,1994-10-03 00:00:00,00:00:00,410.43591,0,313.43591,313.43591,0,0,0.68231
50,1994-10-03 01:00:00,01:00:00,412.514541,0,312.514541,312.514541,0,0,0.68231
51,1994-10-03 02:00:00,02:00:00,411.581886,0,311.581886,311.581886,0,0,0.68231
52,1994-10-03 03:00:00,03:00:00,410.636785,0,310.636785,310.636785,0,0,0.68231
53,1994-10-03 04:00:00,04:00:00,409.678252,0,309.678252,309.678252,0,0,0.68231
54,1994-10-03 05:00:00,05:00:00,408.705471,0,308.705471,308.705471,0,0,0.68231
55,1994-10-03 06:00:00,06:00:00,407.717773,0,307.717773,307.717773,0,0,0.68231
56,1994-10-03 07:00:00,07:00:00,406.714626,0,306.714626,306.714626,0,0,0.68231
57,1994-10-03 08:00:00,08:00:00,405.695622,0.00031,305.695622,305.695622,0,0,0.682279
58,1994-10-03 09:00:00,09:00:00,404.660464,0.005405,304.660464,304.660464,0,0,0.681738
59,1994-10-03 10:00:00,10:00:00,403.608957,0.008355,303.608957,303.608957,0,0,0.680903
60,1994-10-03 11:00:00,11:00:00,402.540999,0.01177,302.540999,302.540999,0,0,0.679726
61,1994-10-03 12:00:00,12:00:00,401.456568,0.0136,301.456568,301.456568,0,0,0.678366
62,1994-10-03 13:00:00,13:00:00,400.355718,0.014481,300.355718,300.355718,0,0,0.676918
63,1994-10-03 14:00:00,14:00:00,399.238567,0.014182,299.238567,299.238567,0,0,0.675499
64,1994-10-03 15:00:00,15:00:00,398.105293,0.012175,298.105293,298.105293,0,0,0.674282
65,1994-10-03 16:00:00,16:00:00,396.956127,0.008442,296.956127,296.956127,0,0,0.673438
66,1994-10-03 17:00:00,17:00:00,395.791346,0.003341,295.791346,295.791346,0,0,0.673104
67,1994-10-03 18:00:00,18:00:00,394.611267,0.000835,294.611267,294.611267,0,0,0.67302
68,1994-10-03 19:00:00,19:00:00,393.416244,0,293.416244,293.416244,0,0,0.67302
69,1994-10-03 20:00:00,20:00:00,392.206659,0.000283,292.206659,292.206659,0,0,0.672992
